EMBRYO,GERMLINE,AVERAGE
0,0.5,46.3846
0.05,0.5,46.3277
0.1,0.5,45.7303
0.15,0.5,45.3866
0.2,0.5,45.363
0.25,0.5,45.8817
0.3,0.5,45.1844
0.35,0.5,44.8176
0.4,0.5,45.1829
0.45,0.5,45.4751
0.5,0.5,45.1071
0.55,0.5,45.1064
0.6,0.5,45.4036
0.65,0.5,45.5781
0.7,0.5,45.5279
0.75,0.5,44.9173
0.8,0.5,46.2051
0.85,0.5,46.1793
0.9,0.5,46.2378
0.95,0.5,45.7579
1,0.5,45.8629
0,0.55,46.4694
0.05,0.55,45.3873
0.1,0.55,45.4351
0.15,0.55,45.1216
0.2,0.55,44.5068
0.25,0.55,44.9883
0.3,0.55,45.201
0.35,0.55,44.9853
0.4,0.55,45.767
0.45,0.55,46.0555
0.5,0.55,45.4001
0.55,0.55,45.7167
0.6,0.55,45.7739
0.65,0.55,45.3844
0.7,0.55,44.969
0.75,0.55,46.0593
0.8,0.55,45.7453
0.85,0.55,46.7028
0.9,0.55,46.219
0.95,0.55,45.5594
1,0.55,45.9035
0,0.6,45.6348
0.05,0.6,45.6828
0.1,0.6,45.139
0.15,0.6,45.3462
0.2,0.6,45.1592
0.25,0.6,45.2711
0.3,0.6,45.0122
0.35,0.6,45.478
0.4,0.6,44.6251
0.45,0.6,44.8586
0.5,0.6,45.3504
0.55,0.6,46.0249
0.6,0.6,45.9079
0.65,0.6,45.6888
0.7,0.6,45.8141
0.75,0.6,45.8113
0.8,0.6,46.3086
0.85,0.6,45.5003
0.9,0.6,46.3496
0.95,0.6,45.822
1,0.6,45.7094
0,0.65,44.7342
0.05,0.65,45.2529
0.1,0.65,45.3566
0.15,0.65,44.7353
0.2,0.65,44.8515
0.25,0.65,45.3443
0.3,0.65,45.3451
0.35,0.65,44.6868
0.4,0.65,45.243
0.45,0.65,44.9075
0.5,0.65,45.3261
0.55,0.65,45.4926
0.6,0.65,45.846
0.65,0.65,46.0481
0.7,0.65,45.3474
0.75,0.65,45.351
0.8,0.65,46.4197
0.85,0.65,45.7071
0.9,0.65,45.3876
0.95,0.65,46.5568
1,0.65,46.6619
0,0.7,45.0953
0.05,0.7,44.9619
0.1,0.7,45.2328
0.15,0.7,44.9322
0.2,0.7,45.1209
0.25,0.7,44.7099
0.3,0.7,45.6585
0.35,0.7,45.6851
0.4,0.7,45.3024
0.45,0.7,44.9698
0.5,0.7,46.1281
0.55,0.7,45.6508
0.6,0.7,45.6141
0.65,0.7,45.7195
0.7,0.7,45.8668
0.75,0.7,45.6853
0.8,0.7,45.8522
0.85,0.7,45.7935
0.9,0.7,46.2765
0.95,0.7,45.9703
1,0.7,46.9511
0,0.75,45.1123
0.05,0.75,45.0659
0.1,0.75,45.2826
0.15,0.75,45.2976
0.2,0.75,46.3016
0.25,0.75,45.4845
0.3,0.75,44.4826
0.35,0.75,45.3557
0.4,0.75,45.976
0.45,0.75,45.8748
0.5,0.75,45.276
0.55,0.75,45.6053
0.6,0.75,46.0622
0.65,0.75,45.5486
0.7,0.75,46.3448
0.75,0.75,45.4784
0.8,0.75,46.0342
0.85,0.75,45.8001
0.9,0.75,45.6091
0.95,0.75,45.8348
1,0.75,46.0565
0,0.8,45.6164
0.05,0.8,45.4997
0.1,0.8,45.7324
0.15,0.8,45.6387
0.2,0.8,45.562
0.25,0.8,45.035
0.3,0.8,45.9608
0.35,0.8,45.5946
0.4,0.8,45.872
0.45,0.8,45.8006
0.5,0.8,45.9337
0.55,0.8,46.118
0.6,0.8,45.7491
0.65,0.8,45.173
0.7,0.8,46.0869
0.75,0.8,45.8656
0.8,0.8,45.7285
0.85,0.8,46.6504
0.9,0.8,45.7716
0.95,0.8,45.7374
1,0.8,45.9245
0,0.85,45.8364
0.05,0.85,45.4947
0.1,0.85,45.3428
0.15,0.85,45.169
0.2,0.85,45.2507
0.25,0.85,45.9653
0.3,0.85,45.7887
0.35,0.85,46.1753
0.4,0.85,45.5984
0.45,0.85,46.1609
0.5,0.85,45.7866
0.55,0.85,46.2588
0.6,0.85,45.3942
0.65,0.85,45.8118
0.7,0.85,45.7382
0.75,0.85,45.7114
0.8,0.85,46.0121
0.85,0.85,45.7078
0.9,0.85,46.2226
0.95,0.85,46.1113
1,0.85,46.0809
0,0.9,45.6402
0.05,0.9,45.8327
0.1,0.9,46.1751
0.15,0.9,45.5938
0.2,0.9,45.8843
0.25,0.9,46.0878
0.3,0.9,46.067
0.35,0.9,46.0417
0.4,0.9,45.8398
0.45,0.9,46.3035
0.5,0.9,46.878
0.55,0.9,45.993
0.6,0.9,46.3729
0.65,0.9,45.6345
0.7,0.9,46.1962
0.75,0.9,46.7124
0.8,0.9,46.143
0.85,0.9,46.3966
0.9,0.9,46.2744
0.95,0.9,46.281
1,0.9,45.9866
0,0.95,45.602
0.05,0.95,46.3207
0.1,0.95,46.7894
0.15,0.95,45.91
0.2,0.95,45.8176
0.25,0.95,46.2066
0.3,0.95,46.2252
0.35,0.95,45.6808
0.4,0.95,46.4663
0.45,0.95,46.1933
0.5,0.95,45.8719
0.55,0.95,45.9378
0.6,0.95,46.4957
0.65,0.95,46.5627
0.7,0.95,46.5782
0.75,0.95,46.598
0.8,0.95,46.4729
0.85,0.95,46.2197
0.9,0.95,46.1533
0.95,0.95,46.528
1,0.95,46.8862
0,1,46.1839
0.05,1,46.0619
0.1,1,46.796
0.15,1,47.0507
0.2,1,46.1178
0.25,1,46.3291
0.3,1,46.7995
0.35,1,46.4447
0.4,1,46.7462
0.45,1,46.5785
0.5,1,46.0587
0.55,1,46.2376
0.6,1,46.3825
0.65,1,46.4098
0.7,1,46.69
0.75,1,46.4694
0.8,1,46.8968
0.85,1,47.1693
0.9,1,46.8401
0.95,1,46.6572
1,1,46.4201
