EMBRYO,GERMLINE,AVERAGE
0,0.5,84.7099
0.05,0.5,88.459
0.1,0.5,94.3648
0.15,0.5,98.9505
0.2,0.5,102.724
0.25,0.5,109.3472
0.3,0.5,117.6731
0.35,0.5,120.9828
0.4,0.5,126.1968
0.45,0.5,128.9298
0.5,0.5,137.3557
0.55,0.5,139.3681
0.6,0.5,147.1556
0.65,0.5,148.3483
0.7,0.5,150.9753
0.75,0.5,156.08
0.8,0.5,156.2282
0.85,0.5,154.2641
0.9,0.5,168.7697
0.95,0.5,162.0566
1,0.5,166.6292
0,0.55,82.6806
0.05,0.55,86.3122
0.1,0.55,92.8816
0.15,0.55,98.9159
0.2,0.55,103.0313
0.25,0.55,110.1451
0.3,0.55,115.7258
0.35,0.55,123.9757
0.4,0.55,126.0193
0.45,0.55,135.2437
0.5,0.55,134.4016
0.55,0.55,138.7287
0.6,0.55,143.586
0.65,0.55,146.6642
0.7,0.55,151.5814
0.75,0.55,152.7447
0.8,0.55,154.7756
0.85,0.55,163.3268
0.9,0.55,163.602
0.95,0.55,157.3942
1,0.55,164.0965
0,0.6,82.9451
0.05,0.6,86.7339
0.1,0.6,90.847
0.15,0.6,97.9288
0.2,0.6,103.0501
0.25,0.6,109.573
0.3,0.6,117.8629
0.35,0.6,123.7746
0.4,0.6,126.9181
0.45,0.6,129.2039
0.5,0.6,137.6044
0.55,0.6,138.3315
0.6,0.6,139.7066
0.65,0.6,147.1726
0.7,0.6,148.9987
0.75,0.6,150.0541
0.8,0.6,155.7325
0.85,0.6,157.4204
0.9,0.6,161.3912
0.95,0.6,158.9776
1,0.6,161.0077
0,0.65,81.3379
0.05,0.65,86.5503
0.1,0.65,92.3718
0.15,0.65,97.6642
0.2,0.65,104.5435
0.25,0.65,110.0876
0.3,0.65,113.8306
0.35,0.65,122.0015
0.4,0.65,125.3333
0.45,0.65,132.3915
0.5,0.65,136.0648
0.55,0.65,141.9065
0.6,0.65,144.0722
0.65,0.65,147.5344
0.7,0.65,150.7293
0.75,0.65,155.4385
0.8,0.65,151.8094
0.85,0.65,151.3757
0.9,0.65,156.1594
0.95,0.65,159.7059
1,0.65,164.2509
0,0.7,82.0026
0.05,0.7,85.4961
0.1,0.7,94.1049
0.15,0.7,96.853
0.2,0.7,102.3248
0.25,0.7,110.0945
0.3,0.7,115.9025
0.35,0.7,122.6564
0.4,0.7,127.0768
0.45,0.7,130.5038
0.5,0.7,136.1254
0.55,0.7,139.5735
0.6,0.7,140.8944
0.65,0.7,147.2702
0.7,0.7,151.5526
0.75,0.7,152.1882
0.8,0.7,153.0221
0.85,0.7,150.5212
0.9,0.7,153.2798
0.95,0.7,155.5845
1,0.7,155.4819
0,0.75,82.0131
