EMBRYO,GERMLINE,AVERAGE
0,0.5,52.5736
0.05,0.5,51.898
0.1,0.5,51.4885
0.15,0.5,51.2409
0.2,0.5,50.0577
0.25,0.5,50.2069
0.3,0.5,49.5927
0.35,0.5,49.8796
0.4,0.5,48.8336
0.45,0.5,49.0231
0.5,0.5,48.0418
0.55,0.5,48.4452
0.6,0.5,48.1953
0.65,0.5,48.0931
0.7,0.5,47.8841
0.75,0.5,47.5999
0.8,0.5,47.5957
0.85,0.5,47.3729
0.9,0.5,47.2229
0.95,0.5,47.4971
1,0.5,47.5481
0,0.55,51.8455
0.05,0.55,51.3496
0.1,0.55,51.2456
0.15,0.55,50.597
0.2,0.55,49.2941
0.25,0.55,49.5146
0.3,0.55,49.7035
0.35,0.55,48.6901
0.4,0.55,48.512
0.45,0.55,48.4872
0.5,0.55,48.7142
0.55,0.55,47.889
0.6,0.55,48.5274
0.65,0.55,47.5391
0.7,0.55,47.7594
0.75,0.55,47.6859
0.8,0.55,47.9635
0.85,0.55,47.1802
0.9,0.55,47.735
0.95,0.55,47.7165
1,0.55,47.9571
0,0.6,50.4546
0.05,0.6,49.9465
0.1,0.6,50.2008
0.15,0.6,49.8279
0.2,0.6,49.531
0.25,0.6,48.8601
0.3,0.6,48.5586
0.35,0.6,48.7292
0.4,0.6,48.8621
0.45,0.6,48.3037
0.5,0.6,48.1723
0.55,0.6,47.7262
0.6,0.6,47.6875
0.65,0.6,47.5428
0.7,0.6,47.1731
0.75,0.6,47.1658
0.8,0.6,47.1955
0.85,0.6,47.5211
0.9,0.6,48.227
0.95,0.6,47.9323
1,0.6,47.1768
0,0.65,49.8831
0.05,0.65,49.8587
0.1,0.65,49.9212
0.15,0.65,48.8979
0.2,0.65,49.1833
0.25,0.65,49.2291
0.3,0.65,48.5945
0.35,0.65,48.0784
0.4,0.65,47.9028
0.45,0.65,47.5055
0.5,0.65,48.176
0.55,0.65,47.9621
0.6,0.65,47.4476
0.65,0.65,47.2177
0.7,0.65,47.4335
0.75,0.65,47.3391
0.8,0.65,47.435
0.85,0.65,47.3218
0.9,0.65,47.7509
0.95,0.65,47.5972
1,0.65,47.5872
0,0.7,49.5939
0.05,0.7,49.2212
0.1,0.7,49.6776
0.15,0.7,49.1831
0.2,0.7,48.7979
0.25,0.7,48.9208
0.3,0.7,48.3402
0.35,0.7,47.7083
0.4,0.7,48.005
0.45,0.7,47.2472
0.5,0.7,48.2063
0.55,0.7,48.1327
0.6,0.7,47.2581
0.65,0.7,47.1039
0.7,0.7,46.7329
0.75,0.7,47.2863
0.8,0.7,47.8804
0.85,0.7,47.5578
0.9,0.7,46.1162
0.95,0.7,47.5018
1,0.7,47.2072
0,0.75,49.3352
0.05,0.75,49.2469
0.1,0.75,48.3973
0.15,0.75,48.1752
0.2,0.75,48.1414
0.25,0.75,47.9662
0.3,0.75,47.942
0.35,0.75,48.4272
0.4,0.75,47.2055
0.45,0.75,47.864
0.5,0.75,47.172
0.55,0.75,47.105
0.6,0.75,46.7206
0.65,0.75,47.417
0.7,0.75,47.1527
0.75,0.75,47.3947
0.8,0.75,46.803
0.85,0.75,47.144
0.9,0.75,47.1423
0.95,0.75,46.9372
1,0.75,46.9599
0,0.8,49.4065
0.05,0.8,48.3382
0.1,0.8,48.1223
0.15,0.8,48.5179
0.2,0.8,48.1644
0.25,0.8,47.8039
0.3,0.8,47.9054
0.35,0.8,47.9227
0.4,0.8,47.8607
0.45,0.8,47.089
0.5,0.8,47.2907
0.55,0.8,47.3495
0.6,0.8,47.2748
0.65,0.8,46.8095
0.7,0.8,46.4267
