EMBRYO,GERMLINE,AVERAGE
0,0.5,15.5998
0.05,0.5,16.7116
0.1,0.5,16.3858
0.15,0.5,18.372
0.2,0.5,19.2097
0.25,0.5,21.1994
0.3,0.5,22.57
0.35,0.5,24.9786
0.4,0.5,28.9272
0.45,0.5,34.2921
0.5,0.5,46.7899
0.55,0.5,58.4452
0.6,0.5,5000
0.65,0.5,5000
0.7,0.5,5000
0.75,0.5,5000
0.8,0.5,5000
0.85,0.5,5000
0.9,0.5,5000
0.95,0.5,5000
1,0.5,5000
0,0.55,15.2943
0.05,0.55,15.6006
0.1,0.55,16.276
0.15,0.55,16.9524
0.2,0.55,18.1097
0.25,0.55,18.3297
0.3,0.55,20.1159
0.35,0.55,22.5203
0.4,0.55,25.1085
0.45,0.55,26.1139
0.5,0.55,32.8117
0.55,0.55,42.3283
0.6,0.55,47.514
0.65,0.55,5000
0.7,0.55,5000
0.75,0.55,5000
0.8,0.55,5000
0.85,0.55,5000
0.9,0.55,5000
0.95,0.55,5000
1,0.55,5000
0,0.6,14.5785
0.05,0.6,14.6117
0.1,0.6,16.1038
0.15,0.6,16.1054
0.2,0.6,17.2686
0.25,0.6,17.6363
0.3,0.6,19.1055
0.35,0.6,19.8649
0.4,0.6,21.7284
0.45,0.6,24.4752
0.5,0.6,26.5271
0.55,0.6,34.5722
0.6,0.6,40.5676
0.65,0.6,46.871
0.7,0.6,5000
0.75,0.6,5000
0.8,0.6,5000
0.85,0.6,5000
0.9,0.6,5000
0.95,0.6,5000
1,0.6,5000
0,0.65,14.0806
0.05,0.65,14.2928
0.1,0.65,14.4925
0.15,0.65,15.4423
0.2,0.65,15.7262
0.25,0.65,16.3009
0.3,0.65,17.2847
0.35,0.65,19.2125
0.4,0.65,19.6855
0.45,0.65,22.0303
0.5,0.65,23.7038
0.55,0.65,28.4356
0.6,0.65,35.1575
0.65,0.65,46.6753
0.7,0.65,44.6712
0.75,0.65,5000
0.8,0.65,5000
0.85,0.65,5000
0.9,0.65,5000
0.95,0.65,5000
1,0.65,5000
0,0.7,13.2964
0.05,0.7,13.5419
0.1,0.7,14.4867
0.15,0.7,14.765
0.2,0.7,15.0454
0.25,0.7,16.2587
0.3,0.7,16.5116
0.35,0.7,17.817
0.4,0.7,18.6693
0.45,0.7,19.6292
0.5,0.7,20.9718
0.55,0.7,23.1828
0.6,0.7,28.0679
0.65,0.7,34.1872
0.7,0.7,45.9797
0.75,0.7,5000
0.8,0.7,5000
0.85,0.7,5000
0.9,0.7,5000
0.95,0.7,5000
1,0.7,5000
0,0.75,13.0963
0.05,0.75,13.2209
0.1,0.75,13.7729
0.15,0.75,13.9978
0.2,0.75,14.4089
0.25,0.75,14.7026
0.3,0.75,15.6868
0.35,0.75,16.7228
0.4,0.75,17.2125
0.45,0.75,19.109
0.5,0.75,19.4826
0.55,0.75,22.1851
0.6,0.75,24.8633
0.65,0.75,28.9122
0.7,0.75,29.5665
0.75,0.75,44.5788
0.8,0.75,5000
0.85,0.75,5000
0.9,0.75,5000
0.95,0.75,5000
1,0.75,5000
0,0.8,12.765
0.05,0.8,13.1001
0.1,0.8,13.3218
0.15,0.8,13.7445
0.2,0.8,13.8436
0.25,0.8,14.8792
0.3,0.8,15.0462
0.35,0.8,15.5204
0.4,0.8,16.2373
0.45,0.8,17.6446
0.5,0.8,18.9149
0.55,0.8,19.3976
0.6,0.8,20.7774
0.65,0.8,24.1306
0.7,0.8,28.1378
0.75,0.8,35.7859
0.8,0.8,52.0042
0.85,0.8,5000
0.9,0.8,5000
0.95,0.8,5000
1,0.8,5000
0,0.85,12.3481
0.05,0.85,12.6449
0.1,0.85,12.8076
0.15,0.85,12.9631
0.2,0.85,13.4318
0.25,0.85,14.1632
0.3,0.85,14.5811
0.35,0.85,14.5146
0.4,0.85,15.884
0.45,0.85,15.9171
0.5,0.85,17.3468
0.55,0.85,19.4751
0.6,0.85,19.6189
0.65,0.85,22.346
0.7,0.85,25.6916
0.75,0.85,29.4098
0.8,0.85,36.9224
0.85,0.85,49.175
0.9,0.85,5000
0.95,0.85,5000
1,0.85,5000
0,0.9,11.9945
0.05,0.9,12.004
0.1,0.9,12.3023
0.15,0.9,12.7787
0.2,0.9,12.9319
0.25,0.9,13.903
0.3,0.9,13.9814
0.35,0.9,14.5124
0.4,0.9,15.0106
0.45,0.9,15.7498
0.5,0.9,16.5029
0.55,0.9,17.8354
0.6,0.9,18.4289
0.65,0.9,20.1641
0.7,0.9,22.1058
0.75,0.9,26.9837
0.8,0.9,33.4577
0.85,0.9,41.7105
0.9,0.9,5000
0.95,0.9,5000
1,0.9,5000
0,0.95,11.6141
0.05,0.95,11.7809
0.1,0.95,11.9483
0.15,0.95,12.5743
0.2,0.95,12.6294
0.25,0.95,13.2513
0.3,0.95,13.0197
0.35,0.95,14.4556
0.4,0.95,14.4418
0.45,0.95,14.8329
0.5,0.95,15.8356
0.55,0.95,16.7841
0.6,0.95,17.8079
0.65,0.95,19.0688
0.7,0.95,20.4939
0.75,0.95,22.9943
0.8,0.95,27.93
0.85,0.95,36.9882
0.9,0.95,47.5429
0.95,0.95,5000
1,0.95,5000
0,1,11.3595
0.05,1,11.7347
0.1,1,12.161
0.15,1,11.8874
