EMBRYO,GERMLINE,AVERAGE
0,0.5,16.1192
0.05,0.5,16.5208
0.1,0.5,16.632
0.15,0.5,18.0445
0.2,0.5,18.9815
0.25,0.5,21.4882
0.3,0.5,21.5062
0.35,0.5,25.0231
0.4,0.5,27.2486
0.45,0.5,36.0832
0.5,0.5,39.5643
0.55,0.5,46.4105
0.6,0.5,5000
0.65,0.5,5000
0.7,0.5,5000
0.75,0.5,5000
0.8,0.5,5000
0.85,0.5,5000
0.9,0.5,5000
0.95,0.5,5000
1,0.5,5000
0,0.55,14.8852
0.05,0.55,15.4211
0.1,0.55,16.2898
0.15,0.55,16.4204
0.2,0.55,18.3008
0.25,0.55,18.4599
0.3,0.55,19.9113
0.35,0.55,21.3462
0.4,0.55,24.2821
0.45,0.55,27.7153
0.5,0.55,31.8873
0.55,0.55,40.7041
0.6,0.55,55.2086
0.65,0.55,5000
0.7,0.55,5000
0.75,0.55,5000
0.8,0.55,5000
0.85,0.55,5000
0.9,0.55,5000
0.95,0.55,5000
1,0.55,5000
0,0.6,13.7022
0.05,0.6,14.9457
0.1,0.6,15.4454
0.15,0.6,16.3749
0.2,0.6,16.522
0.25,0.6,18.3649
0.3,0.6,18.7321
0.35,0.6,19.5829
0.4,0.6,21.1271
0.45,0.6,24.06
0.5,0.6,26.9493
0.55,0.6,32.5135
0.6,0.6,46.6451
0.65,0.6,59.4534
0.7,0.6,5000
0.75,0.6,5000
0.8,0.6,5000
0.85,0.6,5000
0.9,0.6,5000
0.95,0.6,5000
1,0.6,5000
0,0.65,13.4648
0.05,0.65,14.6186
0.1,0.65,14.7721
0.15,0.65,15.5725
0.2,0.65,15.9329
0.25,0.65,17.0545
0.3,0.65,17.4364
0.35,0.65,18.2002
0.4,0.65,20.5325
0.45,0.65,21.7644
0.5,0.65,24.0309
0.55,0.65,28.3788
0.6,0.65,35.9478
0.65,0.65,44.6344
0.7,0.65,50.0574
0.75,0.65,5000
0.8,0.65,5000
0.85,0.65,5000
0.9,0.65,5000
0.95,0.65,5000
1,0.65,5000
0,0.7,13.2727
0.05,0.7,13.8328
0.1,0.7,14.0082
0.15,0.7,14.4473
0.2,0.7,15.1037
0.25,0.7,15.4799
0.3,0.7,15.9172
0.35,0.7,17.2027
0.4,0.7,18.7358
0.45,0.7,20.7
0.5,0.7,21.9987
0.55,0.7,24.5595
0.6,0.7,28.6395
0.65,0.7,32.6478
0.7,0.7,38.5709
0.75,0.7,66.8124
0.8,0.7,5000
0.85,0.7,5000
0.9,0.7,5000
0.95,0.7,5000
1,0.7,5000
0,0.75,12.8046
0.05,0.75,13.2264
0.1,0.75,13.9731
0.15,0.75,14.1317
0.2,0.75,14.5448
0.25,0.75,15.6873
0.3,0.75,15.9713
0.35,0.75,16.9604
0.4,0.75,17.0758
0.45,0.75,19.2003
0.5,0.75,20.0358
0.55,0.75,21.0243
0.6,0.75,23.6148
0.65,0.75,27.8128
0.7,0.75,33.6913
0.75,0.75,45.0868
0.8,0.75,25.1804
0.85,0.75,5000
0.9,0.75,5000
0.95,0.75,5000
1,0.75,5000
0,0.8,12.5091
0.05,0.8,12.6049
0.1,0.8,13.251
0.15,0.8,13.7431
0.2,0.8,14.4651
0.25,0.8,14.0834
0.3,0.8,15.3289
0.35,0.8,15.5381
0.4,0.8,16.4793
0.45,0.8,18.5146
0.5,0.8,19.2474
0.55,0.8,19.1585
0.6,0.8,22.3633
0.65,0.8,24.4406
0.7,0.8,29.7265
0.75,0.8,33.9134
0.8,0.8,53.9778
0.85,0.8,5000
0.9,0.8,5000
0.95,0.8,5000
1,0.8,5000
0,0.85,12.35
0.05,0.85,12.4204
0.1,0.85,12.4901
0.15,0.85,13.1308
0.2,0.85,13.4402
0.25,0.85,14.0651
0.3,0.85,15.0909
0.35,0.85,14.8407
0.4,0.85,15.6078
0.45,0.85,16.6325
0.5,0.85,16.7306
0.55,0.85,18.6272
0.6,0.85,21.5282
0.65,0.85,21.4866
0.7,0.85,25.4221
0.75,0.85,29.4076
0.8,0.85,39.0716
0.85,0.85,39.7658
0.9,0.85,5000
0.95,0.85,5000
1,0.85,5000
0,0.9,12.0677
0.05,0.9,12.4596
0.1,0.9,12.4972
0.15,0.9,12.778
0.2,0.9,13.184
0.25,0.9,13.4
0.3,0.9,13.9192
0.35,0.9,14.6803
0.4,0.9,15.258
0.45,0.9,16.1472
0.5,0.9,16.9211
0.55,0.9,17.9115
0.6,0.9,19.6826
0.65,0.9,21.0244
0.7,0.9,23.2724
0.75,0.9,26.2217
0.8,0.9,29.433
0.85,0.9,48.1107
0.9,0.9,46.5279
0.95,0.9,5000
1,0.9,5000
0,0.95,11.6454
0.05,0.95,12.1773
0.1,0.95,12.0518
0.15,0.95,12.3388
0.2,0.95,12.6883
0.25,0.95,13.6874
0.3,0.95,13.5597
0.35,0.95,14.4297
0.4,0.95,14.4469
0.45,0.95,15.0516
0.5,0.95,15.9969
0.55,0.95,17.1698
0.6,0.95,19.2389
0.65,0.95,19.025
0.7,0.95,20.7294
0.75,0.95,23.5199
0.8,0.95,27.7061
0.85,0.95,33.4631
0.9,0.95,43.2435
0.95,0.95,5000
1,0.95,5000
0,1,11.123
0.05,1,11.7847
0.1,1,11.8546
0.15,1,12.2827
0.2,1,12.6263
0.25,1,12.8912
0.3,1,12.8503
0.35,1,13.5035
0.4,1,14.6816
0.45,1,15.0438
0.5,1,15.4101
0.55,1,16.1568
0.6,1,18.0184
0.65,1,18.5629
0.7,1,19.8354
0.75,1,21.1104
0.8,1,25.1462
0.85,1,29.4699
0.9,1,35.0868
0.95,1,38.149
1,1,5000
