EMBRYO,GERMLINE,AVERAGE
0,0.5,15.2917
0.05,0.5,15.7102
0.1,0.5,16.3149
0.15,0.5,16.1061
0.2,0.5,17.0689
0.25,0.5,17.3849
0.3,0.5,18.1424
0.35,0.5,19.0625
0.4,0.5,20.1942
0.45,0.5,20.4962
0.5,0.5,20.9447
0.55,0.5,21.9869
0.6,0.5,22.592
0.65,0.5,23.4395
0.7,0.5,25.024
0.75,0.5,26.4908
0.8,0.5,29.9683
0.85,0.5,29.5713
0.9,0.5,32.215
0.95,0.5,35.7898
1,0.5,42.4479
0,0.55,14.9673
0.05,0.55,15.0314
0.1,0.55,15.5492
0.15,0.55,15.7216
0.2,0.55,16.5115
0.25,0.55,16.7594
0.3,0.55,16.8732
0.35,0.55,17.8698
0.4,0.55,18.2429
0.45,0.55,18.8918
0.5,0.55,19.5661
0.55,0.55,20.2767
0.6,0.55,23.078
0.65,0.55,21.5647
0.7,0.55,23.6852
0.75,0.55,25.0165
0.8,0.55,25.3807
0.85,0.55,29.0892
0.9,0.55,30.1843
0.95,0.55,31.2437
1,0.55,34.0323
0,0.6,14.2487
0.05,0.6,14.5679
0.1,0.6,15.0907
0.15,0.6,14.9118
0.2,0.6,15.5599
0.25,0.6,15.695
0.3,0.6,16.3314
0.35,0.6,16.4861
0.4,0.6,16.852
0.45,0.6,17.9818
0.5,0.6,18.7111
0.55,0.6,19.6543
0.6,0.6,18.7944
0.65,0.6,20.3642
0.7,0.6,22.1311
0.75,0.6,22.6069
0.8,0.6,23.7206
0.85,0.6,24.2693
0.9,0.6,25.1548
0.95,0.6,27.956
1,0.6,29.3053
0,0.65,13.6274
0.05,0.65,13.5566
0.1,0.65,14.1436
0.15,0.65,14.3308
0.2,0.65,14.6996
0.25,0.65,15.033
0.3,0.65,15.9221
0.35,0.65,15.8292
0.4,0.65,16.1562
0.45,0.65,16.7347
0.5,0.65,17.2156
0.55,0.65,17.7346
0.6,0.65,18.177
0.65,0.65,19.7183
0.7,0.65,20.2219
0.75,0.65,21.171
0.8,0.65,21.7506
0.85,0.65,22.1219
0.9,0.65,22.7171
0.95,0.65,23.8234
1,0.65,27.9574
0,0.7,13.46
0.05,0.7,13.4859
0.1,0.7,13.9638
0.15,0.7,13.8484
0.2,0.7,14.8504
0.25,0.7,14.4351
0.3,0.7,14.769
0.35,0.7,15.3843
0.4,0.7,15.1805
0.45,0.7,15.8868
0.5,0.7,17.0126
0.55,0.7,17.1541
0.6,0.7,17.4935
0.65,0.7,18.7558
0.7,0.7,18.8196
0.75,0.7,20.0946
0.8,0.7,19.9189
0.85,0.7,20.0999
0.9,0.7,21.6945
0.95,0.7,22.0742
1,0.7,24.8936
0,0.75,12.5354
0.05,0.75,13.3272
0.1,0.75,13.3404
0.15,0.75,13.4363
0.2,0.75,13.7421
0.25,0.75,14.0664
0.3,0.75,14.5432
0.35,0.75,14.4971
0.4,0.75,14.9565
0.45,0.75,14.9831
