EMBRYO,GERMLINE,AVERAGE
0.0,0.5,14.8555
0.05,0.5,15.4613
0.1,0.5,15.7638
0.15,0.5,16.0975
0.2,0.5,16.959
0.25,0.5,17.6051
0.3,0.5,18.7881
0.35,0.5,19.5024
0.4,0.5,20.6577
0.45,0.5,21.7642
0.5,0.5,23.0187
0.55,0.5,24.7622
0.6,0.5,26.6404
0.65,0.5,27.6958
0.7,0.5,29.9973
0.75,0.5,32.4211
0.8,0.5,33.5257
0.85,0.5,36.0387
0.9,0.5,37.8443
0.95,0.5,39.3255
1.0,0.5,41.5834
0.0,0.55,14.2592
0.05,0.55,14.8319
0.1,0.55,15.1176
0.15,0.55,15.8064
0.2,0.55,16.409
0.25,0.55,16.848
0.3,0.55,17.43
0.35,0.55,18.4809
0.4,0.55,19.2702
0.45,0.55,20.5096
0.5,0.55,21.542
0.55,0.55,23.1202
0.6,0.55,24.478
0.65,0.55,25.6646
0.7,0.55,27.9473
0.75,0.55,29.5716
0.8,0.55,31.6769
0.85,0.55,33.368
0.9,0.55,35.304
0.95,0.55,36.8916
1.0,0.55,39.0859
0.0,0.6,13.8737
0.05,0.6,14.1525
0.1,0.6,14.3668
0.15,0.6,14.8196
0.2,0.6,15.6198
0.25,0.6,16.3319
0.3,0.6,16.7271
0.35,0.6,17.4874
0.4,0.6,18.459
0.45,0.6,19.1437
0.5,0.6,20.05
0.55,0.6,21.6618
0.6,0.6,22.9943
0.65,0.6,24.4734
0.7,0.6,26.2048
0.75,0.6,27.4976
0.8,0.6,29.1888
0.85,0.6,31.4957
0.9,0.6,33.3466
0.95,0.6,35.0338
1.0,0.6,36.3928
0.0,0.65,13.4324
0.05,0.65,13.5634
0.1,0.65,13.8778
0.15,0.65,14.566
0.2,0.65,14.8381
0.25,0.65,15.5477
0.3,0.65,15.8448
0.35,0.65,16.7532
0.4,0.65,17.5527
0.45,0.65,18.0006
0.5,0.65,19.4403
0.55,0.65,20.0882
0.6,0.65,21.3292
0.65,0.65,22.9734
0.7,0.65,23.9638
0.75,0.65,25.896
0.8,0.65,27.9354
0.85,0.65,29.3653
0.9,0.65,31.0593
0.95,0.65,32.6125
1.0,0.65,35.0548
0.0,0.7,13.0307
0.05,0.7,13.1779
0.1,0.7,13.5996
0.15,0.7,13.8587
0.2,0.7,14.3955
0.25,0.7,14.5819
0.3,0.7,15.4177
0.35,0.7,15.8734
0.4,0.7,16.5691
0.45,0.7,17.25
0.5,0.7,18.4567
0.55,0.7,19.081
0.6,0.7,20.4023
0.65,0.7,21.8639
0.7,0.7,23.0243
0.75,0.7,24.3372
0.8,0.7,25.7319
0.85,0.7,28.3822
0.9,0.7,29.226
0.95,0.7,31.0909
