EMBRYO,GERMLINE,AVERAGE
0,0.5,15.3203
0.05,0.5,15.3996
0.1,0.5,15.4453
0.15,0.5,15.9277
0.2,0.5,15.8224
0.25,0.5,15.8161
0.3,0.5,16.0205
0.35,0.5,16.6841
0.4,0.5,16.8422
0.45,0.5,17.2032
0.5,0.5,17.2912
0.55,0.5,17.1424
0.6,0.5,17.5788
0.65,0.5,17.6054
0.7,0.5,18.2788
0.75,0.5,18.2926
0.8,0.5,18.2779
0.85,0.5,19.1173
0.9,0.5,19.1763
0.95,0.5,18.5431
1,0.5,19.547
0,0.55,13.9828
0.05,0.55,14.8971
0.1,0.55,14.9704
0.15,0.55,15.0768
0.2,0.55,15.22
0.25,0.55,15.4633
0.3,0.55,15.8416
0.35,0.55,16.047
0.4,0.55,15.686
0.45,0.55,16.0444
0.5,0.55,16.5804
0.55,0.55,16.685
0.6,0.55,16.9743
0.65,0.55,17.0079
0.7,0.55,17.5469
0.75,0.55,17.125
0.8,0.55,17.5168
0.85,0.55,18.3481
0.9,0.55,17.9335
0.95,0.55,18.2355
1,0.55,18.5355
0,0.6,13.9256
0.05,0.6,14.0369
0.1,0.6,14.4937
0.15,0.6,14.5096
0.2,0.6,14.8757
0.25,0.6,14.8446
0.3,0.6,14.9161
0.35,0.6,14.8245
0.4,0.6,15.6356
0.45,0.6,15.2986
0.5,0.6,15.8919
0.55,0.6,15.7704
0.6,0.6,17.0569
0.65,0.6,16.8565
0.7,0.6,16.1949
0.75,0.6,17.0162
0.8,0.6,17.2536
0.85,0.6,17.3907
0.9,0.6,17.7839
0.95,0.6,17.5558
1,0.6,17.9525
0,0.65,13.162
0.05,0.65,13.7596
0.1,0.65,14.048
0.15,0.65,13.9001
0.2,0.65,14.2333
0.25,0.65,14.3845
0.3,0.65,14.7633
0.35,0.65,14.7782
0.4,0.65,14.9955
0.45,0.65,15.1636
0.5,0.65,15.3547
0.55,0.65,15.3901
0.6,0.65,15.7267
0.65,0.65,15.9892
0.7,0.65,16.0642
0.75,0.65,16.3449
0.8,0.65,16.6777
0.85,0.65,16.9814
0.9,0.65,17.1632
0.95,0.65,17.5793
1,0.65,17.7278
0,0.7,12.7271
0.05,0.7,13.1369
0.1,0.7,13.4635
0.15,0.7,13.3737
0.2,0.7,13.1529
0.25,0.7,13.596
0.3,0.7,13.7967
0.35,0.7,14.2645
0.4,0.7,14.502
0.45,0.7,14.5674
0.5,0.7,14.7803
0.55,0.7,14.8719
0.6,0.7,15.4945
0.65,0.7,15.2878
0.7,0.7,15.5177
0.75,0.7,15.8855
0.8,0.7,16.8716
0.85,0.7,16.2848
0.9,0.7,16.186
0.95,0.7,16.9387
1,0.7,16.7821
0,0.75,12.6003
0.05,0.75,12.8173
0.1,0.75,12.8118
0.15,0.75,13.047
0.2,0.75,13.2132
0.25,0.75,13.0637
0.3,0.75,13.6276
0.35,0.75,13.4781
0.4,0.75,13.8633
0.45,0.75,14.3499
0.5,0.75,14.1621
0.55,0.75,14.5605
0.6,0.75,14.9771
0.65,0.75,14.953
0.7,0.75,15.0212
0.75,0.75,15.5122
0.8,0.75,15.7969
0.85,0.75,15.6866
0.9,0.75,16.0909
0.95,0.75,16.4038
1,0.75,16.5781
0,0.8,12.1218
0.05,0.8,12.4692
0.1,0.8,12.7276
0.15,0.8,12.8513
0.2,0.8,12.6845
0.25,0.8,13.0461
0.3,0.8,13.1746
0.35,0.8,13.4666
0.4,0.8,13.277
0.45,0.8,14.093
0.5,0.8,13.7664
0.55,0.8,14.2511
0.6,0.8,14.0961
0.65,0.8,14.6057
0.7,0.8,14.9158
0.75,0.8,15.0239
0.8,0.8,15.5191
0.85,0.8,15.435
0.9,0.8,15.8855
0.95,0.8,15.9581
1,0.8,16.2567
