EMBRYO,GERMLINE,AVERAGE
0,0.5,29.7581
0.05,0.5,28.5382
0.1,0.5,28.319
0.15,0.5,27.9205
0.2,0.5,27.7455
0.25,0.5,26.7467
0.3,0.5,26.9025
0.35,0.5,26.5387
0.4,0.5,26.3104
0.45,0.5,25.6889
0.5,0.5,25.9685
0.55,0.5,25.7115
0.6,0.5,25.3431
0.65,0.5,25.9109
0.7,0.5,25.9063
0.75,0.5,25.0053
0.8,0.5,24.8118
0.85,0.5,25.2044
0.9,0.5,25.3962
0.95,0.5,24.8518
1,0.5,24.5619
0,0.55,28.5037
0.05,0.55,28.4522
0.1,0.55,27.7384
0.15,0.55,27.2751
0.2,0.55,26.9193
0.25,0.55,26.7282
0.3,0.55,26.4439
0.35,0.55,26.5586
0.4,0.55,25.9393
0.45,0.55,25.8923
0.5,0.55,25.657
0.55,0.55,25.6089
0.6,0.55,25.684
0.65,0.55,25.2501
0.7,0.55,25.1438
0.75,0.55,25.0217
0.8,0.55,25.1121
0.85,0.55,24.778
0.9,0.55,24.9636
0.95,0.55,24.7996
1,0.55,25.055
0,0.6,28.3428
0.05,0.6,27.5698
0.1,0.6,27.6318
0.15,0.6,27.032
0.2,0.6,26.5088
0.25,0.6,26.3374
0.3,0.6,25.734
0.35,0.6,25.7959
0.4,0.6,25.3699
0.45,0.6,25.1712
0.5,0.6,25.6361
0.55,0.6,25.0876
0.6,0.6,25.2207
0.65,0.6,24.9406
0.7,0.6,25.3249
0.75,0.6,25.0709
0.8,0.6,24.8788
0.85,0.6,24.7746
0.9,0.6,24.8634
0.95,0.6,25.3701
1,0.6,24.7821
0,0.65,27.5333
0.05,0.65,27.2687
0.1,0.65,26.5941
0.15,0.65,26.3662
0.2,0.65,26.2907
0.25,0.65,25.8859
0.3,0.65,25.5077
0.35,0.65,25.3286
0.4,0.65,25.3362
0.45,0.65,25.138
0.5,0.65,25.1004
0.55,0.65,25.084
0.6,0.65,25.5176
0.65,0.65,25.1301
0.7,0.65,25.1085
0.75,0.65,24.7012
0.8,0.65,24.8365
0.85,0.65,24.7501
0.9,0.65,24.7841
0.95,0.65,24.1695
1,0.65,24.6955
0,0.7,26.8485
0.05,0.7,26.6707
0.1,0.7,26.4009
0.15,0.7,25.9457
0.2,0.7,25.6349
0.25,0.7,25.7829
0.3,0.7,25.7262
0.35,0.7,25.5321
0.4,0.7,25.0583
0.45,0.7,24.918
0.5,0.7,24.8382
0.55,0.7,25.0319
0.6,0.7,24.8171
0.65,0.7,24.8696
0.7,0.7,25.0269
0.75,0.7,24.8126
0.8,0.7,24.4276
0.85,0.7,24.6778
0.9,0.7,24.5978
0.95,0.7,24.8258
1,0.7,24.5307
0,0.75,26.2214
0.05,0.75,26.0811
0.1,0.75,25.7042
0.15,0.75,25.3596
0.2,0.75,25.3194
0.25,0.75,25.3178
0.3,0.75,24.7623
0.35,0.75,25.1011
0.4,0.75,24.8933
0.45,0.75,24.7969
0.5,0.75,24.7442
0.55,0.75,25.3129
0.6,0.75,24.8648
0.65,0.75,24.6105
0.7,0.75,24.7149
0.75,0.75,24.7985
0.8,0.75,24.8748
0.85,0.75,24.5028
0.9,0.75,24.4026
0.95,0.75,24.5126
1,0.75,24.3914
0,0.8,25.6797
0.05,0.8,25.6154
0.1,0.8,25.8942
0.15,0.8,25.1495
0.2,0.8,25.1765
0.25,0.8,25.0807
0.3,0.8,24.8101
0.35,0.8,24.8272
0.4,0.8,24.9363
0.45,0.8,24.85
0.5,0.8,25.0444
0.55,0.8,24.6391
0.6,0.8,24.5371
0.65,0.8,24.841
0.7,0.8,24.3585
0.75,0.8,24.2572
0.8,0.8,24.4375
0.85,0.8,24.3928
0.9,0.8,24.6205
0.95,0.8,24.3899
1,0.8,24.5923
0,0.85,24.9136
0.05,0.85,25.2877
0.1,0.85,24.8001
0.15,0.85,24.9402
0.2,0.85,24.8421
0.25,0.85,24.7326
0.3,0.85,24.643
0.35,0.85,24.9391
0.4,0.85,24.8988
0.45,0.85,24.5891
0.5,0.85,24.7087
0.55,0.85,24.268
0.6,0.85,24.5634
0.65,0.85,24.7748
0.7,0.85,24.4971
0.75,0.85,24.0395
0.8,0.85,24.2563
0.85,0.85,24.2379
0.9,0.85,24.5901
0.95,0.85,24.4626
1,0.85,24.4834
0,0.9,24.8651
0.05,0.9,24.6378
0.1,0.9,24.8531
0.15,0.9,24.7733
0.2,0.9,24.4157
0.25,0.9,24.5636
0.3,0.9,24.2688
0.35,0.9,24.2612
0.4,0.9,24.6657
0.45,0.9,24.251
0.5,0.9,24.7606
0.55,0.9,24.3505
0.6,0.9,24.581
0.65,0.9,24.1219
0.7,0.9,24.1654
0.75,0.9,24.0484
0.8,0.9,24.3857
0.85,0.9,23.9876
0.9,0.9,23.8647
0.95,0.9,24.0978
1,0.9,24.1115
0,0.95,24.231
0.05,0.95,24.4708
0.1,0.95,24.5225
0.15,0.95,24.4399
0.2,0.95,24.4274
0.25,0.95,24.2403
0.3,0.95,24.15
0.35,0.95,24.2976
0.4,0.95,24.0384
0.45,0.95,24.651
0.5,0.95,24.3172
0.55,0.95,23.9988
0.6,0.95,24.4533
0.65,0.95,24.3163
0.7,0.95,23.7957
0.75,0.95,24.2886
0.8,0.95,24.2094
0.85,0.95,24.0653
0.9,0.95,23.8977
0.95,0.95,24.2592
1,0.95,23.9145
0,1,24.1584
0.05,1,24.158
0.1,1,23.9815
0.15,1,24.5855
0.2,1,24.1008
0.25,1,24.2672
0.3,1,24.3831
0.35,1,24.0769
0.4,1,23.711
0.45,1,24.2165
0.5,1,24.2847
0.55,1,24.1885
0.6,1,23.7111
0.65,1,24.064
0.7,1,24.0826
0.75,1,24.3327
0.8,1,24.1297
0.85,1,23.887
0.9,1,24.2721
0.95,1,24.2416
1,1,23.9934
