EMBRYO,GERMLINE,AVERAGE
0,0.5,62.1124
0.05,0.5,70.9846
0.1,0.5,92.6675
0.15,0.5,136.9403
0.2,0.5,237.6717
0.25,0.5,5000
0.3,0.5,5000
0.35,0.5,5000
0.4,0.5,5000
0.45,0.5,5000
0.5,0.5,5000
0.55,0.5,5000
0.6,0.5,5000
0.65,0.5,5000
0.7,0.5,5000
0.75,0.5,5000
0.8,0.5,5000
0.85,0.5,5000
0.9,0.5,5000
0.95,0.5,5000
1,0.5,5000
0,0.55,57.4507
0.05,0.55,74.2424
0.1,0.55,90.1019
0.15,0.55,148.2763
0.2,0.55,253.0844
0.25,0.55,5000
0.3,0.55,5000
0.35,0.55,5000
0.4,0.55,5000
0.45,0.55,5000
0.5,0.55,5000
0.55,0.55,5000
0.6,0.55,5000
0.65,0.55,5000
0.7,0.55,5000
0.75,0.55,5000
0.8,0.55,5000
0.85,0.55,5000
0.9,0.55,5000
0.95,0.55,5000
1,0.55,5000
0,0.6,60.4966
0.05,0.6,68.7404
0.1,0.6,95.069
0.15,0.6,132.9206
0.2,0.6,304.2512
0.25,0.6,5000
0.3,0.6,5000
0.35,0.6,5000
0.4,0.6,5000
0.45,0.6,5000
0.5,0.6,5000
0.55,0.6,5000
0.6,0.6,5000
0.65,0.6,5000
0.7,0.6,5000
0.75,0.6,5000
0.8,0.6,5000
0.85,0.6,5000
0.9,0.6,5000
0.95,0.6,5000
1,0.6,5000
0,0.65,59.8018
0.05,0.65,69.8112
0.1,0.65,99.0341
0.15,0.65,149.3828
0.2,0.65,342.0086
0.25,0.65,5000
0.3,0.65,5000
0.35,0.65,5000
0.4,0.65,5000
0.45,0.65,5000
0.5,0.65,5000
0.55,0.65,5000
0.6,0.65,5000
0.65,0.65,5000
0.7,0.65,5000
0.75,0.65,5000
0.8,0.65,5000
0.85,0.65,5000
0.9,0.65,5000
0.95,0.65,5000
1,0.65,5000
0,0.7,57.3767
0.05,0.7,73.9754
0.1,0.7,98.4861
0.15,0.7,159.4857
0.2,0.7,409.7263
0.25,0.7,5000
0.3,0.7,5000
0.35,0.7,5000
0.4,0.7,5000
0.45,0.7,5000
0.5,0.7,5000
0.55,0.7,5000
0.6,0.7,5000
0.65,0.7,5000
0.7,0.7,5000
0.75,0.7,5000
0.8,0.7,5000
0.85,0.7,5000
0.9,0.7,5000
0.95,0.7,5000
1,0.7,5000
0,0.75,58.6613
0.05,0.75,72.3798
0.1,0.75,101.8201
0.15,0.75,165.7437
0.2,0.75,474.935
0.25,0.75,5000
0.3,0.75,5000
0.35,0.75,5000
0.4,0.75,5000
0.45,0.75,5000
0.5,0.75,5000
0.55,0.75,5000
0.6,0.75,5000
0.65,0.75,5000
0.7,0.75,5000
0.75,0.75,5000
0.8,0.75,5000
0.85,0.75,5000
0.9,0.75,5000
0.95,0.75,5000
1,0.75,5000
0,0.8,56.5687
0.05,0.8,74.9962
0.1,0.8,107.0556
0.15,0.8,174.5821
0.2,0.8,535.0741
0.25,0.8,5000
0.3,0.8,5000
0.35,0.8,5000
0.4,0.8,5000
0.45,0.8,5000
0.5,0.8,5000
0.55,0.8,5000
0.6,0.8,5000
0.65,0.8,5000
0.7,0.8,5000
0.75,0.8,5000
0.8,0.8,5000
0.85,0.8,5000
0.9,0.8,5000
0.95,0.8,5000
1,0.8,5000
0,0.85,58.7829
0.05,0.85,71.4979
0.1,0.85,99.5752
0.15,0.85,193.1597
0.2,0.85,631.9623
0.25,0.85,5000
0.3,0.85,5000
0.35,0.85,5000
0.4,0.85,5000
0.45,0.85,5000
0.5,0.85,5000
0.55,0.85,5000
0.6,0.85,5000
0.65,0.85,5000
0.7,0.85,5000
0.75,0.85,5000
0.8,0.85,5000
0.85,0.85,5000
0.9,0.85,5000
0.95,0.85,5000
1,0.85,5000
0,0.9,58.4154
0.05,0.9,77.9394
0.1,0.9,108.9163
0.15,0.9,210.1751
0.2,0.9,5000
0.25,0.9,5000
0.3,0.9,5000
0.35,0.9,5000
0.4,0.9,5000
0.45,0.9,5000
0.5,0.9,5000
0.55,0.9,5000
0.6,0.9,5000
0.65,0.9,5000
0.7,0.9,5000
0.75,0.9,5000
0.8,0.9,5000
0.85,0.9,5000
0.9,0.9,5000
0.95,0.9,5000
1,0.9,5000
0,0.95,55.229
0.05,0.95,76.0932
0.1,0.95,115.2699
0.15,0.95,242.3277
0.2,0.95,5000
0.25,0.95,5000
0.3,0.95,5000
0.35,0.95,5000
0.4,0.95,5000
0.45,0.95,5000
0.5,0.95,5000
0.55,0.95,5000
0.6,0.95,5000
0.65,0.95,5000
0.7,0.95,5000
0.75,0.95,5000
0.8,0.95,5000
0.85,0.95,5000
0.9,0.95,5000
0.95,0.95,5000
1,0.95,5000
0,1,56.7187
0.05,1,73.8442
0.1,1,123.0432
0.15,1,250.9438
0.2,1,5000
0.25,1,5000
0.3,1,5000
0.35,1,5000
0.4,1,5000
0.45,1,5000
0.5,1,5000
0.55,1,5000
0.6,1,5000
0.65,1,5000
0.7,1,5000
0.75,1,5000
0.8,1,5000
0.85,1,5000
0.9,1,5000
0.95,1,5000
1,1,5000
