EMBRYO,GERMLINE,AVERAGE
0,0.5,59.9255
0.05,0.5,75.0427
0.1,0.5,90.855
0.15,0.5,135.6029
0.2,0.5,260.2963
0.25,0.5,5000
0.3,0.5,5000
0.35,0.5,5000
0.4,0.5,5000
0.45,0.5,5000
0.5,0.5,5000
0.55,0.5,5000
0.6,0.5,5000
0.65,0.5,5000
0.7,0.5,5000
0.75,0.5,5000
0.8,0.5,5000
0.85,0.5,5000
0.9,0.5,5000
0.95,0.5,5000
1,0.5,5000
0,0.55,62.3655
0.05,0.55,67.4908
0.1,0.55,94.0479
0.15,0.55,137.2548
0.2,0.55,264.4423
0.25,0.55,5000
0.3,0.55,5000
0.35,0.55,5000
0.4,0.55,5000
0.45,0.55,5000
0.5,0.55,5000
0.55,0.55,5000
0.6,0.55,5000
0.65,0.55,5000
0.7,0.55,5000
0.75,0.55,5000
0.8,0.55,5000
0.85,0.55,5000
0.9,0.55,5000
0.95,0.55,5000
1,0.55,5000
0,0.6,57.6912
0.05,0.6,71.1206
0.1,0.6,94.3243
0.15,0.6,140.5269
0.2,0.6,301.4606
0.25,0.6,5000
0.3,0.6,5000
0.35,0.6,5000
0.4,0.6,5000
0.45,0.6,5000
0.5,0.6,5000
0.55,0.6,5000
0.6,0.6,5000
0.65,0.6,5000
0.7,0.6,5000
0.75,0.6,5000
0.8,0.6,5000
0.85,0.6,5000
0.9,0.6,5000
0.95,0.6,5000
1,0.6,5000
0,0.65,54.7374
0.05,0.65,71.1276
0.1,0.65,102.3402
0.15,0.65,145.4898
0.2,0.65,270.6949
0.25,0.65,5000
0.3,0.65,5000
0.35,0.65,5000
0.4,0.65,5000
0.45,0.65,5000
0.5,0.65,5000
0.55,0.65,5000
0.6,0.65,5000
0.65,0.65,5000
0.7,0.65,5000
0.75,0.65,5000
0.8,0.65,5000
0.85,0.65,5000
0.9,0.65,5000
0.95,0.65,5000
1,0.65,5000
0,0.7,56.6015
0.05,0.7,72.5543
0.1,0.7,102.4902
0.15,0.7,155.8194
0.2,0.7,419.0358
0.25,0.7,5000
0.3,0.7,5000
0.35,0.7,5000
0.4,0.7,5000
0.45,0.7,5000
0.5,0.7,5000
0.55,0.7,5000
0.6,0.7,5000
0.65,0.7,5000
0.7,0.7,5000
0.75,0.7,5000
0.8,0.7,5000
0.85,0.7,5000
0.9,0.7,5000
0.95,0.7,5000
1,0.7,5000
0,0.75,58.6011
0.05,0.75,76.9688
0.1,0.75,99.8884
0.15,0.75,166.6261
0.2,0.75,497.0257
0.25,0.75,5000
0.3,0.75,5000
0.35,0.75,5000
0.4,0.75,5000
0.45,0.75,5000
0.5,0.75,5000
0.55,0.75,5000
0.6,0.75,5000
0.65,0.75,5000
0.7,0.75,5000
0.75,0.75,5000
0.8,0.75,5000
0.85,0.75,5000
0.9,0.75,5000
0.95,0.75,5000
1,0.75,5000
0,0.8,55.4545
0.05,0.8,69.3238
0.1,0.8,102.591
0.15,0.8,173.952
0.2,0.8,490.8257
0.25,0.8,5000
0.3,0.8,5000
0.35,0.8,5000
0.4,0.8,5000
0.45,0.8,5000
0.5,0.8,5000
0.55,0.8,5000
0.6,0.8,5000
0.65,0.8,5000
0.7,0.8,5000
0.75,0.8,5000
0.8,0.8,5000
0.85,0.8,5000
0.9,0.8,5000
0.95,0.8,5000
1,0.8,5000
0,0.85,53.795
0.05,0.85,70.975
0.1,0.85,105.8567
0.15,0.85,178.5232
0.2,0.85,481.3518
0.25,0.85,5000
0.3,0.85,5000
0.35,0.85,5000
0.4,0.85,5000
0.45,0.85,5000
0.5,0.85,5000
0.55,0.85,5000
0.6,0.85,5000
0.65,0.85,5000
0.7,0.85,5000
0.75,0.85,5000
0.8,0.85,5000
0.85,0.85,5000
0.9,0.85,5000
0.95,0.85,5000
1,0.85,5000
0,0.9,57.7231
0.05,0.9,76.9976
0.1,0.9,103.547
0.15,0.9,214.5108
0.2,0.9,5000
0.25,0.9,5000
0.3,0.9,5000
0.35,0.9,5000
0.4,0.9,5000
0.45,0.9,5000
0.5,0.9,5000
0.55,0.9,5000
0.6,0.9,5000
0.65,0.9,5000
0.7,0.9,5000
0.75,0.9,5000
0.8,0.9,5000
0.85,0.9,5000
0.9,0.9,5000
0.95,0.9,5000
1,0.9,5000
0,0.95,56.3665
0.05,0.95,80.2859
0.1,0.95,116.9288
0.15,0.95,212.6922
0.2,0.95,5000
0.25,0.95,5000
0.3,0.95,5000
0.35,0.95,5000
0.4,0.95,5000
0.45,0.95,5000
0.5,0.95,5000
0.55,0.95,5000
0.6,0.95,5000
0.65,0.95,5000
0.7,0.95,5000
0.75,0.95,5000
0.8,0.95,5000
0.85,0.95,5000
0.9,0.95,5000
0.95,0.95,5000
1,0.95,5000
0,1,54.5951
0.05,1,78.2052
0.1,1,119.1349
0.15,1,265.1323
0.2,1,5000
0.25,1,5000
0.3,1,5000
0.35,1,5000
0.4,1,5000
0.45,1,5000
0.5,1,5000
0.55,1,5000
0.6,1,5000
0.65,1,5000
0.7,1,5000
0.75,1,5000
0.8,1,5000
0.85,1,5000
0.9,1,5000
0.95,1,5000
1,1,5000
