EMBRYO,GERMLINE,AVERAGE
0,0.5,38.5521
0.05,0.5,39.6737
0.1,0.5,42.0062
0.15,0.5,44.0801
0.2,0.5,46.215
0.25,0.5,47.8682
0.3,0.5,51.4064
0.35,0.5,53.0313
0.4,0.5,55.6467
0.45,0.5,58.2186
0.5,0.5,59.9096
0.55,0.5,62.631
0.6,0.5,64.5989
0.65,0.5,67.716
0.7,0.5,72.0804
0.75,0.5,74.8481
0.8,0.5,77.5421
0.85,0.5,80.8181
0.9,0.5,82.2912
0.95,0.5,85.4491
1,0.5,89.3393
0,0.55,36.7094
0.05,0.55,38.9813
0.1,0.55,40.4023
0.15,0.55,42.7491
0.2,0.55,44.4935
0.25,0.55,47.1821
0.3,0.55,49.2615
0.35,0.55,51.2112
0.4,0.55,52.8301
0.45,0.55,56.4184
0.5,0.55,60.6607
0.55,0.55,62.0289
0.6,0.55,65.069
0.65,0.55,66.6595
0.7,0.55,70.024
0.75,0.55,72.9621
0.8,0.55,74.8324
0.85,0.55,78.3408
0.9,0.55,80.4201
0.95,0.55,82.6901
1,0.55,105.6016
0,0.6,35.0697
0.05,0.6,37.0008
0.1,0.6,39.351
0.15,0.6,41.0247
0.2,0.6,43.592
0.25,0.6,46.1309
0.3,0.6,47.6335
0.35,0.6,49.9895
0.4,0.6,51.4611
0.45,0.6,55.0284
0.5,0.6,57.2479
0.55,0.6,60.2077
0.6,0.6,62.0745
0.65,0.6,65.6074
0.7,0.6,69.4835
0.75,0.6,72.2577
0.8,0.6,73.1771
0.85,0.6,76.7072
0.9,0.6,78.6113
0.95,0.6,81.9967
1,0.6,83.7564
0,0.65,34.7997
0.05,0.65,36.4826
0.1,0.65,37.8708
0.15,0.65,40.1318
0.2,0.65,42.558
0.25,0.65,44.3935
0.3,0.65,46.2276
0.35,0.65,49.3529
0.4,0.65,51.5694
0.45,0.65,52.8952
0.5,0.65,56.1994
0.55,0.65,59.1176
0.6,0.65,62.4113
0.65,0.65,63.9176
0.7,0.65,66.5555
0.75,0.65,69.6797
0.8,0.65,70.9104
0.85,0.65,75.3316
0.9,0.65,77.6841
0.95,0.65,79.1969
1,0.65,82.9699
0,0.7,33.6886
0.05,0.7,35.6489
0.1,0.7,37.7407
0.15,0.7,39.9511
0.2,0.7,41.5398
0.25,0.7,43.0745
0.3,0.7,45.7038
0.35,0.7,47.6661
0.4,0.7,49.7498
0.45,0.7,52.2853
0.5,0.7,55.5515
0.55,0.7,58.5979
0.6,0.7,59.5765
0.65,0.7,62.9577
0.7,0.7,65.2758
0.75,0.7,67.6744
0.8,0.7,71.9416
0.85,0.7,72.1251
0.9,0.7,76.2094
0.95,0.7,76.5534
1,0.7,80.734
0,0.75,32.6622
0.05,0.75,34.9218
0.1,0.75,36.0099
0.15,0.75,39.2025
0.2,0.75,40.0171
0.25,0.75,41.8962
0.3,0.75,44.5967
0.35,0.75,46.5358
0.4,0.75,49.1415
0.45,0.75,51.8387
0.5,0.75,54.5364
0.55,0.75,56.5079
0.6,0.75,58.3902
0.65,0.75,60.8333
0.7,0.75,63.3169
0.75,0.75,66.6628
0.8,0.75,69.3769
0.85,0.75,72.9726
0.9,0.75,72.9736
0.95,0.75,74.8016
1,0.75,77.9894
0,0.8,31.8328
0.05,0.8,34.1022
0.1,0.8,35.6057
0.15,0.8,37.7327
0.2,0.8,39.509
0.25,0.8,41.5527
0.3,0.8,43.0972
0.35,0.8,45.5915
0.4,0.8,47.3767
0.45,0.8,49.8068
0.5,0.8,52.6529
0.55,0.8,54.5679
0.6,0.8,58.1863
0.65,0.8,60.309
0.7,0.8,62.9933
0.75,0.8,65.8988
0.8,0.8,68.4979
0.85,0.8,70.5587
0.9,0.8,73.4225
0.95,0.8,73.8468
1,0.8,77.7109
0,0.85,31.5986
0.05,0.85,33.8018
0.1,0.85,34.8788
0.15,0.85,36.4115
0.2,0.85,38.8003
0.25,0.85,40.8542
0.3,0.85,42.4335
0.35,0.85,44.9781
0.4,0.85,47.708
0.45,0.85,49.5093
0.5,0.85,51.8916
0.55,0.85,54.1955
0.6,0.85,57.1648
0.65,0.85,59.5727
0.7,0.85,61.9989
0.75,0.85,63.9999
0.8,0.85,66.9757
0.85,0.85,68.8618
0.9,0.85,70.0181
0.95,0.85,73.34
1,0.85,74.5017
0,0.9,31.2327
0.05,0.9,32.1446
0.1,0.9,34.3099
0.15,0.9,35.6091
0.2,0.9,38.1954
0.25,0.9,40.0458
0.3,0.9,41.8595
0.35,0.9,44.2045
0.4,0.9,46.3006
0.45,0.9,48.8826
0.5,0.9,50.0414
0.55,0.9,53.8169
0.6,0.9,55.7097
0.65,0.9,57.6557
0.7,0.9,60.8738
0.75,0.9,63.3054
0.8,0.9,65.6464
0.85,0.9,66.8814
0.9,0.9,70.2863
0.95,0.9,71.5509
1,0.9,72.2166
0,0.95,30.7207
0.05,0.95,32.1217
0.1,0.95,34.3676
0.15,0.95,36.2832
0.2,0.95,37.2541
0.25,0.95,39.3336
0.3,0.95,41.2261
0.35,0.95,42.6401
0.4,0.95,45.8128
0.45,0.95,47.6906
0.5,0.95,51.919
0.55,0.95,51.6539
0.6,0.95,54.889
0.65,0.95,58.5795
0.7,0.95,59.4552
0.75,0.95,61.7806
0.8,0.95,64.0679
0.85,0.95,65.9227
0.9,0.95,69.3254
0.95,0.95,69.9953
1,0.95,72.094
0,1,30.4154
0.05,1,32.1035
0.1,1,33.0834
0.15,1,34.9965
0.2,1,36.8183
0.25,1,38.3578
0.3,1,40.9895
0.35,1,43.6294
0.4,1,44.7183
0.45,1,46.7908
0.5,1,48.4292
0.55,1,51.4454
0.6,1,53.6328
0.65,1,56.5457
0.7,1,58.7306
0.75,1,60.179
0.8,1,63.7604
0.85,1,64.5488
0.9,1,67.1199
0.95,1,69.3182
1,1,70.421
