EMBRYO,GERMLINE,AVERAGE
0,0.5,22.123
0.05,0.5,21.3687
0.1,0.5,21.109
0.15,0.5,21.3712
0.2,0.5,20.8764
0.25,0.5,21.4974
0.3,0.5,20.1602
0.35,0.5,19.6661
0.4,0.5,19.7464
0.45,0.5,19.2311
0.5,0.5,19.1828
0.55,0.5,18.3042
0.6,0.5,18.1906
0.65,0.5,18.9975
0.7,0.5,18.5339
0.75,0.5,18.7328
0.8,0.5,17.9545
0.85,0.5,17.7255
0.9,0.5,17.8082
0.95,0.5,17.5098
1,0.5,17.6809
0,0.55,20.0051
0.05,0.55,20.236
0.1,0.55,20.2348
0.15,0.55,20.5955
0.2,0.55,20.1327
0.25,0.55,19.2398
0.3,0.55,19.6674
0.35,0.55,19.3566
0.4,0.55,19.7408
0.45,0.55,18.9089
0.5,0.55,18.4612
0.55,0.55,19.1083
0.6,0.55,18.1316
0.65,0.55,18.5509
0.7,0.55,18.1582
0.75,0.55,17.4858
0.8,0.55,18.1619
0.85,0.55,17.2972
0.9,0.55,16.9593
0.95,0.55,17.4611
1,0.55,17.2416
0,0.6,21.218
0.05,0.6,20.3687
0.1,0.6,19.3783
0.15,0.6,19.4699
0.2,0.6,19.633
0.25,0.6,19.1306
0.3,0.6,18.9405
0.35,0.6,18.9384
0.4,0.6,18.8575
0.45,0.6,18.0539
0.5,0.6,18.3097
0.55,0.6,17.6433
0.6,0.6,17.8273
0.65,0.6,17.9047
0.7,0.6,17.8589
0.75,0.6,17.0162
0.8,0.6,17.3551
0.85,0.6,17.1764
0.9,0.6,17.5432
0.95,0.6,17.1047
1,0.6,16.6132
0,0.65,18.5158
0.05,0.65,19.0018
0.1,0.65,18.8557
0.15,0.65,18.9756
0.2,0.65,18.8859
0.25,0.65,17.4898
0.3,0.65,17.5104
0.35,0.65,18.3402
0.4,0.65,17.7211
0.45,0.65,17.5314
0.5,0.65,17.9559
0.55,0.65,18.0986
0.6,0.65,17.3829
0.65,0.65,17.7595
0.7,0.65,17.5366
0.75,0.65,17.2305
0.8,0.65,17.3703
0.85,0.65,17.3036
0.9,0.65,16.6638
0.95,0.65,16.7494
1,0.65,16.677
0,0.7,18.696
0.05,0.7,17.9183
0.1,0.7,18.0112
0.15,0.7,17.7558
0.2,0.7,17.9822
0.25,0.7,17.3449
0.3,0.7,17.5067
0.35,0.7,17.3522
0.4,0.7,17.0082
0.45,0.7,17.442
0.5,0.7,17.6872
0.55,0.7,17.3259
0.6,0.7,17.366
0.65,0.7,17.1301
0.7,0.7,17.4557
0.75,0.7,16.9082
0.8,0.7,17.1581
0.85,0.7,16.4717
0.9,0.7,16.224
0.95,0.7,16.6804
1,0.7,16.1818
0,0.75,17.4412
0.05,0.75,17.5982
0.1,0.75,18.1813
0.15,0.75,17.4421
0.2,0.75,16.929
0.25,0.75,17.0152
0.3,0.75,17.1394
0.35,0.75,16.9362
0.4,0.75,16.9927
0.45,0.75,16.5797
0.5,0.75,16.7349
0.55,0.75,17.1292
0.6,0.75,17.2042
0.65,0.75,17.318
0.7,0.75,16.6344
0.75,0.75,16.7048
0.8,0.75,16.4383
0.85,0.75,16.4369
0.9,0.75,16.5774
0.95,0.75,16.0642
1,0.75,15.8337
0,0.8,17.5191
0.05,0.8,16.7539
0.1,0.8,16.6914
0.15,0.8,16.5189
0.2,0.8,16.962
0.25,0.8,16.4633
0.3,0.8,16.724
0.35,0.8,16.8431
0.4,0.8,16.8361
0.45,0.8,16.5351
0.5,0.8,16.4348
0.55,0.8,15.5811
0.6,0.8,16.273
0.65,0.8,15.7851
0.7,0.8,16.079
0.75,0.8,15.9031
0.8,0.8,15.9346
0.85,0.8,16.2108
0.9,0.8,16.0462
0.95,0.8,15.896
1,0.8,15.9659
0,0.85,16.6612
0.05,0.85,16.501
0.1,0.85,16.2738
0.15,0.85,16.0016
0.2,0.85,15.9418
0.25,0.85,16.5876
0.3,0.85,16.1016
0.35,0.85,16.2452
0.4,0.85,16.3331
0.45,0.85,16.6959
0.5,0.85,15.8183
0.55,0.85,15.9469
0.6,0.85,15.8555
0.65,0.85,15.8874
0.7,0.85,15.8051
0.75,0.85,16.1721
0.8,0.85,15.4171
0.85,0.85,15.7805
0.9,0.85,15.7686
0.95,0.85,15.3493
1,0.85,15.3178
0,0.9,15.8007
0.05,0.9,15.7215
0.1,0.9,15.9495
0.15,0.9,16.0985
0.2,0.9,15.5295
0.25,0.9,16.4918
0.3,0.9,15.5604
0.35,0.9,15.7168
0.4,0.9,15.599
0.45,0.9,15.3835
0.5,0.9,15.7468
0.55,0.9,15.6138
0.6,0.9,15.5892
0.65,0.9,15.1736
0.7,0.9,15.3249
0.75,0.9,15.3156
0.8,0.9,15.1858
0.85,0.9,14.9857
0.9,0.9,15.3476
0.95,0.9,15.7736
1,0.9,15.2918
0,0.95,15.5649
0.05,0.95,16.0577
0.1,0.95,15.4461
0.15,0.95,15.3284
0.2,0.95,15.1236
0.25,0.95,15.5634
0.3,0.95,15.6818
0.35,0.95,15.0647
0.4,0.95,15.4559
0.45,0.95,14.9101
0.5,0.95,15.1376
0.55,0.95,15.1635
0.6,0.95,15.0488
0.65,0.95,15.4152
0.7,0.95,15.0847
0.75,0.95,14.8252
0.8,0.95,14.8724
0.85,0.95,15.1385
0.9,0.95,14.7024
0.95,0.95,15.3527
1,0.95,15.1506
0,1,15.0683
0.05,1,14.3414
0.1,1,14.8554
0.15,1,15.7303
0.2,1,14.6118
0.25,1,14.8675
0.3,1,15.0431
0.35,1,15.0493
0.4,1,14.5568
0.45,1,14.3306
0.5,1,14.7783
0.55,1,14.6481
0.6,1,15.4189
0.65,1,15.0014
0.7,1,14.5963
0.75,1,14.8892
0.8,1,14.7201
0.85,1,14.8572
0.9,1,14.6346
0.95,1,14.5566
1,1,14.6739
