EMBRYO,GERMLINE,AVERAGE
0.0,0.5,25.1734
0.05,0.5,24.1094
0.1,0.5,25.149
0.15,0.5,23.7626
0.2,0.5,24.1248
0.25,0.5,23.6431
0.3,0.5,22.9678
0.35,0.5,22.216
0.4,0.5,22.3864
0.45,0.5,22.2397
0.5,0.5,21.188
0.55,0.5,21.384
0.6,0.5,20.678
0.65,0.5,20.1214
0.7,0.5,20.2421
0.75,0.5,19.7361
0.8,0.5,19.2229
0.85,0.5,19.1535
0.9,0.5,19.452
0.95,0.5,18.8224
1.0,0.5,18.7034
0.0,0.55,22.4981
0.05,0.55,23.2673
0.1,0.55,22.2065
0.15,0.55,22.525
0.2,0.55,22.8741
0.25,0.55,21.9096
0.3,0.55,22.0684
0.35,0.55,21.9243
0.4,0.55,21.2225
0.45,0.55,20.9017
0.5,0.55,19.8381
0.55,0.55,19.9017
0.6,0.55,20.1818
0.65,0.55,20.0154
0.7,0.55,19.7586
0.75,0.55,19.1175
0.8,0.55,19.0695
0.85,0.55,18.8349
0.9,0.55,18.5829
0.95,0.55,18.805
1.0,0.55,18.6967
0.0,0.6,21.3902
0.05,0.6,22.864
0.1,0.6,22.9704
0.15,0.6,21.8513
0.2,0.6,21.1164
0.25,0.6,20.7925
0.3,0.6,21.1137
0.35,0.6,21.0764
0.4,0.6,20.4999
0.45,0.6,20.3192
0.5,0.6,20.0226
0.55,0.6,19.6929
0.6,0.6,19.6252
0.65,0.6,19.4322
0.7,0.6,19.063
0.75,0.6,19.0034
0.8,0.6,17.9961
0.85,0.6,18.8739
0.9,0.6,18.3171
0.95,0.6,18.0672
1.0,0.6,18.3997
0.0,0.65,20.991
0.05,0.65,21.4564
0.1,0.65,20.5496
0.15,0.65,20.9763
0.2,0.65,19.484
0.25,0.65,19.823
0.3,0.65,18.8468
0.35,0.65,19.7005
0.4,0.65,19.0944
0.45,0.65,18.722
0.5,0.65,19.1225
0.55,0.65,19.542
0.6,0.65,19.4138
0.65,0.65,18.4823
0.7,0.65,18.4918
0.75,0.65,18.4136
0.8,0.65,18.315
0.85,0.65,17.2551
0.9,0.65,17.8157
0.95,0.65,17.6832
1.0,0.65,17.7514
0.0,0.7,19.6854
0.05,0.7,20.1383
0.1,0.7,20.0871
0.15,0.7,19.8654
0.2,0.7,19.1286
0.25,0.7,19.7859
0.3,0.7,18.8402
0.35,0.7,18.9511
