EMBRYO,GERMLINE,AVERAGE
0,0.5,23.6958
0.05,0.5,23.2818
0.1,0.5,22.6632
0.15,0.5,22.8528
0.2,0.5,21.7361
0.25,0.5,21.2711
0.3,0.5,21.3141
0.35,0.5,20.5912
0.4,0.5,20.3788
0.45,0.5,19.6434
0.5,0.5,18.9868
0.55,0.5,19.1317
0.6,0.5,19.2816
0.65,0.5,18.8966
0.7,0.5,18.6009
0.75,0.5,18.1861
0.8,0.5,18.2106
0.85,0.5,18.1773
0.9,0.5,17.7032
0.95,0.5,17.585
1,0.5,17.6328
0,0.55,22.6752
0.05,0.55,21.7248
0.1,0.55,21.7869
0.15,0.55,21.102
0.2,0.55,20.6599
0.25,0.55,19.8898
0.3,0.55,20.1663
0.35,0.55,19.703
0.4,0.55,19.4653
0.45,0.55,19.3919
0.5,0.55,18.9745
0.55,0.55,18.4074
0.6,0.55,18.5394
0.65,0.55,18.3703
0.7,0.55,18.8327
0.75,0.55,18.1512
0.8,0.55,18.0309
0.85,0.55,17.5312
0.9,0.55,17.4838
0.95,0.55,17.4675
1,0.55,17.2031
0,0.6,20.9296
0.05,0.6,20.9599
0.1,0.6,20.455
0.15,0.6,20.3642
0.2,0.6,20.0401
0.25,0.6,19.8988
0.3,0.6,19.4606
0.35,0.6,19.283
0.4,0.6,18.8203
0.45,0.6,18.9301
0.5,0.6,18.6186
0.55,0.6,18.5678
0.6,0.6,18.177
0.65,0.6,18.0559
0.7,0.6,17.6491
0.75,0.6,17.5341
0.8,0.6,17.3151
0.85,0.6,17.6328
0.9,0.6,17.4182
0.95,0.6,17.1978
1,0.6,17.3695
0,0.65,19.9205
0.05,0.65,19.5943
0.1,0.65,20.012
0.15,0.65,19.3853
0.2,0.65,19.3219
0.25,0.65,19.0148
0.3,0.65,18.8687
0.35,0.65,18.3644
0.4,0.65,17.9805
0.45,0.65,18.2243
0.5,0.65,18.0099
0.55,0.65,17.1857
0.6,0.65,17.4711
0.65,0.65,17.4806
0.7,0.65,17.5191
0.75,0.65,17.2992
0.8,0.65,16.9555
0.85,0.65,17.0249
0.9,0.65,17.0269
0.95,0.65,16.9222
1,0.65,16.9835
0,0.7,19.3114
0.05,0.7,18.8588
0.1,0.7,18.6842
0.15,0.7,18.5131
0.2,0.7,18.3666
0.25,0.7,18.5198
0.3,0.7,18.0033
0.35,0.7,17.8391
