EMBRYO,GERMLINE,AVERAGE
0,0.5,126.751
0.05,0.5,127.9099
0.1,0.5,126.977
0.15,0.5,125.4747
0.2,0.5,130.934
0.25,0.5,130.192
0.3,0.5,128.6337
0.35,0.5,131.0563
0.4,0.5,133.5597
0.45,0.5,131.6216
0.5,0.5,133.2564
0.55,0.5,133.3769
0.6,0.5,134.2482
0.65,0.5,131.8504
0.7,0.5,130.8781
0.75,0.5,131.6791
0.8,0.5,130.1519
0.85,0.5,132.3502
0.9,0.5,124.1963
0.95,0.5,123.738
1,0.5,121.4739
0,0.55,116.0615
0.05,0.55,118.3045
0.1,0.55,119.4228
0.15,0.55,121.1631
0.2,0.55,123.2426
0.25,0.55,126.4335
0.3,0.55,121.7839
0.35,0.55,129.1802
0.4,0.55,125.8859
0.45,0.55,127.8665
0.5,0.55,127.3165
0.55,0.55,131.8141
0.6,0.55,130.7346
0.65,0.55,132.0879
0.7,0.55,128.2204
0.75,0.55,130.5646
0.8,0.55,127.3055
0.85,0.55,125.8996
0.9,0.55,124.5873
0.95,0.55,121.1523
1,0.55,118.8237
0,0.6,110.8472
0.05,0.6,110.5315
0.1,0.6,116.3421
0.15,0.6,117.0526
0.2,0.6,116.4909
0.25,0.6,118.8939
0.3,0.6,118.6116
0.35,0.6,121.6735
0.4,0.6,122.1141
0.45,0.6,123.3545
0.5,0.6,127.1916
0.55,0.6,125.2295
0.6,0.6,127.5008
0.65,0.6,127.8345
0.7,0.6,128.1244
0.75,0.6,126.0677
0.8,0.6,125.98
0.85,0.6,127.671
0.9,0.6,125.3804
0.95,0.6,122.7317
1,0.6,118.4574
0,0.65,103.8419
0.05,0.65,107.2299
0.1,0.65,107.4738
0.15,0.65,111.3762
0.2,0.65,112.775
0.25,0.65,113.3996
0.3,0.65,116.6903
0.35,0.65,119.1985
0.4,0.65,119.9424
0.45,0.65,120.5829
0.5,0.65,124.6054
0.55,0.65,124.6023
0.6,0.65,126.5713
0.65,0.65,125.4014
0.7,0.65,125.0971
0.75,0.65,128.583
0.8,0.65,122.9592
0.85,0.65,124.203
0.9,0.65,125.1092
0.95,0.65,121.8503
1,0.65,116.6931
0,0.7,98.6048
0.05,0.7,101.6339
0.1,0.7,104.0515
0.15,0.7,105.499
0.2,0.7,106.2762
0.25,0.7,110.0129
0.3,0.7,112.0739
0.35,0.7,116.0136
0.4,0.7,116.5461
0.45,0.7,119.0347
0.5,0.7,116.673
0.55,0.7,120.3113
0.6,0.7,119.8306
0.65,0.7,123.618
0.7,0.7,122.9075
0.75,0.7,122.5489
0.8,0.7,122.1937
0.85,0.7,122.3161
0.9,0.7,123.4911
0.95,0.7,121.1815
1,0.7,120.7462
0,0.75,95.6237
0.05,0.75,96.4511
0.1,0.75,98.0165
0.15,0.75,101.3492
0.2,0.75,104.7172
0.25,0.75,104.4383
0.3,0.75,108.5373
0.35,0.75,113.2227
0.4,0.75,111.8341
0.45,0.75,114.2671
0.5,0.75,114.9067
0.55,0.75,115.1246
0.6,0.75,118.8294
0.65,0.75,122.2135
0.7,0.75,120.6544
0.75,0.75,121.6372
0.8,0.75,120.3656
0.85,0.75,120.3078
0.9,0.75,124.8855
0.95,0.75,121.5669
1,0.75,116.7036
0,0.8,90.128
0.05,0.8,92.5333
0.1,0.8,96.0119
0.15,0.8,96.7327
0.2,0.8,99.378
0.25,0.8,101.971
0.3,0.8,105.2956
0.35,0.8,108.0258
0.4,0.8,114.5726
0.45,0.8,110.6181
0.5,0.8,113.1178
0.55,0.8,113.437
0.6,0.8,114.6425
0.65,0.8,120.4667
0.7,0.8,118.7577
0.75,0.8,121.9438
0.8,0.8,118.7423
0.85,0.8,122.816
0.9,0.8,118.318
0.95,0.8,117.0798
1,0.8,116.6103
0,0.85,86.4038
0.05,0.85,89.777
0.1,0.85,91.9872
0.15,0.85,94.3654
0.2,0.85,94.8038
0.25,0.85,99.0648
0.3,0.85,102.7477
0.35,0.85,105.4302
0.4,0.85,106.1146
0.45,0.85,108.6064
0.5,0.85,110.0679
0.55,0.85,114.3668
0.6,0.85,112.7216
0.65,0.85,114.3528
0.7,0.85,115.6711
0.75,0.85,116.7595
0.8,0.85,118.3604
0.85,0.85,116.5588
0.9,0.85,116.8907
0.95,0.85,117.219
1,0.85,115.6416
0,0.9,83.4024
0.05,0.9,85.8234
0.1,0.9,90.104
0.15,0.9,88.5675
0.2,0.9,92.8034
0.25,0.9,96.0496
0.3,0.9,98.5152
0.35,0.9,101.139
0.4,0.9,103.1404
0.45,0.9,105.4837
0.5,0.9,110.5585
0.55,0.9,111.4899
0.6,0.9,113.1439
0.65,0.9,114.2074
0.7,0.9,115.1798
0.75,0.9,114.3177
0.8,0.9,116.8718
0.85,0.9,115.7364
0.9,0.9,118.6093
0.95,0.9,117.1915
1,0.9,118.4035
0,0.95,82.1762
0.05,0.95,82.9593
0.1,0.95,87.2116
0.15,0.95,89.488
0.2,0.95,92.3352
0.25,0.95,94.1031
0.3,0.95,96.1634
0.35,0.95,98.8247
0.4,0.95,100.6574
0.45,0.95,104.9241
0.5,0.95,107.4836
0.55,0.95,107.6246
0.6,0.95,109.6121
0.65,0.95,110.6827
0.7,0.95,113.6248
0.75,0.95,114.5036
0.8,0.95,115.9425
0.85,0.95,117.802
0.9,0.95,114.2553
0.95,0.95,114.3833
1,0.95,115.9597
0,1,78.3868
0.05,1,81.5151
0.1,1,83.0243
0.15,1,86.2511
0.2,1,88.975
0.25,1,90.9467
0.3,1,93.6535
0.35,1,96.9251
0.4,1,99.1049
0.45,1,99.5354
0.5,1,101.6254
0.55,1,106.3762
0.6,1,109.399
0.65,1,109.4723
0.7,1,112.1386
0.75,1,112.6568
0.8,1,114.6784
0.85,1,116.4986
0.9,1,114.4582
0.95,1,113.3597
1,1,115.5627
