EMBRYO,GERMLINE,AVERAGE
0,0.5,42.141
0.05,0.5,40.6307
0.1,0.5,38.5492
0.15,0.5,38.288
0.2,0.5,38.0717
0.25,0.5,37.4072
0.3,0.5,35.9235
0.35,0.5,35.4943
0.4,0.5,34.8523
0.45,0.5,33.5645
0.5,0.5,32.6543
0.55,0.5,32.774
0.6,0.5,32.1882
0.65,0.5,31.6871
0.7,0.5,31.3105
0.75,0.5,31.1412
0.8,0.5,30.4772
0.85,0.5,29.9998
0.9,0.5,30.112
0.95,0.5,28.7399
1,0.5,28.5487
0,0.55,41.1551
0.05,0.55,39.5385
0.1,0.55,38.3019
0.15,0.55,37.4475
0.2,0.55,36.9813
0.25,0.55,35.79
0.3,0.55,35.6904
0.35,0.55,34.3494
0.4,0.55,33.9438
0.45,0.55,33.4076
0.5,0.55,32.9916
0.55,0.55,32.5082
0.6,0.55,31.6237
0.65,0.55,31.4902
0.7,0.55,31.5852
0.75,0.55,30.6278
0.8,0.55,30.2872
0.85,0.55,29.866
0.9,0.55,29.3337
0.95,0.55,29.5329
1,0.55,28.9299
0,0.6,38.54
0.05,0.6,38.6829
0.1,0.6,37.8261
0.15,0.6,37.17
0.2,0.6,36.0712
0.25,0.6,36.001
0.3,0.6,34.3954
0.35,0.6,35.0285
0.4,0.6,33.6416
0.45,0.6,33.1288
0.5,0.6,33.2886
0.55,0.6,32.3428
0.6,0.6,31.7954
0.65,0.6,31.4215
0.7,0.6,31.2584
0.75,0.6,30.7596
0.8,0.6,30.1015
0.85,0.6,29.6908
0.9,0.6,29.2691
0.95,0.6,29.1894
1,0.6,28.9655
0,0.65,38.6626
0.05,0.65,38.7451
0.1,0.65,36.7266
0.15,0.65,36.6268
0.2,0.65,35.461
0.25,0.65,35
0.3,0.65,34.5437
0.35,0.65,34.1272
0.4,0.65,33.2933
0.45,0.65,33.051
0.5,0.65,32.1473
0.55,0.65,32.1629
0.6,0.65,31.4725
0.65,0.65,30.7913
0.7,0.65,30.9135
0.75,0.65,30.4887
0.8,0.65,29.8634
0.85,0.65,29.9031
0.9,0.65,29.6141
0.95,0.65,29.1175
1,0.65,28.4649
0,0.7,36.891
0.05,0.7,36.409
0.1,0.7,36.5236
0.15,0.7,35.8113
0.2,0.7,34.6836
0.25,0.7,34.5426
0.3,0.7,34.2132
0.35,0.7,33.9969
0.4,0.7,33.0338
0.45,0.7,31.9418
0.5,0.7,31.923
0.55,0.7,31.8467
0.6,0.7,31.0958
0.65,0.7,31.1391
0.7,0.7,30.9006
0.75,0.7,30.3997
0.8,0.7,30.1928
0.85,0.7,29.2769
0.9,0.7,29.2426
0.95,0.7,28.3824
1,0.7,28.9449
0,0.75,36.7196
0.05,0.75,36.6173
0.1,0.75,35.991
0.15,0.75,35.1874
0.2,0.75,34.733
0.25,0.75,33.8157
0.3,0.75,33.188
0.35,0.75,33.5744
0.4,0.75,32.8099
0.45,0.75,32.3544
0.5,0.75,31.6615
0.55,0.75,31.9208
0.6,0.75,30.9206
0.65,0.75,30.8955
0.7,0.75,29.9699
0.75,0.75,30.4838
0.8,0.75,29.7604
0.85,0.75,29.3579
0.9,0.75,29.0858
0.95,0.75,28.9897
1,0.75,28.8127
0,0.8,36.2499
0.05,0.8,36.4237
0.1,0.8,34.6996
0.15,0.8,34.6141
0.2,0.8,34.2116
0.25,0.8,33.6382
0.3,0.8,32.9786
0.35,0.8,33.362
0.4,0.8,32.131
0.45,0.8,32.4449
0.5,0.8,31.327
0.55,0.8,31.3725
0.6,0.8,31.1507
0.65,0.8,30.6361
0.7,0.8,30.0745
0.75,0.8,29.9659
0.8,0.8,29.5164
0.85,0.8,29.1281
0.9,0.8,29.4116
0.95,0.8,28.8636
1,0.8,28.5069
0,0.85,35.2548
0.05,0.85,34.4757
0.1,0.85,34.5213
0.15,0.85,34.5763
0.2,0.85,34.4672
0.25,0.85,33.3703
0.3,0.85,32.9135
0.35,0.85,32.3484
0.4,0.85,31.9595
0.45,0.85,31.8999
0.5,0.85,31.8245
0.55,0.85,31.4806
0.6,0.85,31.1265
0.65,0.85,30.4946
0.7,0.85,29.9442
0.75,0.85,30.0809
0.8,0.85,29.5381
0.85,0.85,29.1756
0.9,0.85,29.1047
0.95,0.85,29.1335
1,0.85,28.3245
0,0.9,34.9005
0.05,0.9,34.5726
0.1,0.9,33.7513
0.15,0.9,33.6732
0.2,0.9,33.3443
0.25,0.9,32.5273
0.3,0.9,32.661
0.35,0.9,32.5409
0.4,0.9,32.0199
0.45,0.9,31.6912
0.5,0.9,31.5893
0.55,0.9,30.5412
0.6,0.9,30.9301
0.65,0.9,30.0992
0.7,0.9,30.2619
0.75,0.9,29.6374
0.8,0.9,29.9881
0.85,0.9,29.0657
0.9,0.9,28.9131
0.95,0.9,28.7471
1,0.9,28.688
0,0.95,34.2871
0.05,0.95,33.5679
0.1,0.95,33.3769
0.15,0.95,33.8678
0.2,0.95,32.9957
0.25,0.95,32.8107
0.3,0.95,32.2067
0.35,0.95,31.7445
0.4,0.95,31.7252
0.45,0.95,31.5562
0.5,0.95,30.8759
0.55,0.95,31.1052
0.6,0.95,30.7839
0.65,0.95,30.0126
0.7,0.95,29.7782
0.75,0.95,30.1682
0.8,0.95,29.8592
0.85,0.95,29.3708
0.9,0.95,28.6817
0.95,0.95,28.8392
1,0.95,28.5494
0,1,33.7978
0.05,1,33.1521
0.1,1,32.8942
0.15,1,32.486
0.2,1,32.7233
0.25,1,32.5787
0.3,1,31.5046
0.35,1,31.8322
0.4,1,31.0049
0.45,1,31.1623
0.5,1,30.6792
0.55,1,30.2658
0.6,1,30.1694
0.65,1,30.2064
0.7,1,30.007
0.75,1,29.4516
0.8,1,29.8348
0.85,1,28.8614
0.9,1,28.9875
0.95,1,28.443
1,1,27.9825
