EMBRYO,GERMLINE,AVERAGE
0,0.5,20.8288
0.05,0.5,20.9049
0.1,0.5,23.5822
0.15,0.5,25.2099
0.2,0.5,26.3326
0.25,0.5,28.6163
0.3,0.5,30.007
0.35,0.5,34.9029
0.4,0.5,41.3038
0.45,0.5,47.5766
0.5,0.5,66.9756
0.55,0.5,104.9843
0.6,0.5,5000
0.65,0.5,5000
0.7,0.5,5000
0.75,0.5,5000
0.8,0.5,5000
0.85,0.5,5000
0.9,0.5,5000
0.95,0.5,5000
1,0.5,5000
0,0.55,19.2656
0.05,0.55,19.6959
0.1,0.55,21.179
0.15,0.55,22.6087
0.2,0.55,24.4036
0.25,0.55,25.6548
0.3,0.55,26.6129
0.35,0.55,31.0441
0.4,0.55,36.4981
0.45,0.55,41.5794
0.5,0.55,45.8089
0.55,0.55,69.9326
0.6,0.55,114.5457
0.65,0.55,5000
0.7,0.55,5000
0.75,0.55,5000
0.8,0.55,5000
0.85,0.55,5000
0.9,0.55,5000
0.95,0.55,5000
1,0.55,5000
0,0.6,18.3416
0.05,0.6,19.7719
0.1,0.6,20.6491
0.15,0.6,21.292
0.2,0.6,21.5729
0.25,0.6,24.344
0.3,0.6,25.7494
0.35,0.6,27.3435
0.4,0.6,31.2181
0.45,0.6,32.781
0.5,0.6,39.2778
0.55,0.6,44.6117
0.6,0.6,76.5966
0.65,0.6,93.3155
0.7,0.6,5000
0.75,0.6,5000
0.8,0.6,5000
0.85,0.6,5000
0.9,0.6,5000
0.95,0.6,5000
1,0.6,5000
0,0.65,17.4937
0.05,0.65,18.8773
0.1,0.65,19.4661
0.15,0.65,19.945
0.2,0.65,20.3915
0.25,0.65,22.1292
0.3,0.65,23.6621
0.35,0.65,25.8965
0.4,0.65,28.4486
0.45,0.65,31.4275
0.5,0.65,34.0113
0.55,0.65,39.0368
0.6,0.65,49.2625
0.65,0.65,69.0321
0.7,0.65,85.7512
0.75,0.65,5000
0.8,0.65,5000
0.85,0.65,5000
0.9,0.65,5000
0.95,0.65,5000
1,0.65,5000
0,0.7,16.4321
0.05,0.7,18.3437
0.1,0.7,18.1166
0.15,0.7,19.0628
0.2,0.7,20.2505
0.25,0.7,20.582
0.3,0.7,22.2474
0.35,0.7,24.049
0.4,0.7,24.3991
0.45,0.7,27.2933
0.5,0.7,28.6963
0.55,0.7,33.4227
0.6,0.7,40.9797
0.65,0.7,54.5762
0.7,0.7,75.3053
0.75,0.7,103.6068
0.8,0.7,5000
0.85,0.7,5000
0.9,0.7,5000
0.95,0.7,5000
1,0.7,5000
0,0.75,16.782
0.05,0.75,16.9765
0.1,0.75,17.8724
0.15,0.75,18.7622
0.2,0.75,18.9378
0.25,0.75,19.9521
0.3,0.75,21.317
0.35,0.75,22.5259
0.4,0.75,23.5385
0.45,0.75,24.9966
0.5,0.75,26.8186
0.55,0.75,32.2457
0.6,0.75,36.0854
0.65,0.75,44.4571
0.7,0.75,51.5588
0.75,0.75,82.1227
0.8,0.75,5000
0.85,0.75,5000
0.9,0.75,5000
0.95,0.75,5000
1,0.75,5000
0,0.8,16.3039
0.05,0.8,16.8361
0.1,0.8,17.1361
0.15,0.8,17.7068
0.2,0.8,18.5122
0.25,0.8,19.9527
0.3,0.8,20.4011
0.35,0.8,21.2918
0.4,0.8,22.7828
0.45,0.8,25.021
0.5,0.8,26.5162
0.55,0.8,28.3399
0.6,0.8,31.9693
0.65,0.8,35.9019
0.7,0.8,44.5907
0.75,0.8,59.0965
0.8,0.8,97.2753
0.85,0.8,5000
0.9,0.8,5000
0.95,0.8,5000
1,0.8,5000
0,0.85,15.3882
0.05,0.85,16.0812
0.1,0.85,17.0699
0.15,0.85,17.2323
0.2,0.85,17.925
0.25,0.85,18.1287
0.3,0.85,19.4216
0.35,0.85,20.1167
0.4,0.85,21.1171
0.45,0.85,22.5314
0.5,0.85,23.6226
0.55,0.85,25.8031
0.6,0.85,29.5632
0.65,0.85,32.288
0.7,0.85,38.5054
0.75,0.85,43.8348
0.8,0.85,61.5446
0.85,0.85,110.5661
0.9,0.85,5000
0.95,0.85,5000
1,0.85,5000
0,0.9,15.1157
0.05,0.9,15.7743
0.1,0.9,16.5866
0.15,0.9,16.5081
0.2,0.9,17.2345
0.25,0.9,17.3829
0.3,0.9,17.9751
0.35,0.9,19.4517
0.4,0.9,20.8474
0.45,0.9,21.5487
0.5,0.9,23.2948
0.55,0.9,24.4848
0.6,0.9,25.0911
0.65,0.9,29.9882
0.7,0.9,34.1838
0.75,0.9,41.5516
0.8,0.9,48.1994
0.85,0.9,74.6693
0.9,0.9,82.0035
0.95,0.9,5000
1,0.9,5000
0,0.95,14.8626
0.05,0.95,14.9515
0.1,0.95,15.5629
0.15,0.95,16.1362
0.2,0.95,17.0066
0.25,0.95,17.0875
0.3,0.95,18.0573
0.35,0.95,18.4901
0.4,0.95,19.6113
0.45,0.95,20.2286
0.5,0.95,22.7568
0.55,0.95,23.4372
0.6,0.95,25.2474
0.65,0.95,27.5089
0.7,0.95,29.5083
0.75,0.95,34.1441
0.8,0.95,37.6838
0.85,0.95,52.238
0.9,0.95,72.0353
0.95,0.95,5000
1,0.95,5000
0,1,14.3335
0.05,1,14.681
0.1,1,15.3259
0.15,1,15.4053
0.2,1,16.3419
0.25,1,16.6586
0.3,1,17.5514
0.35,1,18.2551
0.4,1,18.7298
0.45,1,19.6171
0.5,1,21.4713
0.55,1,22.0294
0.6,1,23.8883
0.65,1,26.3942
0.7,1,27.4196
0.75,1,31.7704
0.8,1,36.5114
0.85,1,38.7523
0.9,1,48.6537
0.95,1,77.7539
1,1,5000
