EMBRYO,GERMLINE,AVERAGE
0,0.5,18.6854
0.05,0.5,18.9376
0.1,0.5,19.311
0.15,0.5,19.2564
0.2,0.5,19.7684
0.25,0.5,19.7069
0.3,0.5,20.2441
0.35,0.5,20.3891
0.4,0.5,20.4412
0.45,0.5,20.563
0.5,0.5,20.9185
0.55,0.5,20.9348
0.6,0.5,21.1379
0.65,0.5,21.0283
0.7,0.5,21.2243
0.75,0.5,21.4425
0.8,0.5,22.0218
0.85,0.5,22.5479
0.9,0.5,22.404
0.95,0.5,22.4512
1,0.5,22.8133
0,0.55,18.0714
0.05,0.55,18.5699
0.1,0.55,18.3547
0.15,0.55,19.1585
0.2,0.55,18.7857
0.25,0.55,19.058
0.3,0.55,19.2404
0.35,0.55,19.6578
0.4,0.55,19.8132
0.45,0.55,20.3491
0.5,0.55,20.3947
0.55,0.55,20.2695
0.6,0.55,20.6167
0.65,0.55,20.411
0.7,0.55,21.1545
0.75,0.55,21.7494
0.8,0.55,22.0093
0.85,0.55,21.7494
0.9,0.55,21.914
0.95,0.55,21.982
1,0.55,22.3458
0,0.6,17.389
0.05,0.6,17.2105
0.1,0.6,18.2998
0.15,0.6,18.0501
0.2,0.6,18.0103
0.25,0.6,18.5582
0.3,0.6,18.7373
0.35,0.6,18.6067
0.4,0.6,18.9645
0.45,0.6,19.5053
0.5,0.6,19.4581
0.55,0.6,19.825
0.6,0.6,20.0785
0.65,0.6,20.1498
0.7,0.6,20.4521
0.75,0.6,20.8324
0.8,0.6,20.9891
0.85,0.6,21.1852
0.9,0.6,21.5622
0.95,0.6,21.7915
1,0.6,21.8692
0,0.65,16.9842
0.05,0.65,16.769
0.1,0.65,16.9455
0.15,0.65,17.3696
0.2,0.65,17.726
0.25,0.65,17.4098
0.3,0.65,18.0668
0.35,0.65,18.3863
0.4,0.65,18.6038
0.45,0.65,18.9452
0.5,0.65,19.2222
0.55,0.65,19.2491
0.6,0.65,19.7719
0.65,0.65,19.9606
0.7,0.65,20.4305
0.75,0.65,20.8313
0.8,0.65,20.6767
0.85,0.65,20.3755
0.9,0.65,21.1146
0.95,0.65,20.936
1,0.65,21.9846
0,0.7,15.9497
0.05,0.7,16.3651
0.1,0.7,16.4601
0.15,0.7,16.5915
0.2,0.7,17.4136
0.25,0.7,17.439
0.3,0.7,17.445
0.35,0.7,17.8967
0.4,0.7,18.0865
0.45,0.7,17.8966
0.5,0.7,18.3902
0.55,0.7,18.6349
0.6,0.7,19.4378
0.65,0.7,19.4869
0.7,0.7,19.627
0.75,0.7,19.6636
0.8,0.7,20.2251
0.85,0.7,20.2371
0.9,0.7,20.7057
0.95,0.7,21.2933
1,0.7,21.3281
0,0.75,15.5428
0.05,0.75,16.2524
0.1,0.75,16.2053
0.15,0.75,16.2983
0.2,0.75,16.5143
0.25,0.75,16.9997
0.3,0.75,17.0941
0.35,0.75,16.9134
0.4,0.75,17.6467
0.45,0.75,17.9188
0.5,0.75,17.6986
0.55,0.75,17.9542
0.6,0.75,18.5259
0.65,0.75,18.7799
0.7,0.75,18.8777
0.75,0.75,19.1851
0.8,0.75,19.5621
0.85,0.75,20.0795
