EMBRYO,GERMLINE,AVERAGE
0.0,0.5,43.1389
0.0,0.55,40.6866
0.0,0.6,40.1005
0.0,0.65,39.6786
0.0,0.7,38.547
0.0,0.75,37.4475
0.0,0.8,35.8963
0.0,0.85,35.1745
0.0,0.9,34.67
0.0,0.95,33.9134
0.0,1.0,33.0462
0.05,0.5,41.8455
0.05,0.55,41.4252
0.05,0.6,40.0968
0.05,0.65,38.0839
0.05,0.7,37.6332
0.05,0.75,37.1038
0.05,0.8,35.5274
0.05,0.85,34.847
0.05,0.9,33.5893
0.05,0.95,33.456
0.05,1.0,33.2915
0.1,0.5,39.7824
0.1,0.55,39.057
0.1,0.6,38.1289
0.1,0.65,37.4384
0.1,0.7,36.7012
0.1,0.75,35.5805
0.1,0.8,35.4437
0.1,0.85,34.6494
0.1,0.9,33.7717
0.1,0.95,33.17
0.1,1.0,32.5204
0.15,0.5,38.8237
0.15,0.55,37.6885
0.15,0.6,37.2637
0.15,0.65,36.4306
0.15,0.7,36.0841
0.15,0.75,34.6303
0.15,0.8,34.156
0.15,0.85,33.6384
0.15,0.9,32.8138
0.15,0.95,33.0189
0.15,1.0,32.6078
0.2,0.5,37.5821
0.2,0.55,37.0362
0.2,0.6,36.6615
0.2,0.65,35.6949
0.2,0.7,35.3274
0.2,0.75,34.3163
0.2,0.8,33.9688
0.2,0.85,32.9737
0.2,0.9,32.8957
0.2,0.95,32.8936
0.2,1.0,32.3122
0.25,0.5,35.9458
0.25,0.55,36.3561
0.25,0.6,35.6853
0.25,0.65,34.9132
0.25,0.7,34.3963
0.25,0.75,33.84
0.25,0.8,33.6069
0.25,0.85,33.0012
0.25,0.9,32.2518
0.25,0.95,32.2187
0.25,1.0,31.7347
0.3,0.5,35.2209
0.3,0.55,34.917
0.3,0.6,34.2364
0.3,0.65,34.01
0.3,0.7,33.6621
0.3,0.75,33.7125
0.3,0.8,32.8527
0.3,0.85,32.4729
0.3,0.9,32.3283
0.3,0.95,32.018
0.3,1.0,31.7246
0.35,0.5,34.7337
0.35,0.55,34.5515
0.35,0.6,33.8109
0.35,0.65,33.2056
0.35,0.7,33.5216
0.35,0.75,32.8705
0.35,0.8,32.956
0.35,0.85,32.5012
0.35,0.9,31.9438
0.35,0.95,31.6618
0.35,1.0,31.5105
0.4,0.5,34.1273
0.4,0.55,34.2768
0.4,0.6,32.9467
0.4,0.65,33.1444
0.4,0.7,32.4675
0.4,0.75,31.763
0.4,0.8,31.5887
0.4,0.85,31.9752
0.4,0.9,31.2892
0.4,0.95,31.7849
0.4,1.0,31.3398
0.45,0.5,32.8959
0.45,0.55,32.7305
0.45,0.6,32.3055
0.45,0.65,32.5808
0.45,0.7,32.0563
0.45,0.75,31.9128
0.45,0.8,32.0212
0.45,0.85,31.7867
0.45,0.9,31.2556
0.45,0.95,30.9734
0.45,1.0,30.2931
0.5,0.5,32.5746
0.5,0.55,32.4446
0.5,0.6,32.3753
0.5,0.65,31.7003
0.5,0.7,31.4204
0.5,0.75,32.0175
0.5,0.8,31.5283
0.5,0.85,31.1465
0.5,0.9,30.5381
0.5,0.95,31.0652
0.5,1.0,30.2931
0.55,0.5,31.8653
0.55,0.55,32.13
0.55,0.6,31.6767
0.55,0.65,31.5766
0.55,0.7,30.9341
0.55,0.75,31.2618
0.55,0.8,31.3901
0.55,0.85,30.3185
0.55,0.9,30.3908
0.55,0.95,31.1987
0.55,1.0,30.3134
0.6,0.5,32.1076
0.6,0.55,31.4062
0.6,0.6,31.0582
0.6,0.65,30.8792
0.6,0.7,31.3701
0.6,0.75,30.8841
0.6,0.8,30.9272
0.6,0.85,30.7142
0.6,0.9,30.3685
0.6,0.95,30.6994
0.6,1.0,29.9306
0.65,0.5,31.2974
0.65,0.55,31.1248
0.65,0.6,30.7441
0.65,0.65,31.0206
0.65,0.7,30.7325
0.65,0.75,30.3641
0.65,0.8,30.577
0.65,0.85,30.071
0.65,0.9,30.298
0.65,0.95,30.2038
0.65,1.0,30.2632
0.7,0.5,30.9931
0.7,0.55,30.7074
0.7,0.6,30.3429
0.7,0.65,30.5568
0.7,0.7,30.2861
0.7,0.75,29.9687
0.7,0.8,30.2621
0.7,0.85,29.8428
0.7,0.9,29.9075
0.7,0.95,29.8423
0.7,1.0,29.9265
0.75,0.5,30.2607
0.75,0.55,30.8697
0.75,0.6,30.123
0.75,0.65,30.1838
0.75,0.7,30.1464
0.75,0.75,30.1107
0.75,0.8,29.7514
0.75,0.85,29.7675
0.75,0.9,29.8206
0.75,0.95,30.0939
0.75,1.0,29.88
0.8,0.5,29.6584
0.8,0.55,29.544
0.8,0.6,29.733
0.8,0.65,29.6831
0.8,0.7,29.2675
0.8,0.75,29.8905
0.8,0.8,29.5471
0.8,0.85,29.7232
0.8,0.9,29.9054
0.8,0.95,29.4798
0.8,1.0,29.1471
0.85,0.5,29.583
0.85,0.55,29.7156
0.85,0.6,29.6612
0.85,0.65,29.5209
0.85,0.7,29.8709
0.85,0.75,29.7586
0.85,0.8,29.1041
0.85,0.85,29.2792
0.85,0.9,28.8994
0.85,0.95,29.3446
0.85,1.0,28.9368
0.9,0.5,29.2874
0.9,0.55,29.3608
0.9,0.6,29.0771
0.9,0.65,29.0932
0.9,0.7,28.9619
0.9,0.75,28.952
0.9,0.8,28.8876
0.9,0.85,28.8674
0.9,0.9,29.1937
0.9,0.95,28.8893
0.9,1.0,29.1585
0.95,0.5,28.6971
0.95,0.55,29.2305
0.95,0.6,28.8125
0.95,0.65,28.8668
0.95,0.7,28.647
0.95,0.75,28.8112
0.95,0.8,28.6719
0.95,0.85,29.0068
0.95,0.9,29.1449
0.95,0.95,28.9238
0.95,1.0,28.8572
1.0,0.5,28.4447
1.0,0.55,28.6047
1.0,0.6,28.4241
1.0,0.65,29.0007
1.0,0.7,28.7258
1.0,0.75,28.6466
1.0,0.8,28.9676
1.0,0.85,28.7765
1.0,0.9,28.523
1.0,0.95,28.8285
1.0,1.0,28.1608
