Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,23,0.496499,24,0.513014,23.2119891,70,0.466689,71,0.50495,70.87062544,47,47.65863634
1,0.5,0,18,0.443989,19,0.502128,18.96339806,63,0.432847,64,0.507353,63.90130996,45,44.9379119
2,0.5,0,22,0.481268,23,0.528723,22.39473185,69,0.467225,70,0.531601,69.5091183,47,47.11438645
3,0.5,0,18,0.446429,19,0.504076,18.92929381,63,0.49746,64,0.537684,63.06314638,45,44.13385257
4,0.5,0,22,0.48085,23,0.550569,22.27467405,69,0.446154,70,0.509409,69.85125287,47,47.57657882
5,0.5,0,19,0.454116,20,0.519883,19.69767513,67,0.498137,68,0.569048,67.02627237,48,47.32859724
6,0.5,0,21,0.474931,22,0.545013,21.35770954,68,0.42735,69,0.505158,68.93370862,47,47.57599908
7,0.5,0,21,0.494912,22,0.54336,21.10501982,68,0.493225,69,0.580303,68.07780381,47,46.97278399
8,0.5,0,20,0.403409,21,0.50336,20.96638353,68,0.47846,69,0.543774,68.32979147,48,47.36340794
9,0.5,0,20,0.490657,21,0.532119,20.22533886,66,0.496955,67,0.53934,66.07184145,46,45.84650259
10,0.5,0,19,0.472833,20,0.508917,19.75288216,67,0.492357,68,0.553416,67.12517401,48,47.37229185
11,0.5,0,20,0.443469,21,0.500349,20.99386428,68,0.451656,69,0.507332,68.8683095,48,47.87444523
12,0.5,0,22,0.484756,23,0.573969,22.17087196,65,0.460335,66,0.512921,65.75428821,43,43.58341626
13,0.5,0,20,0.490361,21,0.54707,20.16997302,64,0.496926,65,0.526119,64.10529922,44,43.9353262
14,0.5,0,19,0.462451,20,0.540076,19.48372303,65,0.495393,66,0.55559,65.07653205,46,45.59280903
15,0.5,0,19,0.468319,20,0.553157,19.37342936,64,0.489474,65,0.552743,64.166369,45,44.79293964
16,0.5,0,20,0.468563,21,0.514236,20.688306,65,0.493558,66,0.532746,65.16438706,45,44.47608106
17,0.5,0,23,0.482824,24,0.548512,23.2614785,71,0.452251,72,0.547548,71.5010546,48,48.23957609
18,0.5,0,21,0.486924,22,0.547558,21.21565458,69,0.452366,70,0.518382,69.72155235,48,48.50589777
19,0.5,0,19,0.449008,20,0.515172,19.77069101,66,0.470223,67,0.521474,66.5810033,47,46.81031229
0,0.5,0.05,22,0.487549,23,0.576118,22.14057966,68,0.468956,69,0.505096,68.85899281,46,46.71841314
1,0.5,0.05,20,0.448242,21,0.500329,20.99368364,66,0.439437,67,0.514885,66.8027118,46,45.80902816
2,0.5,0.05,20,0.449219,21,0.52394,20.67960814,66,0.447876,67,0.516774,66.75653865,46,46.07693051
3,0.5,0.05,19,0.49048,20,0.512689,19.42865505,64,0.493448,65,0.543906,64.12985057,45,44.70119552
