Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,28,0.48328,29,0.552817,28.24044753,106,0.445513,107,0.522556,106.7072284,78,78.4667809
1,0.5,0,28,0.490686,29,0.505927,28.61111476,116,0.476577,117,0.540419,116.3668901,88,87.75577538
2,0.5,0,23,0.487903,24,0.534532,23.25943083,111,0.456815,112,0.52292,111.6532789,88,88.39384805
3,0.5,0,21,0.431048,22,0.510823,21.86433093,102,0.496457,103,0.539653,102.0820215,81,80.21769055
4,0.5,0,28,0.465789,29,0.502809,28.9241221,117,0.471997,118,0.521053,117.5708374,89,88.64671531
5,0.5,0,27,0.490268,28,0.55622,27.14756186,112,0.46398,113,0.522048,112.6203072,85,85.47274536
6,0.5,0,27,0.496252,28,0.503115,27.54611686,111,0.482019,112,0.510463,111.6321544,84,84.08603755
7,0.5,0,26,0.476929,27,0.523361,26.49687715,107,0.472675,108,0.520194,107.5750331,81,81.07815599
8,0.5,0,27,0.487939,28,0.514844,27.44828099,114,0.484836,115,0.511974,114.5587737,87,87.11049269
9,0.5,0,25,0.485166,26,0.544928,25.24821793,104,0.444623,105,0.52433,104.694757,79,79.44653912
10,0.5,0,27,0.46822,28,0.512061,27.72489222,116,0.484709,117,0.525698,116.3730513,89,88.64815908
11,0.5,0,24,0.470126,25,0.502696,24.91722444,116,0.446657,117,0.501575,116.9713209,92,92.05409644
12,0.5,0,26,0.497976,27,0.554252,26.0359656,106,0.476275,107,0.531199,106.4319605,80,80.39599493
13,0.5,0,23,0.488467,24,0.556009,23.17075301,103,0.477206,104,0.53775,103.3764865,80,80.20573351
14,0.5,0,27,0.494382,28,0.564063,27.08062456,112,0.459778,113,0.520184,112.665861,85,85.58523645
15,0.5,0,25,0.474774,26,0.524105,25.51136202,106,0.493641,107,0.530389,106.1730434,81,80.66168141
16,0.5,0,27,0.489631,28,0.510677,27.4926827,109,0.492593,110,0.51549,109.3234922,82,81.83080947
17,0.5,0,25,0.480094,26,0.53876,25.33931067,121,0.497388,122,0.568148,121.0369135,96,95.69760284
18,0.5,0,23,0.483796,24,0.540062,23.28798919,106,0.461169,107,0.502755,106.9337517,83,83.64576255
19,0.5,0,27,0.462879,28,0.518613,27.66603868,112,0.473495,113,0.530634,112.4638688,85,84.79783013
0,0.5,0.05,30,0.472101,31,0.529696,30.48439969,117,0.463534,118,0.511986,117.7526212,87,87.26822146
1,0.5,0.05,28,0.495261,29,0.533884,28.12269891,111,0.472741,112,0.511538,111.7026059,83,83.57990696
2,0.5,0.05,26,0.484133,27,0.524465,26.3934097,121,0.47594,122,0.545659,121.3450996,95,94.95168991
3,0.5,0.05,25,0.478731,26,0.526154,25.44849546,113,0.491543,114,0.548859,113.1475504,88,87.69905497
4,0.5,0.05,26,0.488836,27,0.546407,26.19391708,111,0.47527,112,0.528623,111.4635166,85,85.2695995
5,0.5,0.05,25,0.423197,26,0.502414,25.96952674,108,0.460741,109,0.52037,108.6583877,83,82.68886095
6,0.5,0.05,26,0.43922,27,0.504179,26.93566711,117,0.465943,118,0.506747,117.8346486,91,90.89898145
7,0.5,0.05,26,0.47832,27,0.508857,26.70995841,120,0.492091,121,0.538578,120.1701336,94,93.46017517
