Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,34,0.486385,35,0.506836,34.66573762,86,0.480362,87,0.514484,86.57552312,52,51.90978551
1,0.5,0,34,0.49607,35,0.542875,34.08396539,83,0.481637,84,0.507299,83.71557166,49,49.63160627
2,0.5,0,38,0.498468,39,0.547106,38.03149801,90,0.498264,91,0.544848,90.03726601,52,52.00576801
3,0.5,0,38,0.427873,39,0.503619,38.9522219,91,0.497775,92,0.531443,91.06608649,53,52.11386459
4,0.5,0,40,0.492092,41,0.552749,40.13037242,90,0.486391,91,0.528923,90.31997085,50,50.18959842
5,0.5,0,38,0.487634,39,0.508095,38.60436929,94,0.495785,95,0.523899,94.1499253,56,55.54555602
6,0.5,0,38,0.486062,39,0.520857,38.4005748,94,0.474464,95,0.508294,94.75483299,56,56.35425819
7,0.5,0,34,0.487288,35,0.525913,34.32911327,86,0.497315,87,0.516667,86.13874535,52,51.80963208
8,0.5,0,37,0.491613,38,0.525756,37.24564332,89,0.491677,90,0.53125,89.21032017,52,51.96467684
9,0.5,0,39,0.481032,40,0.503676,39.83766119,91,0.489001,92,0.504641,91.70326087,52,51.86559968
10,0.5,0,40,0.481591,41,0.515661,40.54032873,94,0.484775,95,0.534409,94.30674538,54,53.76641664
11,0.5,0,36,0.470627,37,0.513301,36.68831138,90,0.483375,91,0.528799,90.36599595,54,53.67768457
12,0.5,0,34,0.494496,35,0.500572,34.90585912,87,0.486628,88,0.514068,87.48731778,53,52.58145867
13,0.5,0,34,0.471212,35,0.515049,34.65670552,87,0.478443,88,0.525031,87.46271572,53,52.8060102
14,0.5,0,34,0.494988,35,0.521014,34.19257665,82,0.462329,83,0.500596,82.98442522,48,48.79184857
15,0.5,0,36,0.485451,37,0.540369,36.26492225,89,0.471904,90,0.502534,89.91727065,53,53.6523484
16,0.5,0,34,0.4725,35,0.532963,34.45482361,86,0.486891,87,0.514339,86.477594,52,52.02277038
17,0.5,0,36,0.471736,37,0.506889,36.80402811,89,0.456027,90,0.512859,89.77373663,53,52.96970852
18,0.5,0,37,0.473504,38,0.506011,37.81508598,91,0.479473,92,0.51821,91.52990681,54,53.71482083
