Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,6,0.827098,7,0.754491,6.373214704,22,0.805637,23,0.746146,22.09475383,16,15.72153912
1,0.5,0,5,0.861668,6,0.791845,5.883204675,20,0.842209,21,0.79322,20.86160158,15,14.97839691
2,0.5,0,5,0.81781,6,0.742919,5.237812287,20,0.881188,21,0.796185,20.95511923,15,15.71730694
3,0.5,0,5,0.858696,6,0.792916,5.892307692,20,0.841393,21,0.786398,20.75266842,15,14.86036073
4,0.5,0,5,0.842602,6,0.776956,5.648965664,21,0.809091,22,0.716702,21.09839916,16,15.4494335
5,0.5,0,6,0.829293,7,0.796256,6.886672519,21,0.823587,22,0.78439,21.60175524,15,14.71508272
6,0.5,0,6,0.829102,7,0.765978,6.461029086,21,0.838863,22,0.769691,21.56183138,15,15.10080229
7,0.5,0,4,0.868233,5,0.790791,4.881085199,21,0.809045,22,0.766909,21.21466205,17,16.33357685
8,0.5,0,5,0.850598,6,0.768072,5.613115867,23,0.833164,24,0.751731,23.40725504,18,17.79413918
9,0.5,0,6,0.824338,7,0.770961,6.455964179,22,0.83559,23,0.781513,22.65813562,16,16.20217144
10,0.5,0,6,0.816265,7,0.738318,6.208667428,21,0.859738,22,0.796698,21.94762056,15,15.73895313
11,0.5,0,6,0.807947,7,0.784758,6.342705593,20,0.846154,21,0.787256,20.78362593,14,14.44092034
12,0.5,0,6,0.843323,7,0.796739,6.929997424,23,0.826531,24,0.781563,23.58999733,17,16.65999991
13,0.5,0,5,0.851888,6,0.7666,5.608385705,21,0.851406,22,0.796209,21.93131873,16,16.32293303
14,0.5,0,5,0.847538,6,0.769703,5.610753517,19,0.862105,20,0.797428,19.96023316,14,14.34947964
15,0.5,0,6,0.823643,7,0.788235,6.667730456,21,0.803498,22,0.741044,21.05600922,15,14.38827877
16,0.5,0,6,0.830561,7,0.788911,6.733757503,22,0.846081,23,0.797073,22.94027506,16,16.20651755
17,0.5,0,5,0.851818,6,0.781818,5.740257143,20,0.809942,21,0.760396,20.20066201,15,14.46040487
18,0.5,0,6,0.805611,7,0.728137,6.072424297,21,0.851571,22,0.793651,21.89038329,15,15.81795899
19,0.5,0,5,0.820792,6,0.750245,5.294725502,22,0.801331,23,0.761364,22.03330247,17,16.73857697
0,0.5,0.05,6,0.820296,7,0.789583,6.660827663,23,0.856243,24,0.79291,23.88805204,17,17.22722438
1,0.5,0.05,6,0.807422,7,0.72447,6.08947343,23,0.828986,24,0.753623,23.38461845,17,17.29514502
2,0.5,0.05,5,0.850386,6,0.77336,5.654142757,22,0.847153,23,0.761421,22.55000467,17,16.89586191
3,0.5,0.05,5,0.831169,6,0.787256,5.709789812,21,0.857143,22,0.798958,21.9820916,16,16.27230179
4,0.5,0.05,6,0.805854,7,0.739084,6.087674105,22,0.827053,23,0.770541,22.47871249,16,16.39103838
5,0.5,0.05,5,0.875252,6,0.797838,5.972072235,23,0.817739,24,0.761954,23.31798871,18,17.34591647
6,0.5,0.05,6,0.813596,7,0.736082,6.175400573,20,0.85061,21,0.798985,20.98033898,14,14.80493841
7,0.5,0.05,6,0.817238,7,0.775629,6.414285371,24,0.839378,25,0.788119,24.76821631,18,18.35393094
8,0.5,0.05,5,0.82384,6,0.753579,5.339306301,21,0.878758,22,0.795025,21.94058495,16,16.60127865
9,0.5,0.05,5,0.85836,6,0.782284,5.767127609,22,0.815005,23,0.797009,22.8337964,17,17.06666879
10,0.5,0.05,6,0.81509,7,0.731269,6.180026485,21,0.84919,22,0.78125,21.7240212,15,15.54399471
11,0.5,0.05,6,0.849946,7,0.786573,6.788127436,24,0.848356,25,0.798715,24.97411414,18,18.1859867
12,0.5,0.05,7,0.800409,8,0.725076,7.005429228,23,0.85251,24,0.790843,23.85150891,16,16.84607968
13,0.5,0.05,5,0.857143,6,0.797118,5.951986672,22,0.831156,23,0.77163,22.52340154,17,16.57141487
14,0.5,0.05,6,0.818898,7,0.78232,6.516649352,22,0.82678,23,0.778109,22.55022498,16,16.03357563
15,0.5,0.05,6,0.80597,7,0.761905,6.135481675,23,0.814196,24,0.734649,23.17846053,17,17.04297886
16,0.5,0.05,5,0.863967,6,0.758376,5.605799737,20,0.841176,21,0.780287,20.67624694,15,15.0704472
17,0.5,0.05,5,0.861868,6,0.790625,5.868408124,23,0.806732,24,0.753385,23.12619266,18,17.25778454
18,0.5,0.05,6,0.86,7,0.79602,6.93779306,24,0.83463,25,0.768612,24.52455391,18,17.58676085
19,0.5,0.05,6,0.817287,7,0.745595,6.241128717,22,0.804574,23,0.74715,22.07965311,16,15.83852439
0,0.5,0.1,5,0.820383,6,0.718818,5.200689214,20,0.838437,21,0.788577,20.77089852,15,15.5702093
1,0.5,0.1,5,0.882812,6,0.793522,5.927449882,20,0.863636,21,0.79689,20.95340545,15,15.02595557
2,0.5,0.1,6,0.803719,7,0.716904,6.042838219,23,0.821904,24,0.788009,23.64623101,17,17.60339279
3,0.5,0.1,7,0.81138,8,0.766138,7.251536183,21,0.835533,22,0.762287,21.48511864,14,14.23358246
4,0.5,0.1,7,0.836327,8,0.772112,7.565708947,23,0.859756,24,0.783726,23.78595291,16,16.22024397
5,0.5,0.1,5,0.849453,6,0.788523,5.811636304,22,0.853229,23,0.7862,22.79411896,17,16.98248266
6,0.5,0.1,6,0.830622,7,0.792513,6.803537222,24,0.803729,25,0.755533,24.07737157,18,17.27383434
7,0.5,0.1,5,0.875124,6,0.795753,5.946491792,21,0.816227,22,0.785329,21.52517962,16,15.57868783
8,0.5,0.1,6,0.820312,7,0.751312,6.294376812,21,0.81658,22,0.781084,21.46709488,15,15.17271807
9,0.5,0.1,5,0.852406,6,0.787755,5.810598444,24,0.817826,25,0.741294,24.23292218,19,18.42232373
