Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,6,0.80101,7,0.709302,6.011013216,22,0.829016,23,0.781522,22.61094033,16,16.59992711
1,0.5,0,5,0.815789,6,0.769539,5.341383784,18,0.856281,19,0.790628,18.85724948,13,13.51586569
2,0.5,0,6,0.818966,7,0.761663,6.330977436,21,0.85757,22,0.786667,21.81195436,15,15.48097692
3,0.5,0,6,0.802482,7,0.764045,6.064573198,20,0.820697,21,0.788274,20.63834315,14,14.57376995
4,0.5,0,5,0.823415,6,0.754229,5.338435522,19,0.860784,20,0.797654,19.96283859,14,14.62440307
5,0.5,0,6,0.820594,7,0.750533,6.293943849,25,0.802124,26,0.706707,25.02226018,19,18.72831634
6,0.5,0,5,0.858276,6,0.790448,5.859173203,20,0.802548,21,0.740812,20.04127252,15,14.18209931
7,0.5,0,6,0.800397,7,0.742195,6.006821071,22,0.848485,23,0.780384,22.71195724,16,16.70513617
8,0.5,0,6,0.837589,7,0.75847,6.475094478,23,0.84879,24,0.779713,23.70631324,17,17.23121877
9,0.5,0,6,0.821958,7,0.741863,6.274149448,24,0.845309,25,0.776495,24.65842706,18,18.38427762
10,0.5,0,6,0.836292,7,0.765385,6.511825349,23,0.852459,24,0.796146,23.9315611,17,17.41973575
11,0.5,0,6,0.835792,7,0.779749,6.638652463,22,0.80625,23,0.743863,22.10018113,16,15.46152866
12,0.5,0,6,0.801544,7,0.762425,6.039469312,22,0.807349,23,0.776398,22.23743982,16,16.19797051
13,0.5,0,6,0.80182,7,0.755102,6.038957147,22,0.823944,23,0.78252,22.5780224,16,16.53906526
14,0.5,0,6,0.819882,7,0.756423,6.313304653,22,0.804061,23,0.744593,22.06828883,16,15.75498417
15,0.5,0,5,0.810726,6,0.747908,5.170747238,24,0.85654,25,0.787554,24.81958658,19,19.64883934
16,0.5,0,6,0.842887,7,0.751244,6.467979005,21,0.821074,22,0.759278,21.34102531,15,14.8730463
17,0.5,0,4,0.87,5,0.789047,4.86469927,20,0.843847,21,0.785855,20.75608705,16,15.89138778
18,0.5,0,6,0.82839,7,0.764771,6.446250334,21,0.819444,22,0.77834,21.47304399,15,15.02679365
19,0.5,0,6,0.839338,7,0.782266,6.689269694,22,0.81754,23,0.742857,22.23485934,16,15.54558964
0,0.5,0.05,7,0.836181,8,0.769312,7.541072844,24,0.823276,25,0.777451,24.50793235,17,16.96685951
1,0.5,0.05,6,0.801418,7,0.789414,6.118127291,23,0.84968,24,0.77551,23.66981259,17,17.5516853
2,0.5,0.05,7,0.844468,8,0.784027,7.735725749,23,0.842884,24,0.782787,23.71357971,16,15.97785396
3,0.5,0.05,5,0.865787,6,0.783168,5.796269623,22,0.819915,23,0.77907,22.48757498,17,16.69130536
4,0.5,0.05,6,0.835657,7,0.738749,6.367946919,23,0.865949,24,0.791667,23.88781939,17,17.51987247
5,0.5,0.05,4,0.866034,5,0.792059,4.892652923,21,0.860082,22,0.786765,21.81948252,17,16.9268296
6,0.5,0.05,6,0.840385,7,0.781344,6.684016192,22,0.840479,23,0.784722,22.72598956,16,16.04197337
7,0.5,0.05,6,0.825946,7,0.767322,6.442583242,23,0.847237,24,0.786299,23.77516492,17,17.33258168
8,0.5,0.05,7,0.806527,8,0.758734,7.136568117,24,0.856701,25,0.789523,24.8440412,17,17.70747309
9,0.5,0.05,6,0.837029,7,0.79106,6.805521112,21,0.838643,22,0.763383,21.51346001,15,14.70793889
10,0.5,0.05,5,0.851282,6,0.793804,5.892202234,24,0.838676,25,0.745745,24.41617975,19,18.52397751
11,0.5,0.05,5,0.845833,6,0.777324,5.669006992,20,0.815436,21,0.77734,20.4051869,15,14.7361799
12,0.5,0.05,6,0.85757,7,0.763185,6.609948615,20,0.86811,21,0.768159,20.6814339,14,14.07148529
13,0.5,0.05,6,0.810867,7,0.776169,6.31318808,21,0.834921,22,0.784569,21.6935375,15,15.38034942
14,0.5,0.05,5,0.840243,6,0.788462,5.777176957,20,0.859316,21,0.775194,20.70511876,15,14.9279418
