Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,5,0.809909,6,0.71308,5.102335044,21,0.861314,22,0.783699,21.78997616,16,16.68764112
1,0.5,0,5,0.842601,6,0.759223,5.510938137,21,0.821721,22,0.68652,21.1606571,16,15.64971896
2,0.5,0,5,0.828228,6,0.786573,5.677661745,21,0.823177,22,0.750497,21.31889103,16,15.64122928
3,0.5,0,5,0.823755,6,0.773101,5.468965926,21,0.846231,22,0.759875,21.53535365,16,16.06638773
4,0.5,0,5,0.831867,6,0.77702,5.581016282,21,0.861084,22,0.764471,21.63225446,16,16.05123818
5,0.5,0,4,0.888779,5,0.795841,4.955249736,20,0.812127,21,0.691824,20.1008038,16,15.14555407
6,0.5,0,5,0.819374,6,0.785164,5.566325636,21,0.845226,22,0.745329,21.45272631,16,15.88640067
7,0.5,0,4,0.841004,5,0.766802,4.55259966,18,0.842275,19,0.766667,18.55913395,14,14.00653429
8,0.5,0,5,0.841624,6,0.793568,5.866156151,21,0.826561,22,0.762336,21.4135617,16,15.54740555
9,0.5,0,5,0.843813,6,0.732593,5.393930948,19,0.83283,20,0.741201,19.35829268,14,13.96436173
10,0.5,0,5,0.822479,6,0.73081,5.245219213,21,0.837724,22,0.746888,21.4152979,16,16.17007869
11,0.5,0,5,0.819556,6,0.75431,5.299727186,19,0.861789,20,0.792929,19.89731339,14,14.5975862
12,0.5,0,5,0.816987,6,0.758065,5.288296392,19,0.860558,20,0.799376,19.98980092,14,14.70150453
13,0.5,0,6,0.822201,7,0.76,6.356923522,21,0.813094,22,0.720648,21.14163944,15,14.78471592
14,0.5,0,5,0.84205,6,0.759219,5.507660176,20,0.800197,21,0.713836,20.00228112,15,14.49462095
15,0.5,0,4,0.888179,5,0.799172,4.990697361,18,0.840075,19,0.780864,18.67681681,14,13.68611945
16,0.5,0,4,0.879195,5,0.798319,4.979215095,20,0.816286,21,0.722441,20.17354148,16,15.19432638
17,0.5,0,5,0.811133,6,0.730959,5.138860478,21,0.864603,22,0.793763,21.91195652,16,16.77309604
18,0.5,0,5,0.831538,6,0.751534,5.39420529,20,0.85619,21,0.742363,20.49364386,15,15.09943857
19,0.5,0,5,0.847568,6,0.758585,5.53457402,21,0.818819,22,0.733129,21.21961722,16,15.68504321
0,0.5,0.05,5,0.835603,6,0.768763,5.532660084,21,0.81,22,0.727638,21.12141522,16,15.58875513
1,0.5,0.05,5,0.834236,6,0.738952,5.359304815,21,0.800405,22,0.701639,21.0041006,16,15.64479579
2,0.5,0.05,5,0.812373,6,0.724558,5.14089848,21,0.824526,22,0.771338,21.46111905,16,16.32022057
3,0.5,0.05,5,0.827136,6,0.74059,5.313544242,21,0.839567,22,0.75,21.44175868,16,16.12821444
4,0.5,0.05,5,0.849609,6,0.781504,5.728419352,22,0.81998,23,0.771169,22.40933396,17,16.68091461
5,0.5,0.05,5,0.82549,6,0.732742,5.274830724,18,0.824284,19,0.771305,18.4583703,13,13.18353957
6,0.5,0.05,5,0.803093,6,0.748266,5.056413811,21,0.869048,22,0.796185,21.94764146,16,16.89122765
7,0.5,0.05,4,0.857285,5,0.775148,4.697432339,19,0.878981,20,0.794669,19.93677057,15,15.23933823
8,0.5,0.05,5,0.818273,6,0.703075,5.158622546,21,0.826509,22,0.773101,21.49634886,16,16.33772632
9,0.5,0.05,5,0.84058,6,0.756989,5.485458961,21,0.846465,22,0.775468,21.65446427,16,16.16900531
10,0.5,0.05,4,0.878818,5,0.798611,4.98268231,19,0.849609,20,0.76841,19.6109558,15,14.62827349
11,0.5,0.05,5,0.83822,6,0.768232,5.546093616,21,0.841842,22,0.788542,21.78502814,16,16.23893453
12,0.5,0.05,5,0.852713,6,0.783282,5.759214184,20,0.864573,21,0.778361,20.74900246,15,14.98978828
13,0.5,0.05,4,0.84953,5,0.773979,4.655583645,19,0.866858,20,0.799392,19.99098805,15,15.33540441
14,0.5,0.05,5,0.803607,6,0.730841,5.049569854,19,0.848214,20,0.761857,19.55831027,14,14.50874042
15,0.5,0.05,5,0.800221,6,0.738281,5.003567969,21,0.860465,22,0.796541,21.94588887,16,16.9423209
16,0.5,0.05,5,0.870281,6,0.762245,5.650533156,22,0.817193,23,0.727273,22.19120329,17,16.54067014
17,0.5,0.05,5,0.814624,6,0.728981,5.170755345,19,0.823893,20,0.70333,19.19817855,14,14.0274232
18,0.5,0.05,4,0.876133,5,0.776828,4.766658275,22,0.801075,23,0.728992,22.01491336,18,17.24825509
19,0.5,0.05,4,0.874605,5,0.788235,4.863783721,20,0.824544,21,0.766777,20.42487926,16,15.56109554
0,0.5,0.1,4,0.860825,5,0.793713,4.906320777,21,0.821138,22,0.732283,21.2378932,17,16.33157242
1,0.5,0.1,5,0.801383,6,0.726251,5.018407603,23,0.813505,24,0.781381,23.42040219,18,18.40199459
2,0.5,0.1,5,0.835283,6,0.736737,5.358035841,22,0.800604,23,0.723014,22.00778451,17,16.64974867
3,0.5,0.1,5,0.817629,6,0.716616,5.174522091,19,0.848233,20,0.798362,19.96715526,14,14.79263317
4,0.5,0.1,5,0.830131,6,0.76452,5.459237018,24,0.821569,25,0.741843,24.2705391,19,18.81130208
5,0.5,0.1,4,0.868056,5,0.78297,4.799849564,22,0.829834,23,0.769703,22.49615007,18,17.69630051
6,0.5,0.1,5,0.809091,6,0.751766,5.158587004,23,0.822154,24,0.747197,23.29555612,18,18.13696911
7,0.5,0.1,5,0.84771,6,0.775,5.65616834,20,0.834653,21,0.749306,20.40602482,15,14.74985648
8,0.5,0.1,5,0.800909,6,0.723739,5.011779189,21,0.807035,22,0.756148,21.13824749,16,16.1264683
9,0.5,0.1,4,0.874494,5,0.798817,4.984367774,21,0.832202,22,0.755374,21.41914406,17,16.43477629
10,0.5,0.1,5,0.82516,6,0.725309,5.251975443,21,0.826382,22,0.795168,21.84519767,16,16.59322222
11,0.5,0.1,6,0.817382,7,0.768356,6.354546567,21,0.855127,22,0.795309,21.92157879,15,15.56703222
12,0.5,0.1,4,0.850716,5,0.743961,4.475069083,19,0.858987,20,0.779289,19.7401315,15,15.26506241
13,0.5,0.1,5,0.832008,6,0.724468,5.297638088,19,0.812127,20,0.72166,19.13404888,14,13.83641079
14,0.5,0.1,5,0.827421,6,0.759794,5.405474145,20,0.815562,21,0.750751,20.24011356,15,14.83463942
15,0.5,0.1,4,0.904016,5,0.799197,4.992339175,22,0.804878,23,0.743889,22.07998164,18,17.08764246
16,0.5,0.1,5,0.851816,6,0.780836,5.730008453,23,0.82113,24,0.729167,23.22976632,18,17.49975787
17,0.5,0.1,4,0.897881,5,0.791075,4.916437279,20,0.840256,21,0.776367,20.63009282,16,15.71365554
18,0.5,0.1,5,0.840041,6,0.738025,5.392497255,20,0.826471,21,0.774323,20.50761295,15,15.11511569
19,0.5,0.1,5,0.83299,6,0.756619,5.43197025,22,0.806593,23,0.729785,22.08583741,17,16.65386716
0,0.5,0.15,4,0.878143,5,0.783758,4.827917572,20,0.802254,21,0.728061,20.03038022,16,15.20246265
1,0.5,0.15,5,0.828396,6,0.761597,5.425096184,21,0.831841,22,0.779919,21.61324679,16,16.18815061
2,0.5,0.15,5,0.85575,6,0.78408,5.777870797,21,0.828713,22,0.777998,21.56616386,16,15.78829306
3,0.5,0.15,6,0.806154,7,0.717182,6.069167828,20,0.828045,21,0.765079,20.4453991,14,14.37623128
4,0.5,0.15,5,0.815682,6,0.741693,5.211950425,24,0.818737,25,0.758621,24.31168075,19,19.09973033
5,0.5,0.15,5,0.87405,6,0.770325,5.713906966,22,0.836198,23,0.757647,22.46082163,17,16.74691467
6,0.5,0.15,5,0.810894,6,0.739563,5.152724622,21,0.875659,22,0.793241,21.91799122,16,16.76526659
7,0.5,0.15,5,0.823413,6,0.76096,5.374889917,20,0.804217,21,0.720117,20.05014269,15,14.67525277
8,0.5,0.15,6,0.808247,7,0.744399,6.129166145,18,0.82505,19,0.771458,18.46742051,12,12.33825437
9,0.5,0.15,5,0.863465,6,0.79666,5.950003742,20,0.859579,21,0.785571,20.80503459,15,14.85503085
10,0.5,0.15,4,0.882229,5,0.793836,4.930265971,22,0.836049,23,0.770789,22.55239044,18,17.62212447
11,0.5,0.15,5,0.820513,6,0.738446,5.249954306,22,0.857143,23,0.773084,22.67979633,17,17.42984203
12,0.5,0.15,5,0.847983,6,0.780512,5.711164797,22,0.848205,23,0.773163,22.6423736,17,16.93120881
