Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,8,0.397887,9,0.531646,8.763410313,23,0.424915,24,0.589444,23.45636332,15,14.692953
1,0.5,0,8,0.429944,9,0.577174,8.475826937,23,0.424058,24,0.546629,23.61957559,15,15.14374866
2,0.5,0,9,0.463823,10,0.586413,9.295105637,23,0.451337,24,0.566237,23.4235248,14,14.12841917
3,0.5,0,8,0.390591,9,0.515029,8.879224996,23,0.417124,24,0.516538,23.83364516,15,14.95442017
4,0.5,0,9,0.480086,10,0.603132,9.161841913,24,0.456074,25,0.591444,24.32448844,15,15.16264653
5,0.5,0,8,0.388575,9,0.506159,8.947620425,24,0.486354,25,0.628796,24.0958004,16,15.14817997
6,0.5,0,8,0.414747,9,0.523322,8.785199171,23,0.438725,24,0.545035,23.5763804,15,14.79118123
7,0.5,0,8,0.391979,9,0.521167,8.836153513,22,0.392736,23,0.556257,22.65596468,14,13.81981116
8,0.5,0,9,0.496568,10,0.608604,9.030633011,23,0.409966,24,0.508082,23.91762811,14,14.8869951
9,0.5,0,8,0.357798,9,0.508601,8.942965326,24,0.421667,25,0.580626,24.49278745,16,15.54982212
10,0.5,0,8,0.393579,9,0.526713,8.799352532,23,0.486441,24,0.61595,23.10469543,15,14.30534289
11,0.5,0,8,0.448894,9,0.579093,8.392522216,23,0.471111,24,0.611973,23.20508725,15,14.81256503
12,0.5,0,9,0.481903,10,0.610259,9.140990682,24,0.436392,25,0.562282,24.5052665,15,15.36427582
13,0.5,0,8,0.421171,9,0.547725,8.622888253,23,0.403189,24,0.550937,23.65524406,15,15.03235581
14,0.5,0,8,0.392938,9,0.543556,8.710818096,23,0.400232,24,0.533257,23.74999436,15,15.03917627
15,0.5,0,8,0.407709,9,0.543382,8.680245885,23,0.397422,24,0.505701,23.94734898,15,15.26710309
16,0.5,0,8,0.426788,9,0.573923,8.497583852,24,0.48243,25,0.639262,24.11203071,16,15.61444686
