Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,10,0.473359,11,0.568638,10.27961041,25,0.485264,26,0.551562,25.22226915,15,14.94265874
1,0.5,0,9,0.424464,10,0.518084,9.806836146,24,0.407464,25,0.50502,24.94854238,15,15.14170623
2,0.5,0,11,0.499465,12,0.578462,11.00677241,25,0.472596,26,0.594621,25.22457693,14,14.21780452
3,0.5,0,10,0.455087,11,0.515847,10.73918697,25,0.40251,26,0.5,26,15,15.26081303
4,0.5,0,9,0.417281,10,0.515168,9.845045818,26,0.468816,27,0.559739,26.34297153,17,16.49792571
5,0.5,0,10,0.484111,11,0.607582,10.12868609,26,0.483921,27,0.578125,26.17068277,16,16.04199669
6,0.5,0,9,0.4207,10,0.51294,9.85971379,26,0.489171,27,0.581407,26.11740535,17,16.25769156
7,0.5,0,10,0.498901,11,0.583988,10.01291619,25,0.429711,26,0.532503,25.68379835,15,15.67088216
8,0.5,0,10,0.493909,11,0.565107,10.08555016,26,0.475454,27,0.562696,26.28135531,16,16.19580515
9,0.5,0,10,0.423116,11,0.538993,10.66349664,25,0.474317,26,0.57356,25.25878903,15,14.59529239
10,0.5,0,10,0.483696,11,0.556701,10.22332717,25,0.488289,26,0.597803,25.1069361,15,14.88360893
11,0.5,0,10,0.463289,11,0.557483,10.3897382,26,0.465554,27,0.57007,26.32957633,16,15.93983813
12,0.5,0,9,0.422723,10,0.510799,9.877389981,24,0.458291,25,0.56721,24.38293594,15,14.50554596
13,0.5,0,10,0.462851,11,0.576531,10.32678571,27,0.466245,28,0.532653,27.50829719,17,17.18151148
14,0.5,0,10,0.476434,11,0.550694,10.31734447,25,0.477778,26,0.564037,25.25761949,15,14.94027503
15,0.5,0,9,0.447898,10,0.524728,9.678146557,24,0.484016,25,0.549121,24.2455111,15,14.56736454
16,0.5,0,10,0.429221,11,0.515907,10.81649863,26,0.45889,27,0.526483,26.60819907,16,15.79170045
17,0.5,0,9,0.447639,10,0.547502,9.52432833,25,0.430435,26,0.55138,25.5751788,16,16.05085047
18,0.5,0,10,0.443273,11,0.516632,10.77327935,24,0.459752,25,0.553659,24.42859425,14,13.6553149
19,0.5,0,9,0.41289,10,0.512665,9.873064395,23,0.388889,24,0.506917,23.94139526,14,14.06833087
0,0.5,0.05,10,0.452477,11,0.515485,10.75423756,26,0.492726,27,0.586281,26.07775106,16,15.3235135
1,0.5,0.05,10,0.494295,11,0.575774,10.07001804,24,0.489785,25,0.5793,24.11411495,14,14.04409691
2,0.5,0.05,10,0.409341,11,0.503315,10.96472429,26,0.438166,27,0.556085,26.5243769,16,15.55965262
3,0.5,0.05,10,0.429714,11,0.518028,10.79586476,24,0.493367,25,0.578063,24.07831539,14,13.28245063
4,0.5,0.05,10,0.460646,11,0.553459,10.42401388,25,0.395914,26,0.528302,25.78621929,15,15.36220542
5,0.5,0.05,9,0.447723,10,0.546451,9.529505308,24,0.431478,25,0.501005,24.98554518,15,15.45603988
6,0.5,0.05,10,0.477296,11,0.55327,10.29883908,25,0.436148,26,0.528184,25.693772,15,15.39493293
7,0.5,0.05,10,0.441684,11,0.534995,10.62496383,27,0.486961,28,0.554829,27.19212294,17,16.56715911
8,0.5,0.05,10,0.497863,11,0.596072,10.02175972,25,0.407787,26,0.510563,25.89722309,15,15.87546337
9,0.5,0.05,10,0.461145,11,0.541925,10.48099777,26,0.473151,27,0.574949,26.26374781,16,15.78275004
10,0.5,0.05,9,0.45217,10,0.546418,9.507490875,25,0.460997,26,0.587692,25.30784956,16,15.80035868
11,0.5,0.05,10,0.45593,11,0.536346,10.54802527,26,0.45266,27,0.528342,26.62551201,16,16.07748674
12,0.5,0.05,10,0.436024,11,0.544231,10.59123717,27,0.443715,28,0.541623,27.57487641,17,16.98363925
13,0.5,0.05,10,0.429979,11,0.521134,10.76815315,27,0.497472,28,0.585392,27.02875341,17,16.26060027
14,0.5,0.05,9,0.409897,10,0.51188,9.883509997,23,0.446841,24,0.525904,23.67236255,14,13.78885255
15,0.5,0.05,10,0.465681,11,0.563697,10.35013671,24,0.420757,25,0.546774,24.62882786,14,14.27869114
16,0.5,0.05,10,0.478521,11,0.576883,10.21836685,25,0.434676,26,0.530303,25.68311251,15,15.46474566
17,0.5,0.05,10,0.441441,11,0.540409,10.59169631,25,0.468167,26,0.551267,25.38306859,15,14.79137229
18,0.5,0.05,9,0.419387,10,0.507952,9.910212838,25,0.470053,26,0.550102,25.37410836,16,15.46389552
19,0.5,0.05,9,0.431527,10,0.551541,9.57054177,26,0.499487,27,0.599482,26.00513026,17,16.43458849
0,0.5,0.1,9,0.407948,10,0.5087,9.913649357,25,0.465587,26,0.536623,25.48444451,16,15.57079515
1,0.5,0.1,10,0.464592,11,0.554236,10.39498461,25,0.495087,26,0.564103,25.07118639,15,14.67620179
2,0.5,0.1,10,0.439861,11,0.541322,10.59273021,25,0.454979,26,0.546875,25.48991251,15,14.8971823
3,0.5,0.1,10,0.437304,11,0.541442,10.60204728,25,0.46174,26,0.551816,25.42475243,15,14.82270515
4,0.5,0.1,10,0.441017,11,0.552424,10.52943711,25,0.472056,26,0.548539,25.36536224,15,14.83592513
5,0.5,0.1,10,0.454097,11,0.550785,10.47475385,25,0.478586,26,0.577847,25.21573428,15,14.74098043
6,0.5,0.1,10,0.472076,11,0.543139,10.3929471,26,0.451018,27,0.548039,26.50485977,16,16.11191267
7,0.5,0.1,10,0.455476,11,0.536749,10.54783261,25,0.466391,26,0.570978,25.32134969,15,14.77351708
8,0.5,0.1,10,0.477634,11,0.556923,10.282082,27,0.4778,28,0.546548,27.32291848,17,17.04083648
9,0.5,0.1,10,0.452535,11,0.516703,10.73969892,27,0.471916,28,0.56738,27.2941842,17,16.55448528
10,0.5,0.1,11,0.498512,12,0.590763,11.01612991,27,0.498952,28,0.59733,27.01065279,16,15.99452288
11,0.5,0.1,10,0.41381,11,0.507653,10.9184489,25,0.456567,26,0.544977,25.49126796,15,14.57281906
12,0.5,0.1,10,0.443469,11,0.52337,10.70751305,26,0.457426,27,0.532124,26.56994833,16,15.86243528
13,0.5,0.1,10,0.493299,11,0.553719,10.11090698,25,0.453004,26,0.537378,25.55699623,15,15.44608925
14,0.5,0.1,11,0.472043,12,0.555614,11.33452992,26,0.484647,27,0.55102,26.23131394,15,14.89678402
15,0.5,0.1,10,0.480866,11,0.584318,10.18495534,26,0.450426,27,0.536872,26.57346783,16,16.38851249
16,0.5,0.1,10,0.413066,11,0.500521,10.99404265,26,0.492826,27,0.589325,26.07434274,16,15.08030009
17,0.5,0.1,9,0.474684,10,0.526786,9.485893056,25,0.482739,26,0.562833,25.21550928,16,15.72961622
18,0.5,0.1,10,0.480441,11,0.568205,10.22285903,24,0.440415,25,0.544582,24.57201417,14,14.34915514
19,0.5,0.1,10,0.435926,11,0.512286,10.83910424,27,0.453312,28,0.569934,27.40033613,17,16.56123189
0,0.5,0.15,9,0.415145,10,0.51255,9.871156511,24,0.45,25,0.546332,24.51903833,15,14.64788181
1,0.5,0.15,10,0.479272,11,0.569547,10.22960953,25,0.44586,26,0.540289,25.57334082,15,15.34373129
2,0.5,0.15,10,0.461749,11,0.559693,10.39053949,26,0.484894,27,0.569601,26.17833237,16,15.78779288
3,0.5,0.15,10,0.47766,11,0.558648,10.27584333,26,0.470588,27,0.58833,26.24980041,16,15.97395708
4,0.5,0.15,10,0.470799,11,0.555724,10.34384457,26,0.44877,27,0.547761,26.51752179,16,16.17367723
