Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,18,0.430825,19,0.509324,18.88122142,48,0.477976,49,0.528347,48.43723571,30,29.55601429
1,0.5,0,17,0.477322,18,0.548673,17.31783717,47,0.437639,48,0.532887,47.65472241,30,30.33688524
2,0.5,0,17,0.48155,18,0.529091,17.38808607,44,0.490446,45,0.558757,44.13986034,27,26.75177427
3,0.5,0,17,0.454435,18,0.546429,17.49530404,48,0.473844,49,0.561404,48.29872088,31,30.80341684
4,0.5,0,17,0.427355,18,0.501143,17.98450968,49,0.497699,50,0.560407,49.03669388,32,31.05218421
5,0.5,0,16,0.464839,17,0.560731,16.36667292,47,0.458968,48,0.512915,47.76059837,31,31.39392544
6,0.5,0,18,0.467956,19,0.537271,18.46229532,49,0.492161,50,0.571257,49.09910741,31,30.6368121
7,0.5,0,17,0.488593,18,0.532768,17.25822298,47,0.482206,48,0.566583,47.21088685,30,29.95266388
8,0.5,0,18,0.476136,19,0.54717,18.3359518,48,0.456935,49,0.541274,48.51061786,30,30.17466607
9,0.5,0,18,0.474828,19,0.536232,18.40994072,47,0.487618,48,0.549171,47.20115998,29,28.79121926
10,0.5,0,16,0.451415,17,0.531174,16.60914756,45,0.489784,46,0.530142,45.25313445,29,28.64398689
11,0.5,0,16,0.449091,17,0.533493,16.60317291,47,0.492985,48,0.554957,47.11319628,31,30.51002337
12,0.5,0,16,0.482415,17,0.541998,16.29513452,44,0.441748,45,0.506211,44.90365016,28,28.60851564
13,0.5,0,17,0.482415,18,0.519327,17.47640334,48,0.488757,49,0.583812,48.11827889,31,30.64187555
14,0.5,0,16,0.418467,17,0.5,17,46,0.456422,47,0.542959,46.5035765,30,29.5035765
15,0.5,0,17,0.465183,18,0.52864,17.54867075,48,0.48045,49,0.527207,48.41811921,31,30.86944846
16,0.5,0,18,0.47021,19,0.520857,18.58818884,48,0.448642,49,0.508621,48.85626636,30,30.26807752
17,0.5,0,17,0.486618,18,0.54915,17.21400243,46,0.465144,47,0.536022,46.4917746,29,29.27777217
18,0.5,0,17,0.458385,18,0.543133,17.49104404,46,0.491784,47,0.561887,46.11719898,29,28.62615494
19,0.5,0,17,0.483571,18,0.540168,17.2902804,46,0.495768,47,0.576074,46.05269843,29,28.76241802
0,0.5,0.05,16,0.429724,17,0.512266,16.85139686,47,0.491749,48,0.551646,47.13775314,31,30.28635628
1,0.5,0.05,17,0.449163,18,0.506046,17.89371165,46,0.494172,47,0.556206,46.09394848,29,28.20023683
2,0.5,0.05,16,0.482877,17,0.571836,16.19248193,42,0.40578,43,0.503614,42.96305988,26,26.77057795
3,0.5,0.05,15,0.41704,16,0.500551,15.99340207,44,0.461447,45,0.513559,44.73981041,29,28.74640834
4,0.5,0.05,18,0.476798,19,0.56367,18.2670826,44,0.483715,45,0.576788,44.17497018,26,25.90788758
5,0.5,0.05,15,0.451843,16,0.518713,15.72015852,45,0.496656,46,0.559064,45.05358287,30,29.33342436
6,0.5,0.05,16,0.478453,17,0.521971,16.49512845,44,0.494087,45,0.563006,44.08579637,28,27.59066792
7,0.5,0.05,17,0.488595,18,0.587472,17.11534533,45,0.486175,46,0.539673,45.25842088,28,28.14307555
