Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,17,0.48549,18,0.543505,17.25010773,55,0.456658,56,0.518939,55.69591047,38,38.44580274
1,0.5,0,19,0.487742,20,0.529891,19.29082541,55,0.454706,56,0.504342,55.91252317,36,36.62169776
2,0.5,0,17,0.467246,18,0.54522,17.4200631,56,0.493437,57,0.536386,56.15280915,39,38.73274605
3,0.5,0,17,0.490648,18,0.504556,17.67241875,55,0.467459,56,0.501174,55.9651787,38,38.29275995
4,0.5,0,17,0.474389,18,0.517386,17.59564621,57,0.472941,58,0.542806,57.38730409,40,39.79165788
5,0.5,0,18,0.454545,19,0.523227,18.66181823,58,0.494687,59,0.552221,58.0923454,40,39.43052716
6,0.5,0,18,0.45436,19,0.503153,18.93538008,56,0.45896,57,0.502837,56.93534198,38,37.9999619
7,0.5,0,18,0.42966,19,0.527875,18.71618388,56,0.443559,57,0.52584,56.68595423,38,37.96977035
8,0.5,0,18,0.489418,19,0.574468,18.12442093,57,0.435849,58,0.526642,57.70656328,39,39.58214235
9,0.5,0,19,0.492891,20,0.538513,19.15582394,58,0.494845,59,0.567164,58.07128141,39,38.91545746
10,0.5,0,18,0.45197,19,0.519399,18.71230479,58,0.497392,59,0.568726,58.03656041,40,39.32425561
11,0.5,0,17,0.468144,18,0.532637,17.49394508,54,0.49815,55,0.510719,54.14718752,37,36.65324245
12,0.5,0,19,0.475333,20,0.564861,19.27552274,57,0.444039,58,0.516216,57.77533009,38,38.49980735
13,0.5,0,18,0.438849,19,0.512133,18.83443862,54,0.468234,55,0.530223,54.51244576,36,35.67800713
14,0.5,0,17,0.470519,18,0.510814,17.73162923,54,0.462333,55,0.536168,54.51015101,37,36.77852178
15,0.5,0,17,0.46671,18,0.529193,17.53278492,56,0.473522,57,0.51436,56.64836672,39,39.1155818
16,0.5,0,17,0.464474,18,0.503963,17.89964294,57,0.46087,58,0.523866,57.62115055,40,39.72150761
17,0.5,0,18,0.475212,19,0.52135,18.53725779,60,0.479849,61,0.577954,60.20540238,42,41.66814458
18,0.5,0,17,0.484416,18,0.534106,17.31362447,54,0.47619,55,0.536709,54.39343016,37,37.07980569
19,0.5,0,18,0.457516,19,0.501796,18.95943993,59,0.459222,60,0.517464,59.70014766,41,40.74070773
0,0.5,0.05,21,0.475352,22,0.515569,21.61287515,61,0.456152,62,0.504132,61.91388078,40,40.30100563
1,0.5,0.05,18,0.49434,19,0.582905,18.06390786,59,0.489011,60,0.565821,59.14306731,41,41.07915944
2,0.5,0.05,17,0.464508,18,0.526658,17.57106999,59,0.495641,60,0.539506,59.09937308,42,41.52830308
3,0.5,0.05,17,0.452063,18,0.5,18,57,0.459064,58,0.50738,57.84725557,40,39.84725557
4,0.5,0.05,19,0.465909,20,0.534418,19.49761345,59,0.41623,60,0.530599,59.73245372,40,40.23484027
5,0.5,0.05,17,0.447398,18,0.506321,17.8927244,54,0.431274,55,0.511321,54.85857059,37,36.96584619
