Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,29,0.474708,30,0.517705,29.58822709,53,0.476383,54,0.510652,53.68916513,24,24.10093805
1,0.5,0,27,0.491037,28,0.510608,27.45797353,49,0.495739,50,0.520833,49.16980155,22,21.71182801
2,0.5,0,32,0.498679,33,0.519789,32.06257698,51,0.488473,52,0.514589,51.44137693,19,19.37879996
3,0.5,0,26,0.475101,27,0.544371,26.35944853,47,0.490884,48,0.509722,47.48391549,21,21.12446696
4,0.5,0,30,0.498698,31,0.506202,30.17350746,48,0.468499,49,0.502878,48.9162861,18,18.74277864
5,0.5,0,27,0.480154,28,0.511704,27.62903328,51,0.472848,52,0.524624,51.52441286,24,23.89537957
6,0.5,0,22,0.455154,23,0.50214,22.95445452,50,0.478155,51,0.504292,50.83578835,28,27.88133383
7,0.5,0,29,0.462384,30,0.504237,29.89876472,46,0.454545,47,0.5,47,17,17.10123528
8,0.5,0,23,0.474966,24,0.507473,23.77011105,52,0.489698,53,0.511976,52.4624293,29,28.69231825
9,0.5,0,32,0.493088,33,0.54336,32.13749204,45,0.474159,46,0.508737,45.74732489,13,13.60983285
10,0.5,0,26,0.463589,27,0.507256,26.83383333,50,0.492021,51,0.505464,50.59354311,24,23.75970978
11,0.5,0,29,0.487943,30,0.527739,29.30297015,51,0.486842,52,0.521682,51.37766935,22,22.0746992
12,0.5,0,26,0.483918,27,0.510968,26.59452865,49,0.483724,50,0.500719,49.95769344,23,23.36316479
13,0.5,0,28,0.49131,29,0.513393,28.39351537,48,0.482906,49,0.515707,48.52114265,20,20.12762727
14,0.5,0,27,0.497497,28,0.506303,27.28423802,53,0.491413,54,0.537291,53.18717032,26,25.9029323
15,0.5,0,27,0.482803,28,0.519685,27.46627081,46,0.469962,47,0.503737,46.88935603,19,19.42308522
16,0.5,0,28,0.490854,29,0.501449,28.86323738,51,0.477047,52,0.507324,51.75810021,23,22.89486283
17,0.5,0,25,0.49639,26,0.527458,25.11619673,47,0.463885,48,0.514781,47.70958425,22,22.59338752
18,0.5,0,28,0.484064,29,0.516129,28.49699049,51,0.494891,52,0.554455,51.08577329,23,22.5887828
19,0.5,0,26,0.495352,27,0.520026,26.18837643,49,0.488954,50,0.505147,49.68214661,23,23.49377018
0,0.5,0.05,26,0.47741,27,0.519746,26.53358844,51,0.469169,52,0.505806,51.84152633,25,25.30793789
1,0.5,0.05,24,0.48374,25,0.511989,24.5755956,45,0.485423,46,0.502022,45.87818543,21,21.30258984
2,0.5,0.05,26,0.472393,27,0.519969,26.58027157,50,0.484694,51,0.502203,50.87417899,24,24.29390743
3,0.5,0.05,25,0.489011,26,0.524251,25.31183314,44,0.482639,45,0.529028,44.37424821,19,19.06241506
4,0.5,0.05,24,0.487909,25,0.543385,24.2179501,44,0.485564,45,0.515727,44.47859961,20,20.2606495
5,0.5,0.05,25,0.481481,26,0.5,26,47,0.484081,48,0.525585,47.38355339,22,21.38355339
6,0.5,0.05,26,0.498674,27,0.532189,26.03956437,45,0.488961,46,0.517857,45.38202519,19,19.34246082
7,0.5,0.05,27,0.492288,28,0.503238,27.70429224,48,0.480926,49,0.513808,48.5800742,21,20.87578197
8,0.5,0.05,23,0.498087,24,0.508772,23.17903603,46,0.498452,47,0.53709,46.04006419,23,22.86102815
9,0.5,0.05,26,0.478933,27,0.512676,26.6243369,41,0.493082,42,0.513514,41.33858653,15,14.71424963
10,0.5,0.05,24,0.472332,25,0.504601,24.85741734,47,0.485488,48,0.512752,47.532277,23,22.67485966
11,0.5,0.05,24,0.46349,25,0.513654,24.72781277,45,0.465909,46,0.507032,45.8290008,21,21.10118803
12,0.5,0.05,30,0.485583,31,0.502209,30.86713581,48,0.493984,49,0.535559,48.14470235,18,17.27756653
13,0.5,0.05,23,0.484917,24,0.516783,23.4733258,47,0.450067,48,0.50823,47.85850111,24,24.38517531
14,0.5,0.05,25,0.468997,26,0.50323,25.9056466,45,0.492177,46,0.508141,45.49004009,20,19.58439349
15,0.5,0.05,24,0.48289,25,0.534626,24.33071749,48,0.482581,49,0.512908,48.57437267,24,24.24365518
16,0.5,0.05,26,0.483501,27,0.511254,26.59449429,47,0.483125,48,0.50406,47.8060664,21,21.21157211
17,0.5,0.05,25,0.460614,26,0.508868,25.81622249,48,0.450495,49,0.537565,48.56856552,23,22.75234303
18,0.5,0.05,27,0.496474,28,0.532594,27.09761905,48,0.470027,49,0.506614,48.81922541,21,21.72160636
19,0.5,0.05,24,0.481795,25,0.5,25,48,0.49929,49,0.53871,48.01801116,24,23.01801116
0,0.5,0.1,23,0.483617,24,0.518464,23.4701409,46,0.497549,47,0.538978,46.05916146,23,22.58902056
1,0.5,0.1,25,0.49183,26,0.539452,25.17155936,47,0.472919,48,0.509929,47.73172116,22,22.56016179
2,0.5,0.1,26,0.48913,27,0.508969,26.54791068,45,0.463952,46,0.509736,45.78734929,19,19.23943861
3,0.5,0.1,27,0.488954,28,0.527818,27.2842219,43,0.454488,44,0.504016,43.91891455,16,16.63469265
4,0.5,0.1,23,0.483894,24,0.548276,23.25016309,43,0.49848,44,0.529944,43.04830918,20,19.79814609
5,0.5,0.1,23,0.465649,24,0.501333,23.96264432,45,0.474898,46,0.524052,45.51068072,22,21.5480364
6,0.5,0.1,25,0.491549,26,0.521805,25.2793165,47,0.491083,48,0.52576,47.25714451,22,21.97782801
7,0.5,0.1,23,0.481818,24,0.560117,23.23221242,46,0.495595,47,0.526393,46.14302877,23,22.91081635
8,0.5,0.1,22,0.467604,23,0.509881,22.76627954,45,0.497126,46,0.512763,45.18379485,23,22.41751531
9,0.5,0.1,26,0.498603,27,0.546805,26.0289822,42,0.498672,43,0.532895,42.03880431,16,16.00982211
10,0.5,0.1,24,0.487823,25,0.542398,24.22312414,41,0.45092,42,0.501282,41.9745443,17,17.75142016
11,0.5,0.1,24,0.468071,25,0.5,25,43,0.482289,44,0.535387,43.33355305,19,18.33355305
12,0.5,0.1,24,0.496649,25,0.510929,24.23466387,44,0.496575,45,0.510563,44.24485273,20,20.01018887
