Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,35,0.38488,36,0.413386,35.53041465,60,0.369779,61,0.424129,60.55604416,25,25.02562951
1,0.5,0,41,0.382009,42,0.411631,41.60735264,61,0.376812,62,0.416178,61.58903622,20,19.98168358
2,0.5,0,33,0.384026,34,0.414336,33.52702079,59,0.398551,60,0.413284,59.09835064,26,25.57132986
3,0.5,0,38,0.38639,39,0.400231,38.98331045,59,0.385194,60,0.401542,59.90567654,21,20.92236608
4,0.5,0,38,0.364621,39,0.400633,38.98242253,64,0.377913,65,0.41573,64.5840495,26,25.60162698
5,0.5,0,41,0.383005,42,0.401324,41.92772531,72,0.3991,73,0.404242,72.17502917,31,30.24730386
6,0.5,0,45,0.399179,46,0.437423,45.02146742,61,0.377304,62,0.4,62,16,16.97853258
7,0.5,0,36,0.391332,37,0.4,37,63,0.38017,64,0.412258,63.61798803,27,26.61798803
8,0.5,0,38,0.395577,39,0.406356,38.41033491,62,0.367716,63,0.415744,62.67219122,24,24.26185631
9,0.5,0,32,0.383094,33,0.405875,32.74210965,66,0.397451,67,0.405882,66.30233661,34,33.56022696
10,0.5,0,37,0.387316,38,0.409249,37.57830666,59,0.390411,60,0.401542,59.86146797,22,22.28316131
11,0.5,0,32,0.374707,33,0.401092,32.95861285,59,0.360097,60,0.401935,59.95375018,27,26.99513733
12,0.5,0,31,0.391746,32,0.431898,31.20556884,56,0.376844,57,0.401561,56.93684509,25,25.73127625
13,0.5,0,29,0.381974,30,0.4014,29.92793164,56,0.382751,57,0.409681,56.64051244,27,26.7125808
14,0.5,0,30,0.38843,31,0.416885,30.40660692,56,0.37882,57,0.401425,56.93696085,26,26.53035393
15,0.5,0,29,0.37471,30,0.403396,29.88161472,59,0.377475,60,0.408974,59.71510207,30,29.83348734
16,0.5,0,34,0.362587,35,0.401705,34.95641393,63,0.374562,64,0.405388,63.82521248,29,28.86879856
17,0.5,0,34,0.383875,35,0.414795,34.52150712,53,0.379157,54,0.401776,53.92148194,19,19.39997482
18,0.5,0,34,0.394507,35,0.415946,34.25621531,57,0.36763,58,0.416667,57.66011379,23,23.40389848
19,0.5,0,40,0.384701,41,0.402874,40.8418533,65,0.364946,66,0.409705,65.7831721,25,24.9413188
0,0.5,0.05,35,0.365128,36,0.4,36,61,0.383028,62,0.417993,61.48539969,26,25.48539969
1,0.5,0.05,41,0.391403,42,0.404297,41.66674422,60,0.397647,61,0.411652,60.16801142,19,18.5012672
2,0.5,0.05,35,0.35782,36,0.408501,35.83226456,59,0.370767,60,0.403329,59.89776427,24,24.06549971
3,0.5,0.05,29,0.384528,30,0.40166,29.9031053,50,0.384525,51,0.404514,50.7741758,21,20.8710705
4,0.5,0.05,31,0.386194,32,0.420233,31.40559358,58,0.386973,59,0.41471,58.46966146,27,27.06406788
5,0.5,0.05,33,0.391778,34,0.420878,33.28254296,54,0.364246,55,0.401796,54.95217044,21,21.66962748
6,0.5,0.05,29,0.377666,30,0.423563,29.48661133,50,0.364088,51,0.400685,50.98128262,21,21.49467129
7,0.5,0.05,29,0.399189,30,0.404908,29.14180801,51,0.380702,52,0.424944,51.43619185,22,22.29438385
8,0.5,0.05,31,0.374706,32,0.421533,31.54015846,50,0.38785,51,0.41012,50.54557701,19,19.00541855
9,0.5,0.05,38,0.393185,39,0.410039,38.40435505,57,0.388889,58,0.401054,57.91335799,19,19.50900294
10,0.5,0.05,30,0.389831,31,0.402696,30.79043918,51,0.381068,52,0.402977,51.86411977,21,21.07368059
11,0.5,0.05,29,0.390805,30,0.422814,29.28726296,54,0.36086,55,0.40157,54.96143454,25,25.67417158
12,0.5,0.05,31,0.394947,32,0.428769,31.1493998,58,0.39601,59,0.412627,58.24011554,27,27.09071575
13,0.5,0.05,33,0.341241,34,0.403659,33.94137909,63,0.375904,64,0.409976,63.70720826,30,29.76582918
14,0.5,0.05,30,0.381473,31,0.404762,30.79552578,57,0.384615,58,0.419267,57.44398592,27,26.64846013
15,0.5,0.05,32,0.362233,33,0.409201,32.80410066,61,0.391048,62,0.424528,61.26738351,29,28.46328285
16,0.5,0.05,29,0.376812,30,0.406829,29.77249559,53,0.398844,54,0.403244,53.26272727,24,23.49023169
17,0.5,0.05,32,0.39507,33,0.427367,32.15264576,58,0.385246,59,0.401338,58.91685309,26,26.76420734
18,0.5,0.05,31,0.374118,32,0.400773,31.97099981,59,0.390909,60,0.422126,59.29121953,28,27.32021972
19,0.5,0.05,28,0.362791,29,0.407547,28.83137456,54,0.381643,55,0.405527,54.76858985,26,25.93721529
0,0.5,0.1,27,0.393789,28,0.415528,27.28570771,51,0.391331,52,0.403055,51.7394234,24,24.45371569
1,0.5,0.1,26,0.383693,27,0.404255,26.79306488,52,0.351259,53,0.404304,52.91886134,26,26.12579647
2,0.5,0.1,26,0.391381,27,0.425667,26.25138541,53,0.386951,54,0.402614,53.83310988,27,27.58172447
3,0.5,0.1,27,0.399346,28,0.406757,27.0882472,56,0.38869,57,0.411321,56.49975697,29,29.41150977
4,0.5,0.1,24,0.392348,25,0.421429,24.26312713,49,0.398984,50,0.42963,49.03315278,25,24.77002565
5,0.5,0.1,24,0.354399,25,0.405789,24.88735162,50,0.386084,51,0.428482,50.32822303,26,25.4408714
6,0.5,0.1,26,0.381152,27,0.40265,26.87673272,53,0.367844,54,0.400232,53.99283685,27,27.11610413
7,0.5,0.1,28,0.395735,29,0.439299,28.09790194,47,0.370904,48,0.401542,47.94967034,19,19.85176841
8,0.5,0.1,26,0.396711,27,0.40915,26.26441032,52,0.382075,53,0.406863,52.72313216,26,26.45872184
9,0.5,0.1,22,0.385902,23,0.400749,22.9495521,47,0.372817,48,0.409209,47.74694988,25,24.79739778
10,0.5,0.1,27,0.391875,28,0.409204,27.46886722,53,0.396988,54,0.409988,53.23169231,26,25.76282509
11,0.5,0.1,25,0.380695,26,0.410354,25.65089855,51,0.38471,52,0.409416,51.61887801,26,25.96797946
12,0.5,0.1,22,0.378018,23,0.402681,22.89129465,47,0.387743,48,0.432106,47.2762888,25,24.38499415
13,0.5,0.1,22,0.351974,23,0.400231,22.99521313,49,0.382488,50,0.419954,49.46741045,27,26.47219732
14,0.5,0.1,26,0.361042,27,0.405289,26.88046647,46,0.379373,47,0.401775,46.920766,20,20.04029953
15,0.5,0.1,32,0.395753,33,0.433129,32.11362907,57,0.383354,58,0.425926,57.39100817,25,25.27737911
16,0.5,0.1,30,0.387779,31,0.404034,30.75183021,53,0.39434,54,0.40586,53.49131944,23,22.73948924
17,0.5,0.1,27,0.389313,28,0.423674,27.31102122,51,0.397934,52,0.40382,51.35100238,24,24.03998116
18,0.5,0.1,28,0.393464,29,0.426684,28.19674895,55,0.378256,56,0.428307,55.43443687,27,27.23768793
19,0.5,0.1,25,0.375931,26,0.428486,25.45797736,50,0.3867,51,0.412935,50.50695636,25,25.048979
0,0.5,0.15,23,0.393415,24,0.418719,23.26023554,48,0.394963,49,0.410152,48.33162157,25,25.07138603
1,0.5,0.15,25,0.380282,26,0.411552,25.63057243,45,0.381327,46,0.413772,45.57552782,20,19.94495538
2,0.5,0.15,24,0.382075,25,0.415823,24.53114259,53,0.374858,54,0.402363,53.91408835,29,29.38294576
3,0.5,0.15,21,0.393125,22,0.424315,21.22042321,45,0.390643,46,0.43913,45.19297956,24,23.97255635
4,0.5,0.15,22,0.396417,23,0.416568,22.17780755,45,0.387116,46,0.421089,45.37924234,23,23.20143479
5,0.5,0.15,26,0.383856,27,0.425786,26.38502266,48,0.383019,49,0.408587,48.6641505,22,22.27912784
6,0.5,0.15,23,0.369138,24,0.402454,23.9263417,47,0.394608,48,0.432809,47.14114814,24,23.21480644
7,0.5,0.15,25,0.385057,26,0.404878,25.75389738,46,0.388493,47,0.413121,46.46723242,21,20.71333504
