Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,17,0.458292,18,0.502381,17.9459956,41,0.470763,42,0.538386,41.4323529,24,23.4863573
1,0.5,0,18,0.477545,19,0.529286,18.43398852,42,0.437312,43,0.515399,42.80279688,24,24.36880836
2,0.5,0,18,0.480532,19,0.539979,18.32748499,42,0.475024,43,0.523603,42.51413162,24,24.18664663
3,0.5,0,18,0.492579,19,0.559557,18.11079758,41,0.45049,42,0.528338,41.63598294,23,23.52518537
4,0.5,0,16,0.428026,17,0.506572,16.91632928,39,0.43905,40,0.518591,39.76627148,23,22.8499422
5,0.5,0,18,0.477612,19,0.542448,18.34530199,39,0.449391,40,0.512234,39.80532438,21,21.46002239
6,0.5,0,19,0.479021,20,0.550445,19.2937248,43,0.495627,44,0.567698,43.06067628,24,23.76695148
7,0.5,0,17,0.454545,18,0.520921,17.68481077,41,0.481614,42,0.531573,41.36802178,24,23.683211
8,0.5,0,17,0.497963,18,0.53631,17.05312019,40,0.474156,41,0.527778,40.48196636,23,23.42884617
9,0.5,0,17,0.49899,18,0.534564,17.02839152,40,0.47672,41,0.528426,40.45023788,23,23.42184636
10,0.5,0,18,0.469262,19,0.527724,18.52577743,39,0.445554,40,0.510194,39.84229579,21,21.31651836
11,0.5,0,16,0.464353,17,0.53428,16.50977448,39,0.466236,40,0.513472,39.7147938,23,23.20501932
12,0.5,0,15,0.485371,16,0.54755,15.23527236,40,0.465996,41,0.515478,40.68719939,25,25.45192703
13,0.5,0,17,0.492323,18,0.540117,17.16062686,44,0.497888,45,0.544089,44.0457133,27,26.88508644
14,0.5,0,16,0.492126,17,0.533939,16.18831464,40,0.493717,41,0.575665,40.07667057,24,23.88835593
15,0.5,0,18,0.464903,19,0.514508,18.70752948,41,0.418803,42,0.501529,41.9815173,23,23.27398782
16,0.5,0,17,0.489437,18,0.55054,17.17287204,40,0.47428,41,0.552284,40.32972668,23,23.15685464
17,0.5,0,18,0.465342,19,0.533981,18.5049316,42,0.45889,43,0.503024,42.9314814,24,24.4265498
18,0.5,0,16,0.435231,17,0.507795,16.89257759,41,0.478723,42,0.537957,41.35920249,25,24.4666249
19,0.5,0,16,0.471042,17,0.542829,16.4033878,40,0.495522,41,0.558049,40.07161706,24,23.66822926
0,0.5,0.05,16,0.431641,17,0.50744,16.90184567,39,0.497452,40,0.567196,39.03653361,23,22.13468794
1,0.5,0.05,16,0.468941,17,0.51927,16.61711935,39,0.495887,40,0.56443,39.06000613,23,22.44288677
2,0.5,0.05,16,0.478628,17,0.540196,16.34712838,37,0.432178,38,0.514463,37.82423285,21,21.47710447
3,0.5,0.05,16,0.428169,17,0.514764,16.82950517,39,0.449763,40,0.511967,39.80761687,23,22.97811171
4,0.5,0.05,17,0.480928,18,0.559834,17.24170532,39,0.494168,40,0.53263,39.15163018,22,21.90992486
5,0.5,0.05,15,0.4845,16,0.542903,15.26539733,38,0.453747,39,0.511055,38.807095,23,23.54169767
6,0.5,0.05,18,0.449807,19,0.512968,18.79468343,41,0.489551,42,0.562319,41.14359334,23,22.34890991
7,0.5,0.05,17,0.447154,18,0.504726,17.91791148,39,0.499008,40,0.566497,39.01469869,22,21.09678721
8,0.5,0.05,17,0.4875,18,0.551282,17.19598006,42,0.491892,43,0.546587,42.14824024,25,24.95226018
9,0.5,0.05,17,0.496994,18,0.569835,17.04126797,41,0.440926,42,0.52529,41.70022759,24,24.65895962
10,0.5,0.05,17,0.466,18,0.51896,17.64199396,40,0.496868,41,0.542731,40.06829034,23,22.42629639
11,0.5,0.05,17,0.478641,18,0.532961,17.39320692,39,0.476733,40,0.545455,39.33856698,22,21.94536006
12,0.5,0.05,16,0.48,17,0.533663,16.37269627,42,0.492157,43,0.550725,42.13391272,26,25.76121645
13,0.5,0.05,16,0.476264,17,0.511962,16.6649112,40,0.466111,41,0.508155,40.80603653,24,24.14112533
14,0.5,0.05,16,0.463573,17,0.512299,16.74758856,41,0.484048,42,0.536525,41.30398079,25,24.55639224
15,0.5,0.05,16,0.486549,17,0.54089,16.24752949,41,0.466466,42,0.520767,41.61755769,25,25.3700282
16,0.5,0.05,16,0.449846,17,0.51793,16.73664885,39,0.44245,40,0.524747,39.69929645,23,22.96264761
17,0.5,0.05,16,0.492958,17,0.555055,16.11340322,40,0.481818,41,0.534547,40.34481974,24,24.23141651
18,0.5,0.05,17,0.481755,18,0.565239,17.21854487,39,0.496674,40,0.563247,39.04996019,22,21.83141532
19,0.5,0.05,15,0.433723,16,0.502112,15.96911784,40,0.45311,41,0.509054,40.83815959,25,24.86904175
0,0.5,0.1,16,0.465552,17,0.508929,16.79415358,40,0.493659,41,0.557692,40.09902706,24,23.30487348
1,0.5,0.1,15,0.49,16,0.544467,15.18359741,38,0.493394,39,0.533932,38.16295821,23,22.9793608
2,0.5,0.1,16,0.458421,17,0.501567,16.96368145,39,0.415046,40,0.502921,39.9667596,23,23.00307815
3,0.5,0.1,16,0.481132,17,0.577595,16.19559831,37,0.450566,38,0.500951,37.98112533,21,21.78552702
4,0.5,0.1,15,0.498964,16,0.561117,15.01666854,36,0.463832,37,0.538304,36.48565904,21,21.4689905
5,0.5,0.1,17,0.497947,18,0.546429,17.04234561,39,0.498045,40,0.550813,39.03704897,22,21.99470336
6,0.5,0.1,17,0.476555,18,0.549689,17.32057593,38,0.478931,39,0.542588,38.33097695,21,21.01040103
7,0.5,0.1,15,0.484391,16,0.555036,15.22094982,37,0.48,38,0.548891,37.29031368,22,22.06936386
8,0.5,0.1,15,0.443784,16,0.506067,15.90258979,37,0.497715,38,0.573944,37.02997547,22,21.12738568
9,0.5,0.1,16,0.464545,17,0.512303,16.74238871,39,0.442288,40,0.504246,39.93146971,23,23.189081
10,0.5,0.1,15,0.475562,16,0.528028,15.46578737,39,0.46875,40,0.512182,39.71951556,24,24.2537282
11,0.5,0.1,16,0.463168,17,0.540078,16.47889741,40,0.457185,41,0.501465,40.96691509,24,24.48801767
12,0.5,0.1,14,0.433794,15,0.51007,14.86797944,35,0.457404,36,0.532058,35.57057894,21,20.70259949
13,0.5,0.1,16,0.43932,17,0.532811,16.64904643,40,0.496237,41,0.545988,40.07563667,24,23.42659024
14,0.5,0.1,15,0.482776,16,0.560652,15.22117212,36,0.471354,37,0.515166,36.65383913,21,21.43266701
15,0.5,0.1,16,0.491353,17,0.572042,16.10716455,38,0.455633,39,0.500474,38.98942932,22,22.88226477
16,0.5,0.1,16,0.491237,17,0.537598,16.18901663,40,0.45336,41,0.501367,40.97152499,24,24.78250836
17,0.5,0.1,15,0.442058,16,0.502077,15.96539429,37,0.480866,38,0.554775,37.25888593,22,21.29349164
18,0.5,0.1,15,0.427466,16,0.514692,15.83156398,40,0.49348,41,0.521872,40.22964215,25,24.39807817
19,0.5,0.1,15,0.451441,16,0.501862,15.96307094,39,0.453156,40,0.526971,39.63461356,24,23.67154262
0,0.5,0.15,15,0.473069,16,0.542714,15.38668964,38,0.466529,39,0.541489,38.44651814,23,23.0598285
1,0.5,0.15,15,0.459901,16,0.515464,15.72168529,39,0.491968,40,0.542781,39.15806979,24,23.43638449
2,0.5,0.15,16,0.496432,17,0.542247,16.07787842,38,0.498033,39,0.573267,38.02614509,22,21.94826667
3,0.5,0.15,14,0.464433,15,0.523224,14.60497355,38,0.458877,39,0.549205,38.45526304,24,23.85028949
4,0.5,0.15,14,0.448294,15,0.514933,14.775912,37,0.431373,38,0.519944,37.77482472,23,22.99891271
5,0.5,0.15,15,0.49845,16,0.552657,15.02859409,36,0.444861,37,0.524636,36.69118145,21,21.66258735
6,0.5,0.15,15,0.454312,16,0.501916,15.95975128,38,0.463002,39,0.523006,38.61659223,23,22.65684095
7,0.5,0.15,15,0.432323,16,0.512346,15.84571936,38,0.495482,39,0.56442,38.06553715,23,22.21981779
8,0.5,0.15,14,0.425542,15,0.506526,14.91941618,38,0.438776,39,0.506518,38.903782,24,23.98436582
9,0.5,0.15,14,0.466877,15,0.522876,14.59149271,38,0.477124,39,0.513105,38.63577999,24,24.04428729
10,0.5,0.15,15,0.490236,16,0.56883,15.1242334,37,0.44798,38,0.526908,37.65908169,22,22.53484829
11,0.5,0.15,15,0.488217,16,0.570637,15.14296287,38,0.485535,39,0.571128,38.16899746,23,23.02603459
12,0.5,0.15,15,0.4605,16,0.518145,15.68522855,39,0.452525,40,0.541667,39.53257724,24,23.84734868
13,0.5,0.15,17,0.465005,18,0.538747,17.47455995,39,0.469619,40,0.547904,39.38808201,22,21.91352206
14,0.5,0.15,14,0.46388,15,0.534343,14.51260945,35,0.465717,36,0.537113,35.48018096,21,20.96757151
15,0.5,0.15,15,0.4778,16,0.559767,15.2708407,37,0.450861,38,0.522303,37.68781669,22,22.41697599
16,0.5,0.15,15,0.440104,16,0.520397,15.74596789,38,0.486261,39,0.547217,38.22539209,23,22.47942419
17,0.5,0.15,15,0.496798,16,0.563068,15.04831749,38,0.490521,39,0.56095,38.13458944,23,23.08627196
18,0.5,0.15,15,0.479651,16,0.564367,15.24020256,38,0.429298,39,0.520188,38.77788536,23,23.5376828
19,0.5,0.15,15,0.473739,16,0.542565,15.38155639,38,0.47431,39,0.507866,38.76558589,23,23.3840295
0,0.5,0.2,14,0.471549,15,0.53089,14.47944928,36,0.478216,37,0.572775,36.23037469,22,21.7509254
1,0.5,0.2,15,0.487603,16,0.581726,15.13171063,35,0.433087,36,0.511663,35.85157045,20,20.71985982
2,0.5,0.2,15,0.498999,16,0.559184,15.01663205,36,0.456522,37,0.538038,36.53336768,21,21.51673563
3,0.5,0.2,15,0.440834,16,0.507987,15.88106265,39,0.472281,40,0.528254,39.49522091,24,23.61415826
4,0.5,0.2,15,0.418919,16,0.539918,15.67009645,39,0.474306,40,0.515224,39.6279388,24,23.95784236
5,0.5,0.2,15,0.479125,16,0.538344,15.35250511,35,0.464353,36,0.531406,35.53162424,20,20.17911913
6,0.5,0.2,15,0.475232,16,0.533686,15.4237178,36,0.425397,37,0.506494,36.91992306,21,21.49620526
7,0.5,0.2,14,0.458081,15,0.524848,14.6278401,36,0.470273,37,0.533819,36.46780285,22,21.83996275
8,0.5,0.2,14,0.453373,15,0.541951,14.52639482,38,0.468053,39,0.552497,38.37832173,24,23.85192691
9,0.5,0.2,15,0.481818,16,0.559349,15.23451265,36,0.476981,37,0.527192,36.45844536,21,21.22393271
10,0.5,0.2,14,0.45379,15,0.520731,14.69030938,35,0.494295,36,0.528747,35.16559271,21,20.47528333
11,0.5,0.2,14,0.457704,15,0.539643,14.51618887,36,0.483417,37,0.538942,36.29865826,22,21.78246939
12,0.5,0.2,15,0.463812,16,0.563618,15.36258341,35,0.474421,36,0.535176,35.42101885,20,20.05843543
13,0.5,0.2,15,0.458204,16,0.508282,15.834618,36,0.467308,37,0.569347,36.3203873,21,20.48576931
14,0.5,0.2,16,0.452041,17,0.506572,16.8794814,38,0.474684,39,0.552523,38.32523542,22,21.44575403
15,0.5,0.2,14,0.485232,15,0.537428,14.28293356,37,0.437968,38,0.515516,37.79991747,23,23.51698391
16,0.5,0.2,14,0.452206,15,0.520408,14.70077124,36,0.423039,37,0.521255,36.78358923,22,22.08281799
17,0.5,0.2,15,0.470414,16,0.541793,15.41449166,37,0.495881,38,0.552432,37.07283691,22,21.65834525
18,0.5,0.2,14,0.457579,15,0.53009,14.58502848,36,0.482347,37,0.559777,36.22798657,22,21.64295809
19,0.5,0.2,14,0.447139,15,0.517893,14.7471097,36,0.490336,37,0.547131,36.17015582,22,21.42304612
0,0.5,0.25,13,0.419271,14,0.504024,13.95252085,34,0.454693,35,0.514151,34.76200007,21,20.80947921
1,0.5,0.25,13,0.477812,14,0.539659,13.35875629,37,0.477545,38,0.521393,37.51211002,24,24.15335373
2,0.5,0.25,14,0.471743,15,0.551525,14.35417763,33,0.479897,34,0.581383,33.19808644,19,18.8439088
3,0.5,0.25,14,0.486607,15,0.577336,14.14761543,35,0.457222,36,0.52658,35.61677096,21,21.46915553
4,0.5,0.25,13,0.453523,14,0.536711,13.55869837,36,0.489818,37,0.551808,36.1642523,23,22.60555393
5,0.5,0.25,15,0.496569,16,0.568896,15.04743733,35,0.44617,36,0.540675,35.56959949,20,20.52216216
6,0.5,0.25,14,0.430583,15,0.513118,14.84106137,36,0.438337,37,0.501944,36.96943733,22,22.12837596
7,0.5,0.25,14,0.464539,15,0.53727,14.48756376,35,0.457436,36,0.539055,35.52149622,21,21.03393246
8,0.5,0.25,15,0.487193,16,0.566568,15.16134803,36,0.465898,37,0.518028,36.65417226,21,21.49282423
9,0.5,0.25,13,0.448521,14,0.518558,13.73502577,35,0.471649,36,0.543825,35.3928037,22,21.65777793
10,0.5,0.25,14,0.438085,15,0.503106,14.95223082,36,0.433577,37,0.52993,36.68937137,22,21.73714056
11,0.5,0.25,13,0.445764,14,0.538672,13.58376028,34,0.496609,35,0.583676,34.03894702,21,20.45518674
12,0.5,0.25,14,0.454634,15,0.528147,14.61711534,36,0.450539,37,0.535205,36.58418964,22,21.9670743
13,0.5,0.25,14,0.492711,15,0.55736,14.1127473,33,0.456,34,0.55117,33.46233057,19,19.34958327
