Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,44,0.493498,45,0.5,45,169,0.490798,170,0.504284,169.6823372,125,124.6823372
1,0.5,0,40,0.477515,41,0.502685,40.89332539,177,0.499427,178,0.532186,177.0174914,137,136.124166
2,0.5,0,45,0.487776,46,0.528382,45.30103926,175,0.496528,176,0.513822,175.2007633,130,129.899724
3,0.5,0,38,0.42506,39,0.509975,38.88252959,174,0.49645,175,0.556395,174.059221,136,135.1766914
4,0.5,0,38,0.4843,39,0.508494,38.64892122,174,0.486842,175,0.508705,174.6018387,136,135.9529175
5,0.5,0,46,0.491443,47,0.525092,46.25430176,158,0.483095,159,0.507534,158.6917222,112,112.4374205
6,0.5,0,43,0.480046,44,0.511682,43.63073713,161,0.479551,162,0.521971,161.4820603,118,117.8513232
7,0.5,0,39,0.485537,40,0.510303,39.58398611,176,0.484615,177,0.513959,176.524298,137,136.9403119
8,0.5,0,35,0.488228,36,0.519042,35.38203414,169,0.468354,170,0.505,169.8635595,134,134.4815253
9,0.5,0,40,0.491576,41,0.536188,40.18882812,160,0.480911,161,0.511995,160.6141102,120,120.425282
10,0.5,0,38,0.46977,39,0.507917,38.79246074,160,0.471515,161,0.51097,160.7219617,122,121.929501
11,0.5,0,44,0.497002,45,0.524405,44.10940408,164,0.497688,165,0.540097,164.0545167,120,119.9451127
12,0.5,0,38,0.487117,39,0.506173,38.67606003,164,0.497735,165,0.519362,164.1047302,126,125.4286702
13,0.5,0,40,0.485748,41,0.521632,40.39716865,163,0.485369,164,0.515464,163.4861605,123,123.0889918
14,0.5,0,40,0.489876,41,0.503659,40.73452804,166,0.476798,167,0.511655,166.6656339,126,125.9311058
15,0.5,0,34,0.489183,35,0.522379,34.32585251,160,0.497519,161,0.518954,160.1157453,126,125.7898928
16,0.5,0,41,0.479641,42,0.504802,41.80914908,163,0.493377,164,0.52685,163.197861,122,121.3887119
17,0.5,0,32,0.455069,33,0.51331,32.77146684,168,0.489336,169,0.511521,168.4806851,136,135.7092183
18,0.5,0,41,0.495808,42,0.528369,41.12874297,167,0.468987,168,0.513789,167.6922236,126,126.5634806
19,0.5,0,37,0.486658,38,0.505019,37.72664888,162,0.449405,163,0.5,163,125,125.2733511
0,0.5,0.05,50,0.466589,51,0.502541,50.92932243,177,0.495232,178,0.521767,177.1796872,127,126.2503648
1,0.5,0.05,44,0.49375,45,0.529344,44.17559139,179,0.497608,180,0.538507,179.0584855,135,134.8828941
2,0.5,0.05,45,0.469679,46,0.505882,45.83752728,168,0.489529,169,0.567133,168.1349286,123,122.2974013
