Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,36,0.465825,37,0.528913,36.54170365,80,0.480567,81,0.504687,80.80567993,44,44.26397628
1,0.5,0,37,0.453777,38,0.505247,37.89805712,80,0.47885,81,0.505394,80.79679024,43,42.89873311
2,0.5,0,36,0.468852,37,0.503236,36.90588646,79,0.483871,80,0.523887,79.40306377,43,42.49717732
3,0.5,0,45,0.480512,46,0.517368,45.52876058,85,0.495873,86,0.537169,85.09993704,40,39.57117646
4,0.5,0,43,0.493464,44,0.511211,43.3682876,83,0.499387,84,0.531144,83.01930283,40,39.65101523
5,0.5,0,44,0.476366,45,0.536842,44.39079966,85,0.472393,86,0.514136,85.6613564,41,41.27055674
6,0.5,0,33,0.481542,34,0.53903,33.3210757,75,0.478564,76,0.506243,75.77444994,42,42.45337424
7,0.5,0,37,0.453333,38,0.502328,37.95248495,78,0.474888,79,0.5054,78.82302045,41,40.8705355
8,0.5,0,39,0.470924,40,0.514317,39.67006199,78,0.499434,79,0.506417,78.08105399,39,38.410992
9,0.5,0,36,0.463068,37,0.50882,36.80722154,78,0.476163,79,0.500536,78.97800845,42,42.17078691
10,0.5,0,38,0.498348,39,0.533133,38.04749173,77,0.492608,78,0.509744,77.43137255,39,39.38388081
11,0.5,0,35,0.491657,36,0.531738,35.20815349,78,0.485475,79,0.532386,78.30962887,43,43.10147538
12,0.5,0,34,0.482181,35,0.522548,34.44142493,79,0.479933,80,0.52868,79.4116561,45,44.97023118
13,0.5,0,35,0.492746,36,0.5,36,78,0.46266,79,0.508242,78.81918301,43,42.81918301
14,0.5,0,40,0.445596,41,0.507487,40.87902926,84,0.487335,85,0.503846,84.76706438,44,43.88803512
15,0.5,0,38,0.467205,39,0.504202,38.88642322,81,0.468004,82,0.523128,81.58043683,43,42.69401361
16,0.5,0,33,0.474664,34,0.509847,33.72012051,79,0.492577,80,0.528292,79.20783984,46,45.48771933
17,0.5,0,47,0.477205,48,0.53724,47.37969518,91,0.486607,92,0.553311,91.20078256,44,43.82108738
18,0.5,0,29,0.488273,30,0.523101,29.33671184,70,0.479766,71,0.516079,70.55721092,41,41.22049908
19,0.5,0,36,0.496602,37,0.543987,36.07171046,77,0.488827,78,0.513827,77.44692,41,41.37520954
0,0.5,0.05,39,0.486584,40,0.52,39.40148432,77,0.452406,78,0.520174,77.70230787,38,38.30082356
1,0.5,0.05,36,0.465092,37,0.50172,36.95304139,82,0.498925,83,0.533819,82.03080759,46,45.0777662
2,0.5,0.05,33,0.488714,34,0.532105,33.26010002,72,0.474033,73,0.514316,72.64461435,39,39.38451433
3,0.5,0.05,30,0.472926,31,0.528426,30.48781982,71,0.467063,72,0.51256,71.72393784,41,41.23611802
4,0.5,0.05,31,0.485651,32,0.546256,31.23676264,73,0.477978,74,0.520082,73.52303819,42,42.28627555
5,0.5,0.05,37,0.451178,38,0.503289,37.93688473,79,0.443803,80,0.504535,79.92532767,42,41.98844294
6,0.5,0.05,33,0.479522,34,0.507535,33.73101774,74,0.452206,75,0.502148,74.95699011,41,41.22597237
7,0.5,0.05,34,0.473002,35,0.50052,34.98110328,77,0.489858,78,0.525918,77.28125347,43,42.30015019
8,0.5,0.05,31,0.478309,32,0.507135,31.7524804,71,0.47069,72,0.517796,71.62221373,40,39.86973333
9,0.5,0.05,31,0.461755,32,0.521382,31.64140406,74,0.472669,75,0.508897,74.75441647,43,43.11301241
10,0.5,0.05,35,0.471338,36,0.50443,35.86613079,76,0.465998,77,0.51278,76.72681801,41,40.86068722
11,0.5,0.05,35,0.498382,36,0.526427,35.05769299,73,0.464758,74,0.533824,73.51026554,38,38.45257255
12,0.5,0.05,34,0.479299,35,0.512588,34.62185707,75,0.47062,76,0.511918,75.7114146,41,41.08955753
13,0.5,0.05,37,0.477674,38,0.520087,37.52639521,77,0.484492,78,0.516411,77.48585482,40,39.95945961
14,0.5,0.05,38,0.479144,39,0.524468,38.46015356,76,0.485789,77,0.545748,76.23701196,38,37.7768584
15,0.5,0.05,31,0.46178,32,0.515215,31.71526153,74,0.481618,75,0.519523,74.48494922,43,42.76968768
16,0.5,0.05,32,0.477273,33,0.513691,32.62405953,71,0.485744,72,0.518447,71.43592331,39,38.81186378
17,0.5,0.05,42,0.474186,43,0.516595,42.60869155,82,0.497792,83,0.535437,82.05865321,40,39.44996166
18,0.5,0.05,39,0.494456,40,0.535714,39.13437394,76,0.464325,77,0.511944,76.74917575,37,37.61480181
19,0.5,0.05,33,0.48102,34,0.520833,33.47672871,74,0.476141,75,0.521827,74.52223876,41,41.04551005
0,0.5,0.1,32,0.483871,33,0.532201,32.33372646,75,0.494111,76,0.527621,75.17573859,43,42.84201212
1,0.5,0.1,32,0.461124,33,0.507437,32.83941874,70,0.490312,71,0.532823,70.22789396,38,37.38847522
2,0.5,0.1,34,0.481564,35,0.521376,34.46307646,74,0.486744,75,0.523138,74.36423586,40,39.9011594
3,0.5,0.1,28,0.495197,29,0.535429,28.11938258,65,0.455023,66,0.505353,65.89364196,37,37.77425938
4,0.5,0.1,29,0.498299,30,0.519672,29.07958639,70,0.473341,71,0.521452,70.55411444,41,41.47452805
5,0.5,0.1,31,0.479592,32,0.50883,31.69799576,67,0.489051,68,0.530041,67.26711393,36,35.56911817
6,0.5,0.1,29,0.485844,30,0.535794,29.2834034,68,0.493562,69,0.52478,68.20622718,39,38.92282377
7,0.5,0.1,31,0.470903,32,0.501643,31.94655172,66,0.451683,67,0.507667,66.86305016,35,34.91649843
8,0.5,0.1,39,0.471676,40,0.53688,39.43439053,76,0.455338,77,0.507166,76.86173497,37,37.42734444
9,0.5,0.1,32,0.482916,33,0.514538,32.54025678,71,0.476298,72,0.503825,71.86104552,39,39.32078874
10,0.5,0.1,32,0.480319,33,0.522801,32.46327857,70,0.476348,71,0.511752,70.66806011,38,38.20478154
11,0.5,0.1,32,0.494505,33,0.526344,32.17258708,69,0.464567,70,0.523243,69.60387552,37,37.43128844
12,0.5,0.1,30,0.473799,31,0.516181,30.61821056,70,0.471892,71,0.503319,70.89439017,40,40.27617961
13,0.5,0.1,41,0.483871,42,0.512658,41.56028763,77,0.479834,78,0.517108,77.54102055,36,35.98073292
