Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,7,0.816524,8,0.787339,7.566181257,27,0.824094,28,0.792153,27.75432829,20,20.18814704
1,0.5,0,7,0.804656,8,0.755827,7.095353171,26,0.814354,27,0.784137,26.47503061,19,19.37967744
2,0.5,0,7,0.806283,8,0.775681,7.205313378,28,0.806773,29,0.753564,28.1272905,21,20.92197712
3,0.5,0,7,0.810526,8,0.756701,7.195559684,28,0.80893,29,0.772545,28.24543081,21,21.04987113
4,0.5,0,7,0.805556,8,0.754777,7.109415309,24,0.808114,25,0.761458,24.17391118,17,17.06449587
5,0.5,0,8,0.80295,9,0.774731,8.104539495,27,0.843195,28,0.799585,27.99048383,19,19.88594434
6,0.5,0,8,0.82377,9,0.790541,8.715339011,32,0.823344,33,0.787657,32.65413176,24,23.93879275
7,0.5,0,6,0.86288,7,0.78608,6.81875,27,0.804391,28,0.77472,27.14798962,21,20.32923962
8,0.5,0,7,0.842553,8,0.792659,7.85286808,27,0.82999,28,0.787815,27.71108477,20,19.85821669
9,0.5,0,7,0.813953,8,0.789637,7.573819707,29,0.811302,30,0.775026,29.31155585,22,21.73773614
10,0.5,0,7,0.808008,8,0.766878,7.194699733,29,0.815654,30,0.764706,29.30725446,22,22.11255472
11,0.5,0,6,0.841734,7,0.790174,6.809425912,28,0.832669,29,0.764583,28.47981964,22,21.67039373
12,0.5,0,8,0.803093,9,0.7852,8.172860895,29,0.852767,30,0.786611,29.79761473,21,21.62475383
13,0.5,0,9,0.824612,10,0.754589,9.351484512,27,0.824597,28,0.76875,27.44043548,18,18.08895096
14,0.5,0,6,0.845411,7,0.794715,6.895751144,26,0.816916,27,0.766811,26.33761102,20,19.44185987
15,0.5,0,8,0.828629,9,0.796214,8.883202221,30,0.826042,31,0.781573,30.58562144,22,21.70241922
16,0.5,0,9,0.808577,10,0.768908,9.216214172,31,0.813736,32,0.736052,31.17681891,22,21.96060474
17,0.5,0,7,0.845015,8,0.797366,7.944720771,27,0.832221,28,0.798127,27.94506365,20,20.00034288
18,0.5,0,7,0.813953,8,0.752475,7.226959237,30,0.805835,31,0.757884,30.12168672,23,22.89472748
19,0.5,0,7,0.826411,8,0.784141,7.624816655,30,0.808468,31,0.784216,30.34916708,23,22.72435042
0,0.5,0.05,9,0.807651,10,0.77146,9.211406151,31,0.824111,32,0.785985,31.63240308,22,22.42099693
1,0.5,0.05,8,0.805291,9,0.773,8.163853705,31,0.808448,32,0.778399,31.2811408,23,23.1172871
2,0.5,0.05,7,0.827902,8,0.770642,7.487286064,31,0.805742,32,0.77868,31.21217944,24,23.72489338
3,0.5,0.05,8,0.807377,9,0.763957,8.169898664,24,0.81608,25,0.791242,24.64739512,16,16.47749646
