Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,11,0.430598,12,0.520388,11.77293685,29,0.453114,30,0.549164,29.48814159,18,17.71520474
1,0.5,0,11,0.4372,12,0.540206,11.60967322,30,0.484451,31,0.586867,30.15182198,19,18.54214876
2,0.5,0,11,0.442728,12,0.515753,11.78427936,30,0.499334,31,0.576087,30.00867719,19,18.22439783
3,0.5,0,11,0.434811,12,0.532746,11.66563537,29,0.48232,30,0.555707,29.2409146,18,17.57527923
4,0.5,0,11,0.498291,12,0.567825,11.0245779,29,0.467012,30,0.539781,29.4533249,18,18.428747
5,0.5,0,11,0.465116,12,0.583452,11.29478772,30,0.451042,31,0.544402,30.52440017,19,19.22961245
6,0.5,0,11,0.403106,12,0.50539,11.94730359,33,0.441176,34,0.509446,33.86163762,22,21.91433403
7,0.5,0,11,0.480757,12,0.572556,11.20962102,30,0.489223,31,0.582011,30.11614648,19,18.90652546
8,0.5,0,11,0.467658,12,0.547556,11.40479111,29,0.470267,30,0.558219,29.3380594,18,17.93326829
9,0.5,0,14,0.462011,15,0.538462,14.49690652,32,0.486851,33,0.534933,32.27347032,18,17.77656381
10,0.5,0,11,0.461086,12,0.51417,11.73306458,30,0.485879,31,0.556585,30.19971431,19,18.46664973
11,0.5,0,11,0.486744,12,0.594249,11.12330589,30,0.460809,31,0.513743,30.74037481,19,19.61706891
12,0.5,0,12,0.499364,13,0.591738,12.00688505,30,0.463335,31,0.557267,30.39033556,18,18.38345051
13,0.5,0,11,0.49103,12,0.573005,11.1094236,30,0.494048,31,0.562878,30.08647392,19,18.97705032
14,0.5,0,11,0.476737,12,0.572005,11.24418483,29,0.460778,30,0.546613,29.45694647,18,18.21276164
15,0.5,0,11,0.489717,12,0.5875,11.10516143,30,0.466751,31,0.561107,30.35237823,19,19.2472168
16,0.5,0,11,0.479564,12,0.582572,11.19839236,30,0.469484,31,0.565328,30.31839239,19,19.12000003
17,0.5,0,11,0.468956,12,0.532762,11.48653732,29,0.481859,30,0.567251,29.21244379,18,17.72590647
18,0.5,0,11,0.447531,12,0.546822,11.52843662,31,0.481761,32,0.586986,31.17333333,20,19.64489672
19,0.5,0,11,0.442029,12,0.530559,11.65481758,29,0.443931,30,0.521603,29.72186888,18,18.06705131
0,0.5,0.05,11,0.466311,12,0.537851,11.47091138,29,0.432718,30,0.510782,29.86188256,18,18.39097118
1,0.5,0.05,11,0.467541,12,0.569012,11.3198845,31,0.422619,32,0.52548,31.75228707,20,20.43240257
2,0.5,0.05,12,0.472005,13,0.562977,12.30773205,32,0.49473,33,0.552787,32.09077286,20,19.78304081
3,0.5,0.05,12,0.487708,13,0.585686,12.12545674,31,0.442004,32,0.541069,31.58543381,19,19.45997707
4,0.5,0.05,11,0.417976,12,0.523594,11.77661005,31,0.417289,32,0.510806,31.88444882,20,20.10783877
5,0.5,0.05,10,0.438725,11,0.519868,10.75514832,28,0.484515,29,0.576187,28.16891744,18,17.41376913
