Number,EMBRYO,GERMLINE,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0,0.5,29,0.485149,30,0.532722,29.31217287,71,0.472311,72,0.537448,71.42508866,42,42.11291579
1,0,0.5,32,0.49419,33,0.524567,32.19126313,75,0.480284,76,0.521283,75.48088978,43,43.28962665
2,0,0.5,30,0.464446,31,0.504389,30.89011842,75,0.48939,76,0.555699,75.16000845,45,44.26989003
3,0,0.5,38,0.489209,39,0.518331,38.37054461,81,0.494304,82,0.500311,81.94822707,43,43.57768246
4,0,0.5,36,0.486292,37,0.538065,36.26477121,78,0.491283,79,0.519292,78.31122139,42,42.04645018
5,0,0.5,37,0.487113,38,0.521108,37.37908516,80,0.495873,81,0.538158,80.09759962,43,42.71851446
6,0,0.5,27,0.49668,28,0.506784,27.32858274,71,0.458869,72,0.519505,71.67832641,44,44.34974367
7,0,0.5,33,0.474127,34,0.501659,33.93974284,74,0.453668,75,0.504224,74.91644909,41,40.97670624
8,0,0.5,33,0.467681,34,0.50574,33.84918153,75,0.491824,76,0.509195,75.47066951,42,41.62148797
9,0,0.5,28,0.484646,29,0.537902,28.28830554,71,0.493359,72,0.515719,71.29700358,43,43.00869803
10,0,0.5,36,0.461434,37,0.51462,36.72511563,83,0.480282,84,0.505119,83.7938962,47,47.06878057
11,0,0.5,30,0.470135,31,0.510719,30.73588114,73,0.462046,74,0.510787,73.77868735,43,43.04280621
12,0,0.5,32,0.484765,33,0.524406,32.38432431,77,0.479726,78,0.521825,77.48157913,45,45.09725482
13,0,0.5,29,0.487294,30,0.516529,29.43461604,74,0.449183,75,0.518543,74.73265571,45,45.29803967
14,0,0.5,36,0.487952,37,0.52251,36.34863129,74,0.48,75,0.512226,74.62061689,38,38.27198561
15,0,0.5,33,0.490132,34,0.524161,33.28998795,76,0.488554,77,0.539297,76.22556806,43,42.93558011
16,0,0.5,27,0.462491,28,0.506629,27.84981195,71,0.470227,72,0.527087,71.52361942,44,43.67380746
17,0,0.5,30,0.481336,31,0.52332,30.4445503,73,0.489046,74,0.502265,73.82865572,43,43.38410542
18,0,0.5,36,0.487214,37,0.529338,36.30353243,79,0.48162,80,0.51146,79.61595174,43,43.31241931
19,0,0.5,31,0.494943,32,0.511628,31.3030866,74,0.498626,75,0.555267,74.02425805,43,42.72117144
0,0,0.55,32,0.494382,33,0.507287,32.43533514,74,0.482462,75,0.530897,74.36209353,42,41.92675839
1,0,0.55,29,0.485625,30,0.524205,29.37260238,70,0.461379,71,0.501958,70.95174844,41,41.57914606
2,0,0.55,33,0.429577,34,0.5,34,75,0.483322,76,0.517976,75.481272,42,41.481272
3,0,0.55,38,0.477039,39,0.525362,38.47515676,74,0.489859,75,0.526316,74.27816332,36,35.80300656
4,0,0.55,32,0.497161,33,0.536251,32.07262727,72,0.491857,73,0.534038,72.193049,40,40.12042173
5,0,0.55,25,0.495636,26,0.536369,25.10713672,62,0.451634,63,0.500306,62.99371302,37,37.8865763
6,0,0.55,33,0.473684,34,0.507958,33.76781234,76,0.489046,77,0.53129,76.2593031,43,42.49149076
7,0,0.55,28,0.458722,29,0.502807,28.93632755,70,0.499685,71,0.53851,70.00811333,42,41.07178578
8,0,0.55,30,0.489032,31,0.517197,30.38941949,71,0.461308,72,0.508674,71.81687286,41,41.42745337
9,0,0.55,28,0.496573,29,0.508186,28.29510032,68,0.469166,69,0.51418,68.68498689,40,40.38988657
10,0,0.55,30,0.461288,31,0.518874,30.67224673,71,0.476129,72,0.548826,71.32836293,41,40.6561162
11,0,0.55,29,0.478348,30,0.526348,29.45108333,69,0.478454,70,0.506805,69.75997319,40,40.30888986
12,0,0.55,31,0.473232,32,0.510204,31.72400736,76,0.491472,77,0.540842,76.17273648,45,44.44872912
13,0,0.55,32,0.489861,33,0.533289,32.23346689,73,0.478146,74,0.509397,73.69930562,41,41.46583873
14,0,0.55,36,0.46224,37,0.510554,36.781554,77,0.477992,78,0.5013,77.94422516,41,41.16267116
15,0,0.55,31,0.475602,32,0.52332,31.51129553,73,0.495343,74,0.530848,73.13116462,42,41.6198691
16,0,0.55,27,0.492094,28,0.533949,27.18889022,67,0.496886,68,0.529986,67.09407855,40,39.90518833
17,0,0.55,30,0.497136,31,0.535404,30.0748406,71,0.484296,72,0.50691,71.69443707,41,41.61959648
18,0,0.55,29,0.490108,30,0.546272,29.17612706,66,0.47203,67,0.506633,66.80831142,37,37.63218436
19,0,0.55,30,0.48603,31,0.530233,30.3160419,71,0.498127,72,0.534351,71.05170605,41,40.73566415
0,0,0.6,29,0.47613,30,0.51294,29.64846509,69,0.472715,70,0.536062,69.43072284,40,39.78225775
1,0,0.6,25,0.476131,26,0.51346,25.63942243,68,0.484154,69,0.51436,68.52459776,43,42.88517533
2,0,0.6,28,0.443292,29,0.511456,28.83193475,69,0.45449,70,0.530013,69.60259788,41,40.77066314
3,0,0.6,35,0.49262,36,0.536241,35.16918457,75,0.496468,76,0.52054,75.14672649,40,39.97754192
4,0,0.6,26,0.455705,27,0.513303,26.76903712,68,0.484907,69,0.504551,68.76832621,42,41.99928909
5,0,0.6,25,0.495553,26,0.532238,25.12122121,67,0.484981,68,0.53009,67.33294908,42,42.21172787
6,0,0.6,31,0.497862,32,0.546951,31.04355355,68,0.488804,69,0.54481,68.19990715,37,37.15635361
7,0,0.6,27,0.459596,28,0.516399,27.71130046,67,0.484325,68,0.52109,67.42635659,40,39.71505613
8,0,0.6,27,0.483574,28,0.525446,27.39229079,67,0.493573,68,0.522617,67.22128495,40,39.82899416
9,0,0.6,26,0.493324,27,0.533291,26.16703781,65,0.459635,66,0.500687,65.98326513,39,39.81622732
10,0,0.6,29,0.464103,30,0.50993,29.78331551,69,0.483714,70,0.518072,69.47400896,40,39.69069345
11,0,0.6,31,0.473046,32,0.511549,31.70004935,72,0.49711,73,0.53012,72.08754923,41,40.38749988
12,0,0.6,29,0.495935,30,0.545687,29.08170526,66,0.442231,67,0.502448,66.95934703,37,37.87764177
13,0,0.6,29,0.481747,30,0.503891,29.82428649,71,0.472436,72,0.519763,71.58241596,42,41.75812947
14,0,0.6,31,0.4803,32,0.545981,31.29993453,68,0.485155,69,0.529898,68.33178374,37,37.03184921
15,0,0.6,26,0.49967,27,0.550716,26.00646476,65,0.478233,66,0.541796,65.34244765,39,39.33598289
16,0,0.6,28,0.485625,29,0.515897,28.47486126,68,0.472372,69,0.526654,68.50897167,40,40.03411041
17,0,0.6,26,0.490258,27,0.504939,26.66357878,70,0.489809,71,0.530372,70.25123881,44,43.58766004
18,0,0.6,29,0.465323,30,0.528178,29.55169835,67,0.454068,68,0.521571,67.68044383,38,38.12874548
19,0,0.6,29,0.488757,30,0.569106,29.13992707,69,0.494908,70,0.524064,69.17464673,40,40.03471966
0,0,0.65,28,0.496611,29,0.548635,28.06514301,68,0.445013,69,0.518468,68.74858076,40,40.68343775
1,0,0.65,27,0.497825,28,0.52082,27.09458578,66,0.499055,67,0.519589,66.04602123,39,38.95143545
2,0,0.65,23,0.460254,24,0.526852,23.59680471,65,0.484436,66,0.516868,65.4798964,42,41.88309169
3,0,0.65,26,0.495856,27,0.524432,26.1450168,65,0.446688,66,0.501544,65.97185358,39,39.82683678
4,0,0.65,25,0.468596,26,0.513158,25.704726,64,0.473401,65,0.500646,64.97628923,39,39.27156323
5,0,0.65,25,0.495262,26,0.532874,25.12597043,64,0.468579,65,0.502046,64.93886515,39,39.81289472
6,0,0.65,28,0.463887,29,0.508259,28.81386911,65,0.451479,66,0.531439,65.60681591,37,36.7929468
7,0,0.65,28,0.490921,29,0.51355,28.40121084,67,0.445404,68,0.508505,67.86521608,39,39.46400525
8,0,0.65,23,0.436353,24,0.5,24,65,0.491439,66,0.549693,65.14695987,42,41.14695987
9,0,0.65,29,0.488281,30,0.539673,29.2280316,68,0.475096,69,0.519704,68.55828551,39,39.33025391
10,0,0.65,25,0.47004,26,0.527671,25.5198591,64,0.479462,65,0.514736,64.58224188,39,39.06238277
11,0,0.65,26,0.489968,27,0.535012,26.22271557,65,0.463001,66,0.500328,65.9912128,39,39.76849723
12,0,0.65,24,0.475153,25,0.513303,24.65129751,63,0.456218,64,0.5182,63.70636636,39,39.05506885
13,0,0.65,28,0.481852,29,0.525351,28.41720499,69,0.499006,70,0.541221,69.02354613,41,40.60634114
14,0,0.65,29,0.482019,30,0.528192,29.38942672,67,0.490711,68,0.53012,67.23570758,38,37.84628086
15,0,0.65,26,0.471279,27,0.523139,26.55381797,66,0.470231,67,0.521352,66.58232429,40,40.02850632
16,0,0.65,25,0.47136,26,0.530945,25.48065788,65,0.48297,66,0.549351,65.25654931,40,39.77589143
17,0,0.65,27,0.445298,28,0.504811,27.91916052,67,0.49872,68,0.550971,67.02449714,40,39.10533662
18,0,0.65,24,0.482906,25,0.51545,24.52525811,64,0.491846,65,0.527426,64.22917369,40,39.70391558
19,0,0.65,28,0.482781,29,0.526854,28.39069271,69,0.462246,70,0.506815,69.84709103,41,41.45639831
0,0,0.7,25,0.488801,26,0.551519,25.17856118,63,0.495031,64,0.553874,63.08444505,38,37.90588387
1,0,0.7,23,0.443754,24,0.500321,23.99432531,63,0.472057,64,0.531429,63.47064273,40,39.47631741
2,0,0.7,22,0.492662,23,0.510611,22.408825,60,0.477471,61,0.517049,60.56923038,38,38.16040538
3,0,0.7,24,0.449303,25,0.505689,24.89910616,63,0.476895,64,0.541754,63.35623429,39,38.45712813
4,0,0.7,23,0.483871,24,0.527103,23.37308013,61,0.467564,62,0.51145,61.73909675,38,38.36601662
5,0,0.7,24,0.462476,25,0.533739,24.52655656,64,0.466331,65,0.515935,64.67875575,40,40.15219919
6,0,0.7,28,0.446223,29,0.523619,28.69482919,67,0.494541,68,0.541154,67.11711325,39,38.42228406
7,0,0.7,23,0.478697,24,0.518964,23.52904363,62,0.476471,63,0.509966,62.70246305,39,39.17341942
8,0,0.7,24,0.492949,25,0.528145,24.20033527,63,0.49508,64,0.546351,63.09596068,39,38.89562541
9,0,0.7,22,0.453691,23,0.514395,22.76286571,62,0.485915,63,0.536445,62.2787453,40,39.51587959
10,0,0.7,23,0.465847,24,0.538158,23.47230712,60,0.497449,61,0.528654,60.08174972,37,36.6094426
11,0,0.7,26,0.48236,27,0.522613,26.43822821,65,0.499681,66,0.527641,65.01140916,39,38.57318095
12,0,0.7,23,0.44953,24,0.501631,23.96869542,62,0.477036,63,0.540407,62.36237396,39,38.39367854
13,0,0.7,21,0.480271,22,0.519405,21.50413962,59,0.4753,60,0.502875,59.89573889,38,38.39159927
14,0,0.7,25,0.484517,26,0.526349,25.37012335,63,0.461881,64,0.524089,63.61276685,38,38.2426435
15,0,0.7,25,0.46684,26,0.515549,25.68077768,64,0.491677,65,0.522099,64.27358491,39,38.59280723
16,0,0.7,25,0.459569,26,0.515152,25.72739867,64,0.494404,65,0.540741,64.12076742,39,38.39336876
17,0,0.7,26,0.494645,27,0.539644,26.11900264,65,0.495935,66,0.536883,65.09927225,39,38.9802696
18,0,0.7,21,0.473139,22,0.520388,21.5684988,59,0.476038,60,0.517735,59.57466964,38,38.00617084
19,0,0.7,24,0.492032,25,0.540541,24.16425818,62,0.474853,63,0.53851,62.39503904,38,38.23078086
0,0,0.75,23,0.446679,24,0.505875,23.90075343,61,0.448015,62,0.524528,61.67942703,38,37.7786736
1,0,0.75,23,0.498323,24,0.538462,23.04177982,65,0.488386,66,0.536571,65.24102937,42,42.19924955
2,0,0.75,23,0.48505,24,0.532526,23.31489595,62,0.49461,63,0.533514,62.13854616,39,38.82365022
3,0,0.75,22,0.470246,23,0.534576,22.46252137,60,0.480173,61,0.572993,60.21360698,38,37.75108561
4,0,0.75,24,0.483627,25,0.526152,24.38502058,59,0.484752,60,0.537918,59.28679983,35,34.90177926
5,0,0.75,21,0.480535,22,0.510283,21.6543297,56,0.468387,57,0.553217,56.37266297,35,34.71833327
6,0,0.75,23,0.490765,24,0.545569,23.1685096,60,0.48851,61,0.564735,60.15073795,37,36.98222835
7,0,0.75,24,0.476375,25,0.54191,24.36049439,59,0.489758,60,0.511628,59.46831276,35,35.10781836
8,0,0.75,23,0.498212,24,0.55597,23.03095675,57,0.455721,58,0.522667,57.66141368,34,34.63045693
9,0,0.75,20,0.47878,21,0.540631,20.34308257,59,0.484868,60,0.531726,59.32293312,39,38.97985055
10,0,0.75,23,0.471366,24,0.522293,23.56225578,60,0.476864,61,0.527648,60.45557656,37,36.89332078
11,0,0.75,25,0.477951,26,0.504294,25.83699655,61,0.433705,62,0.504831,61.93207828,36,36.09508174
12,0,0.75,21,0.47199,22,0.522552,21.55397334,57,0.441845,58,0.501314,57.97790445,36,36.42393111
13,0,0.75,24,0.472062,25,0.522215,24.55705541,65,0.49872,66,0.558877,65.02127766,41,40.46422225
14,0,0.75,21,0.480355,22,0.50031,21.98446505,58,0.473577,59,0.523494,58.5293387,37,36.54487366
15,0,0.75,23,0.451992,24,0.501512,23.96946688,64,0.462264,65,0.507109,64.8414762,41,40.87200931
16,0,0.75,25,0.47903,26,0.532816,25.38987841,62,0.49537,63,0.538816,62.10656907,37,36.71669067
17,0,0.75,24,0.499003,25,0.546561,24.02096388,61,0.496384,62,0.529259,61.1099924,37,37.08902852
18,0,0.75,23,0.488829,24,0.531483,23.26189806,61,0.428929,62,0.507989,61.89895016,38,38.6370521
19,0,0.75,23,0.452063,24,0.502251,23.95514864,61,0.483213,62,0.54,61.29561343,38,37.34046479
0,0,0.8,21,0.444862,22,0.51201,21.82114136,56,0.451635,57,0.503577,56.93113473,35,35.10999337
1,0,0.8,22,0.450522,23,0.506344,22.88635305,59,0.483643,60,0.553025,59.23575279,37,36.34939974
2,0,0.8,20,0.478814,21,0.53726,20.36248845,55,0.498099,56,0.543803,55.04159373,35,34.67910528
