Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens,
0,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
4,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
8,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
12,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
15,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
1,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
2,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
3,2,0.85,297,0.450764,298,0.504596,297.9146233,0,0,0,0,300,300,300,
4,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
5,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
6,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
7,2,0.85,150,0.485602,151,0.505,150.7422415,0,0,0,0,300,300,300,
8,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
9,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
10,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
11,2,0.85,245,0.487179,246,0.509615,245.5714477,0,0,0,0,300,300,300,
12,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
13,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
14,2,0.85,101,0.493398,102,0.503038,101.6848548,0,0,0,0,300,300,300,
15,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
16,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
17,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
18,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
19,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300,
0,2,0.9,31,0.492869,32,0.512195,31.36898479,260,0.455932,261,0.509178,260.8276302,229,229.4586455,
1,2,0.9,38,0.498619,39,0.506983,38.16511239,249,0.492289,250,0.508868,249.4651065,211,211.2999941,
2,2,0.9,40,0.480033,41,0.50039,40.98084197,268,0.475279,269,0.502796,268.8983901,228,227.9175481,
3,2,0.9,32,0.491208,33,0.511789,32.42719013,228,0.490605,229,0.50207,228.8194505,196,196.3922604,
4,2,0.9,36,0.499187,37,0.521061,36.03716741,246,0.475917,247,0.51398,246.6327142,210,210.5955468,
5,2,0.9,41,0.49,42,0.519393,41.34021706,290,0.470065,291,0.503205,290.9032891,249,249.563072,
6,2,0.9,46,0.499167,47,0.528815,46.02809633,0,0,0,0,300,300,300,
7,2,0.9,44,0.485974,45,0.522801,44.38086187,268,0.468145,269,0.500781,268.9760694,224,224.5952075,
8,2,0.9,32,0.469492,33,0.512063,32.71663809,288,0.478485,289,0.501531,288.9335676,256,256.2169296,
9,2,0.9,46,0.452614,47,0.502846,46.94334289,266,0.487369,267,0.502508,266.8343352,220,219.8909923,
10,2,0.9,46,0.453036,47,0.504885,46.9057841,278,0.499567,279,0.544935,278.0095442,232,231.1037601,
11,2,0.9,38,0.430959,39,0.507365,38.90360705,266,0.496564,267,0.528846,266.106437,228,227.20283,
12,2,0.9,56,0.495567,57,0.511707,56.27465923,256,0.46519,257,0.508157,256.8101566,200,200.5354974,
13,2,0.9,38,0.494113,39,0.542797,38.12092269,286,0.467185,287,0.504047,286.8902121,248,248.7692895,
14,2,0.9,43,0.499599,44,0.508744,43.0438491,260,0.499242,261,0.517857,260.0407198,217,216.9968708,
15,2,0.9,32,0.474541,33,0.512023,32.6792327,257,0.49211,258,0.517857,257.3064435,225,224.6272108,
16,2,0.9,42,0.475133,43,0.525084,42.49782787,255,0.479545,256,0.500874,255.9590229,213,213.4611951,
17,2,0.9,41,0.485375,42,0.506098,41.70573759,246,0.467206,247,0.503606,246.9009341,205,205.1951965,
18,2,0.9,31,0.482796,32,0.505217,31.76731636,266,0.497699,267,0.506814,266.252441,235,234.4851247,
19,2,0.9,44,0.48532,45,0.520433,44.41807877,272,0.485863,273,0.517941,272.440707,228,228.0226283,
0,2,0.95,22,0.49814,23,0.518533,22.09120777,160,0.489781,161,0.511628,160.467753,138,138.3765452,
1,2,0.95,24,0.475087,25,0.526552,24.48407656,149,0.46273,150,0.508065,149.8221021,125,125.3380256,
2,2,0.95,25,0.4933,26,0.522593,25.22872359,140,0.451788,141,0.502443,140.9517718,115,115.7230482,
3,2,0.95,18,0.491167,19,0.514275,18.38224857,135,0.469863,136,0.5,136,117,117.6177514,
4,2,0.95,19,0.466331,20,0.508929,19.79038922,148,0.490809,149,0.5168,148.3536224,129,128.5632332,
5,2,0.95,19,0.471273,20,0.516051,19.64154272,138,0.495384,139,0.53125,138.1287013,119,118.4871586,
6,2,0.95,18,0.476923,19,0.5144,18.61576434,140,0.486911,141,0.505302,140.7117068,122,122.0959425,
7,2,0.95,24,0.454475,25,0.51224,24.78810699,141,0.497623,142,0.516641,141.1249869,117,116.3368799,
8,2,0.95,21,0.471094,22,0.5,22,142,0.471125,143,0.512987,142.6897664,121,120.6897664,
9,2,0.95,20,0.458709,21,0.502315,20.94691098,138,0.494272,139,0.540842,138.1229976,118,117.1760867,
10,2,0.95,19,0.472297,20,0.500683,19.97593884,140,0.487644,141,0.525528,140.3261535,121,120.3502147,
11,2,0.95,17,0.473214,18,0.504421,17.85833307,143,0.465941,144,0.508754,143.7955294,126,125.9371963,
12,2,0.95,26,0.480986,27,0.51329,26.58859584,149,0.49686,150,0.510985,149.2223009,123,122.633705,
13,2,0.95,23,0.481811,24,0.507991,23.694767,147,0.472727,148,0.510031,147.7311012,124,124.0363342,
14,2,0.95,23,0.463846,24,0.505642,23.86501101,137,0.466995,138,0.524858,137.570399,114,113.705388,
15,2,0.95,23,0.492006,24,0.503846,23.67516892,142,0.460218,143,0.507143,142.8477784,119,119.1726095,
16,2,0.95,23,0.489035,24,0.523077,23.32210211,138,0.481846,139,0.533668,138.3503145,115,115.0282124,
17,2,0.95,19,0.49298,20,0.53178,19.18092784,133,0.476135,134,0.502899,133.8916829,114,114.710755,
18,2,0.95,22,0.483594,23,0.514914,22.52381865,129,0.487351,130,0.518957,129.4002088,107,106.8763902,
19,2,0.95,28,0.48232,29,0.51215,28.59269192,143,0.465385,144,0.501234,143.9655778,115,115.3728859,
0,2,1,15,0.481698,16,0.510045,15.64564151,95,0.479472,96,0.530208,95.40460423,80,79.75896271,
1,2,1,18,0.468558,19,0.508752,18.78225606,104,0.437316,105,0.503968,104.9404669,86,86.15821084,
2,2,1,16,0.468563,17,0.518817,16.62556214,101,0.475795,102,0.500342,101.9860675,85,85.3605054,
3,2,1,15,0.472142,16,0.502518,15.91710561,99,0.48613,100,0.522367,99.38275795,84,83.46565234,
4,2,1,11,0.440476,12,0.504754,11.92604001,94,0.497596,95,0.502078,94.53636769,83,82.61032768,
5,2,1,13,0.484779,14,0.501806,13.89393316,97,0.466216,98,0.516129,97.67685773,84,83.78292457,
6,2,1,16,0.487539,17,0.537563,16.24910043,97,0.463235,98,0.524771,97.59745515,81,81.34835472,
7,2,1,17,0.481716,18,0.5317,17.36579706,100,0.487018,101,0.503419,100.7915371,83,83.42574005,
8,2,1,13,0.470472,14,0.50036,13.98795503,92,0.492994,93,0.525698,92.21422456,79,78.22626953,
9,2,1,15,0.48928,16,0.518133,15.37153849,98,0.476244,99,0.510885,98.68577697,83,83.31423848,
10,2,1,16,0.478921,17,0.5181,16.53801782,90,0.489505,91,0.544643,90.1903406,74,73.65232278,
11,2,1,13,0.494792,14,0.515557,13.25080665,93,0.488192,94,0.523507,93.33436217,80,80.08355552,
12,2,1,15,0.492678,16,0.547833,15.13275315,95,0.490357,96,0.550275,95.16093661,80,80.02818346,
13,2,1,13,0.469551,14,0.52406,13.558605,91,0.454387,92,0.530314,91.60074809,78,78.04214309,
14,2,1,16,0.482618,17,0.528458,16.37918848,97,0.4761,98,0.538872,97.38074301,81,81.00155452,
15,2,1,15,0.464666,16,0.50884,15.79988228,96,0.473943,97,0.516901,96.60656921,81,80.80668692,
16,2,1,16,0.486169,17,0.530112,16.31474865,98,0.451003,99,0.509954,98.8311479,82,82.51639925,
17,2,1,14,0.461722,15,0.503241,14.92193935,90,0.479656,91,0.525641,90.44240513,76,75.52046578,
18,2,1,18,0.482872,19,0.520191,18.45896192,102,0.462868,103,0.503205,102.9205444,84,84.46158249,
19,2,1,13,0.477909,14,0.508683,13.71784623,98,0.46112,99,0.522177,98.63678202,85,84.91893579,
0,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300,
0,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300,
0,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300,
0,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
1,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
2,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
3,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
4,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
5,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
6,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
7,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
8,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
9,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
10,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
11,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
12,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
13,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
14,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
15,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
16,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
17,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
18,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
19,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300,
