Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.85,51,0.477106,52,0.502757,51.89251881,203,0.458333,204,0.51245,203.7699429,152,151.8774241
1,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.85,71,0.485493,72,0.531885,71.31270478,197,0.471253,198,0.504573,197.8627551,126,126.5500503
8,2,0.85,93,0.479667,94,0.519052,93.51626254,234,0.427062,235,0.503074,234.959559,141,141.4432965
9,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.85,53,0.48523,54,0.542254,53.25901375,194,0.441054,195,0.505,194.921809,141,141.6627953
17,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.85,62,0.491219,63,0.523882,62.2688363,198,0.480455,199,0.537306,198.3437934,136,136.0749571
19,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.9,41,0.484346,42,0.511842,41.56931917,133,0.483932,134,0.514519,133.5253212,92,91.95600204
1,2,0.9,40,0.476931,41,0.515107,40.60428018,134,0.47714,135,0.53621,134.3869985,94,93.7827183
2,2,0.9,34,0.498668,35,0.504876,34.21456186,126,0.485687,127,0.503136,126.8202762,92,92.60571438
3,2,0.9,35,0.472275,36,0.528626,35.49200547,126,0.461538,127,0.508602,126.8172276,91,91.32522214
4,2,0.9,37,0.47103,38,0.506155,37.82476868,124,0.443925,125,0.508232,124.8719891,87,87.04722037
5,2,0.9,40,0.47056,41,0.514912,40.66378066,124,0.477642,125,0.532922,124.4044501,84,83.74066941
6,2,0.9,36,0.489714,37,0.528438,36.26562339,119,0.496416,120,0.522242,119.1387749,83,82.87315149
7,2,0.9,39,0.494992,40,0.520189,39.19875382,129,0.48423,130,0.511811,129.5717704,90,90.3730166
8,2,0.9,39,0.489324,40,0.538127,39.21875704,129,0.499136,130,0.525257,129.0330768,90,89.81431979
9,2,0.9,37,0.440519,38,0.515653,37.79166556,123,0.468591,124,0.518037,123.6352182,86,85.84355266
10,2,0.9,47,0.439488,48,0.50903,47.87015041,130,0.482208,131,0.533703,130.3455093,83,82.47535886
11,2,0.9,39,0.495336,40,0.520059,39.18865024,132,0.47179,133,0.5,133,93,93.81134976
12,2,0.9,37,0.487383,38,0.53604,37.25930493,128,0.496654,129,0.514014,128.1927419,91,90.93343701
13,2,0.9,39,0.480736,40,0.509785,39.66315536,131,0.476714,132,0.522936,131.5037861,92,91.84063072
14,2,0.9,36,0.473464,37,0.53321,36.44414689,125,0.455674,126,0.504783,125.9026044,89,89.45845752
15,2,0.9,40,0.47488,41,0.50307,40.89109613,136,0.480531,137,0.510589,136.6477144,96,95.75661829
16,2,0.9,37,0.45106,38,0.511745,37.80645959,122,0.487323,123,0.516204,122.4389391,85,84.63247951
17,2,0.9,41,0.480737,42,0.5026,41.88107762,129,0.472886,130,0.54792,129.3613562,88,87.48027857
18,2,0.9,36,0.461572,37,0.519581,36.66244893,134,0.481178,135,0.501369,134.9321975,98,98.26974858
19,2,0.9,41,0.480545,42,0.510268,41.65454362,126,0.483243,127,0.542429,126.2831244,85,84.62858077
0,2,0.95,25,0.46875,26,0.504488,25.87441939,84,0.443352,85,0.505291,84.91457725,59,59.04015786
1,2,0.95,30,0.44646,31,0.503994,30.93058018,94,0.451087,95,0.515459,94.759849,64,63.82926882
2,2,0.95,29,0.463362,30,0.508972,29.80328875,93,0.454044,94,0.506919,93.86914421,64,64.06585546
3,2,0.95,26,0.482205,27,0.538732,26.31480531,91,0.48817,92,0.517433,91.40426477,65,65.08945946
4,2,0.95,24,0.481498,25,0.514787,24.55579921,92,0.46201,93,0.506055,92.86252696,68,68.30672775
5,2,0.95,25,0.434783,26,0.508726,25.88199018,90,0.494872,91,0.510399,90.33026341,65,64.44827323
6,2,0.95,26,0.426903,27,0.504098,26.94691366,94,0.449257,95,0.546754,94.52045704,68,67.57354338
7,2,0.95,27,0.478426,28,0.552398,27.29165089,90,0.485945,91,0.561958,90.18490258,63,62.89325169
8,2,0.95,30,0.459821,31,0.500867,30.97887736,96,0.49322,97,0.521016,96.24391999,66,65.26504263
9,2,0.95,29,0.461169,30,0.527051,29.58940226,97,0.469136,98,0.504561,97.87124912,68,68.28184685
10,2,0.95,28,0.440738,29,0.503505,28.94415855,93,0.491071,94,0.537951,93.19046502,65,64.24630646
11,2,0.95,30,0.485269,31,0.540381,30.26729206,99,0.486111,100,0.554899,99.20191022,69,68.93461816
12,2,0.95,28,0.464228,29,0.510526,28.77264677,91,0.456923,92,0.513962,91.75522011,63,62.98257335
13,2,0.95,28,0.463861,29,0.508868,28.80296398,95,0.470861,96,0.521215,95.57868292,67,66.77571894
14,2,0.95,24,0.440299,25,0.5,25,87,0.468804,88,0.511804,87.72548837,63,62.72548837
15,2,0.95,27,0.455911,28,0.513889,27.76044362,91,0.454152,92,0.510733,91.81030735,64,64.04986373
16,2,0.95,27,0.476549,28,0.537688,27.38356859,89,0.428511,90,0.503054,89.95903036,62,62.57546177
17,2,0.95,28,0.461464,29,0.512733,28.75164329,99,0.464401,100,0.532929,99.51948109,71,70.76783779
18,2,0.95,29,0.495514,30,0.538786,29.10366981,94,0.473104,95,0.521401,94.55688759,65,65.45321778
19,2,0.95,24,0.487159,25,0.535131,24.26767698,86,0.478799,87,0.523113,86.47842668,62,62.2107497
0,2,1,22,0.469559,23,0.533333,22.47732618,78,0.484628,79,0.537037,78.2933084,56,55.81598222
1,2,1,21,0.49681,22,0.521277,21.1303797,73,0.454683,74,0.500387,73.99153247,52,52.86115277
2,2,1,23,0.478151,24,0.507864,23.7353347,80,0.458397,81,0.533961,80.55056641,57,56.81523171
3,2,1,21,0.434668,22,0.509132,21.87736356,77,0.477412,78,0.551437,77.30514016,56,55.4277766
4,2,1,23,0.453993,24,0.514778,23.75688081,75,0.475765,76,0.518881,75.56208832,52,51.80520751
5,2,1,21,0.491935,22,0.560732,21.11722895,77,0.497304,78,0.557508,77.04478108,56,55.92755213
6,2,1,22,0.497475,23,0.555723,22.04334913,74,0.478078,75,0.542996,74.33768754,52,52.29433842
7,2,1,20,0.46819,21,0.530564,20.50998814,76,0.476,77,0.531722,76.43070959,56,55.92072146
8,2,1,23,0.475389,24,0.516156,23.60369907,77,0.468142,78,0.519649,77.61851787,54,54.0148188
9,2,1,22,0.471292,23,0.536753,22.4385512,76,0.481804,77,0.534058,76.34822215,54,53.90967095
10,2,1,21,0.489168,22,0.541728,21.20608828,76,0.447368,77,0.52125,76.7123792,55,55.50629092
11,2,1,21,0.449778,22,0.527294,21.64789205,72,0.428402,73,0.507528,72.9048606,51,51.25696855
12,2,1,21,0.484043,22,0.539384,21.28833957,71,0.455075,72,0.518037,71.71352562,50,50.42518605
13,2,1,22,0.44373,23,0.51145,22.83092144,72,0.484702,73,0.548921,72.2382161,50,49.40729466
14,2,1,21,0.482017,22,0.509509,21.65411756,71,0.45684,72,0.515758,71.73254354,50,50.07842597
15,2,1,22,0.48328,23,0.546042,22.26640324,70,0.46148,71,0.510204,70.79057549,48,48.52417225
16,2,1,24,0.446784,25,0.50408,24.92879084,80,0.461262,81,0.501206,80.96980773,56,56.04101689
17,2,1,21,0.47973,22,0.534832,21.36786324,73,0.494147,74,0.530573,73.16068193,52,51.7928187
18,2,1,20,0.475078,21,0.530441,20.45015624,70,0.434699,71,0.5,71,50,50.54984376
19,2,1,21,0.457168,22,0.510833,21.79813659,81,0.495017,82,0.531097,81.13810976,60,59.33997317
0,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
