Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.5,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.55,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.6,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.65,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.7,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.75,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
7,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
15,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
18,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
19,2,0.8,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
1,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
2,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
3,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
4,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
5,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
6,2,0.85,66,0.478693,67,0.510476,66.67038983,200,0.493482,201,0.51184,200.3550496,134,133.6846597
7,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
9,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
10,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
11,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
12,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
13,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
14,2,0.85,72,0.482546,73,0.522822,72.43335982,191,0.458911,192,0.516544,191.7129422,119,119.2795824
15,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
16,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
17,2,0.85,79,0.484794,80,0.501412,79.91503189,206,0.493007,207,0.53882,206.1526423,127,126.2376104
18,2,0.85,69,0.464905,70,0.516436,69.68104636,183,0.495209,184,0.552083,183.0842388,114,113.4031925
19,2,0.85,0,0,0,0,300,0,0,0,0,300,300,300
0,2,0.9,41,0.464539,42,0.512736,41.73575119,130,0.485714,131,0.557224,130.1997763,89,88.46402507
1,2,0.9,50,0.489895,51,0.529181,50.25721631,138,0.496114,139,0.539286,138.090012,88,87.83279573
2,2,0.9,42,0.499033,43,0.530405,42.03082366,127,0.499115,128,0.553604,127.0162418,85,84.98541815
3,2,0.9,43,0.483902,44,0.534354,43.31907556,128,0.476375,129,0.518773,128.5572197,85,85.23814412
4,2,0.9,39,0.496622,40,0.543537,39.07200256,128,0.493691,129,0.500432,128.9359146,89,89.86391199
5,2,0.9,42,0.495939,43,0.500424,42.90546265,125,0.458259,126,0.503876,125.9150317,83,83.00956902
6,2,0.9,41,0.496479,42,0.507401,41.32237685,125,0.44941,126,0.510958,125.8219601,84,84.49958324
7,2,0.9,0,0,0,0,300,0,0,0,0,300,300,300
8,2,0.9,38,0.497517,39,0.541667,38.05624009,117,0.470665,118,0.527304,117.5179293,79,79.46168925
9,2,0.9,40,0.476331,41,0.565392,40.26576167,121,0.48677,122,0.514168,121.482882,81,81.21712029
10,2,0.9,58,0.489968,59,0.520899,58.32433481,141,0.44808,142,0.512478,141.8062362,83,83.48190141
11,2,0.9,38,0.474138,39,0.506323,38.80354202,119,0.473783,120,0.519608,119.5721113,81,80.76856927
12,2,0.9,34,0.482432,35,0.500439,34.97562059,124,0.457895,125,0.523164,124.6450995,90,89.66947892
13,2,0.9,51,0.49012,52,0.518083,51.35332404,138,0.468498,139,0.505564,138.8498894,87,87.49656535
14,2,0.9,36,0.497619,37,0.52674,36.0817623,118,0.486722,119,0.518303,118.4204427,82,82.33868037
15,2,0.9,35,0.476575,36,0.542101,35.35749168,124,0.495726,125,0.530263,124.1237513,89,88.76625966
16,2,0.9,44,0.459495,45,0.513115,44.75540843,124,0.461331,125,0.501894,124.9533072,80,80.19789877
17,2,0.9,29,0.469203,30,0.519169,29.61635912,101,0.483243,102,0.500945,101.9466162,72,72.33025708
18,2,0.9,39,0.488173,40,0.539565,39.23013309,123,0.492911,124,0.547377,123.1301546,84,83.9000215
19,2,0.9,42,0.473451,43,0.503756,42.87606006,120,0.489389,121,0.511926,120.4708258,78,77.5947657
0,2,0.95,29,0.487692,30,0.500363,29.97135191,93,0.477484,94,0.503072,93.87994372,64,63.90859182
1,2,0.95,26,0.441743,27,0.501276,26.97856651,89,0.490527,90,0.566814,89.12417581,63,62.1456093
2,2,0.95,28,0.479464,29,0.535596,28.36585192,91,0.488136,92,0.541541,91.22215148,63,62.85629956
3,2,0.95,27,0.494715,28,0.546396,27.10226195,89,0.47379,90,0.534148,89.43424235,62,62.3319804
4,2,0.95,28,0.497359,29,0.541994,28.05916881,91,0.457395,92,0.514615,91.74458231,63,63.6854135
5,2,0.95,30,0.443201,31,0.525,30.69437279,96,0.488014,97,0.549745,96.19416501,66,65.49979221
6,2,0.95,29,0.476935,30,0.520865,29.52503984,96,0.475888,97,0.526606,96.47541307,67,66.95037323
7,2,0.95,28,0.49799,29,0.510314,28.1630964,95,0.453397,96,0.515755,95.74734597,67,67.58424957
8,2,0.95,32,0.497557,33,0.524955,32.08916709,95,0.4948,96,0.545935,95.1016916,63,63.01252451
9,2,0.95,26,0.4699,27,0.52769,26.52085136,92,0.445726,93,0.507563,92.87769458,66,66.35684323
10,2,0.95,27,0.452756,28,0.507867,27.85725173,94,0.481858,95,0.541801,94.30265419,67,66.44540246
11,2,0.95,28,0.468847,29,0.541952,28.42614048,91,0.49744,92,0.537563,91.0638038,63,62.63766332
12,2,0.95,28,0.465088,29,0.502318,28.93773838,93,0.495327,94,0.544037,93.09593513,65,64.15819674
13,2,0.95,36,0.467219,37,0.512186,36.72900127,100,0.462716,101,0.500409,100.9891492,64,64.26014791
14,2,0.95,30,0.476261,31,0.525085,30.4862158,96,0.46095,97,0.505023,96.88603,66,66.3998142
15,2,0.95,27,0.486177,28,0.5,28,92,0.499161,93,0.549061,92.01681363,65,64.01681363
16,2,0.95,29,0.44802,30,0.522021,29.70242294,91,0.464227,92,0.531987,91.52793684,62,61.8255139
17,2,0.95,27,0.468693,28,0.515569,27.66786842,89,0.445833,90,0.510163,89.84201772,62,62.1741493
18,2,0.95,32,0.486975,33,0.500411,32.96941054,95,0.49681,96,0.54057,95.07289762,63,62.10348708
19,2,0.95,32,0.488596,33,0.522135,32.34002206,93,0.485429,94,0.537274,93.28104928,61,60.94102722
0,2,1,22,0.479846,23,0.515,22.57330602,71,0.496767,72,0.523256,71.12205066,49,48.54874464
1,2,1,24,0.498003,25,0.551504,24.03732641,80,0.486842,81,0.51811,80.42081361,56,56.38348721
2,2,1,23,0.438889,24,0.502488,23.96087989,77,0.441993,78,0.519497,77.74843879,54,53.7875589
3,2,1,23,0.46319,24,0.534351,23.51727772,79,0.441536,80,0.503153,79.94882906,56,56.43155133
4,2,1,24,0.465693,25,0.537736,24.47620171,75,0.462948,76,0.540562,75.4773881,51,51.00118639
5,2,1,26,0.463942,27,0.500736,26.97999674,78,0.464391,79,0.530137,78.5416147,52,51.56161796
6,2,1,22,0.464122,23,0.515306,22.70096124,74,0.475421,75,0.536932,74.39958707,52,51.69862583
7,2,1,22,0.453612,23,0.507692,22.85776627,76,0.474595,77,0.531997,76.4425804,54,53.58481413
8,2,1,26,0.486425,27,0.541859,26.24488581,81,0.456271,82,0.514274,81.75390928,55,55.50902347
9,2,1,21,0.446057,22,0.514402,21.789275,76,0.48932,77,0.538129,76.2188121,55,54.4295371
10,2,1,22,0.472808,23,0.552839,22.33976834,75,0.458269,76,0.516281,75.71935117,53,53.37958283
11,2,1,22,0.489766,23,0.566069,22.13412317,74,0.414614,75,0.525043,74.7732208,52,52.63909764
12,2,1,22,0.483259,23,0.539589,22.2971951,73,0.48876,74,0.542994,73.20725006,51,50.91005496
13,2,1,21,0.429459,22,0.505515,21.92748764,76,0.439889,77,0.503467,76.94546856,55,55.01798092
14,2,1,22,0.498802,23,0.541797,22.02786371,76,0.48381,77,0.513736,76.54100114,54,54.51313743
15,2,1,22,0.484628,23,0.524461,22.38591118,74,0.458594,75,0.514498,74.74066256,52,52.35475139
16,2,1,21,0.475,22,0.528169,21.4701988,74,0.488426,75,0.554332,74.17561375,53,52.70541495
17,2,1,23,0.483173,24,0.565385,23.20467815,77,0.490658,78,0.555351,77.14440511,54,53.93972696
18,2,1,22,0.434926,23,0.510507,22.86098358,76,0.47488,77,0.523634,76.51523978,54,53.65425619
19,2,1,22,0.455078,23,0.515354,22.74527175,80,0.476173,81,0.530682,80.43712048,58,57.69184873
0,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.5,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.55,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.6,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
7,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
8,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
9,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
10,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
11,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
12,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
13,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
14,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
15,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
16,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
17,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
18,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
19,2.5,0.65,0,0,0,0,300,0,0,0,0,300,300,300
0,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
1,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
2,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
3,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
4,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
5,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
6,2.5,0.7,0,0,0,0,300,0,0,0,0,300,300,300
