Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
1,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
2,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
3,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
4,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
5,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
6,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
7,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
8,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
9,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
10,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
11,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
12,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
13,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
14,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
15,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
16,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
17,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
18,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
19,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
0,2,0.55,20,0.804014,21,0.757353,20.08602473,52,0.852286,53,0.792899,52.88042838,32,32.79440365
1,2,0.55,19,0.810237,20,0.789412,19.49157263,52,0.818383,53,0.794601,52.77297956,33,33.28140694
2,2,0.55,14,0.809348,15,0.785891,14.39851643,62,0.803097,63,0.788889,62.21797579,48,47.81945935
3,2,0.55,12,0.828808,13,0.793946,12.82634387,46,0.804651,47,0.7943,46.44932857,34,33.6229847
4,2,0.55,20,0.806733,21,0.783439,20.28904439,50,0.818182,51,0.788416,50.61083115,30,30.32178676
5,2,0.55,13,0.802326,14,0.767025,13.06589048,45,0.84344,46,0.786268,45.7598125,32,32.69392201
6,2,0.55,20,0.801921,21,0.783293,20.10312433,51,0.820966,52,0.783051,51.55297376,31,31.44984943
7,2,0.55,24,0.848073,25,0.789838,24.82550013,55,0.831787,56,0.795343,55.87221491,31,31.04671478
8,2,0.55,21,0.812721,22,0.772941,21.31978381,61,0.829181,62,0.792299,61.79119896,40,40.47141515
9,2,0.55,14,0.805721,15,0.79575,14.57376392,51,0.805161,52,0.772406,51.15756373,37,36.58379982
10,2,0.55,19,0.818514,20,0.788827,19.62363998,45,0.809882,46,0.789773,45.49142175,26,25.86778177
11,2,0.55,18,0.800708,19,0.78496,18.04495809,57,0.813049,58,0.768369,57.29205461,39,39.24709652
12,2,0.55,18,0.812339,19,0.776913,18.34830351,55,0.811124,56,0.78563,55.43633796,37,37.08803446
13,2,0.55,14,0.809896,15,0.769036,14.24219285,53,0.833536,54,0.797484,53.93021192,39,39.68801906
14,2,0.55,18,0.806409,19,0.770305,18.17751496,47,0.84279,48,0.791872,47.84037079,29,29.66285584
15,2,0.55,15,0.819378,16,0.799031,15.95237627,58,0.819632,59,0.783354,58.54115442,43,42.58877815
16,2,0.55,21,0.813174,22,0.7733,21.33039073,55,0.815107,56,0.792067,55.65568576,34,34.32529503
17,2,0.55,14,0.802885,15,0.751263,14.05588702,51,0.808284,52,0.775148,51.25,37,37.19411298
18,2,0.55,15,0.812941,16,0.793981,15.68254219,54,0.813234,55,0.77551,54.35081115,39,38.66826896
19,2,0.55,14,0.812142,15,0.796316,14.7672185,47,0.807453,48,0.784672,47.3271586,33,32.5599401
0,2,0.6,7,0.827174,8,0.799338,7.976217847,36,0.827692,37,0.782143,36.60796066,29,28.63174281
1,2,0.6,8,0.833713,9,0.789414,8.76103298,35,0.813034,36,0.793303,35.66058487,27,26.89955189
2,2,0.6,12,0.807415,13,0.791061,12.45340589,39,0.823669,40,0.79405,39.79911543,27,27.34570954
3,2,0.6,10,0.824029,11,0.795724,10.84893128,35,0.801183,36,0.737875,35.01868642,25,24.16975514
4,2,0.6,12,0.81851,13,0.749703,12.26901333,36,0.82325,37,0.787879,36.65731814,24,24.38830481
5,2,0.6,10,0.812933,11,0.769596,10.29842859,35,0.800654,36,0.76537,35.01853531,25,24.72010672
6,2,0.6,11,0.816372,12,0.766298,11.3269561,34,0.828989,35,0.791572,34.77475479,23,23.44779869
7,2,0.6,9,0.833718,10,0.766871,9.504405583,36,0.807739,37,0.794393,36.57987412,27,27.07546854
8,2,0.6,12,0.846578,13,0.790109,12.82484195,36,0.827346,37,0.778973,36.56531536,24,23.74047341
9,2,0.6,11,0.825359,12,0.793187,11.788232,30,0.812429,31,0.750869,30.20190058,19,18.41366858
10,2,0.6,9,0.831731,10,0.780963,9.625019697,31,0.81105,32,0.763279,31.23131188,22,21.60629219
11,2,0.6,10,0.811711,11,0.767171,10.2629322,34,0.803097,35,0.787383,34.1970854,24,23.93415321
12,2,0.6,12,0.809935,13,0.794601,12.64790661,29,0.833713,30,0.787356,29.72724723,17,17.07934062
13,2,0.6,13,0.833333,14,0.789227,13.75574752,34,0.846413,35,0.788462,34.80090076,21,21.04515324
14,2,0.6,11,0.820022,12,0.795943,11.83151294,33,0.835206,34,0.777778,33.6130459,22,21.78153296
15,2,0.6,9,0.816777,10,0.743195,9.228004131,38,0.800226,39,0.784053,38.01397391,29,28.78596978
16,2,0.6,10,0.804476,11,0.786315,10.2464622,37,0.842926,38,0.791195,37.82979258,27,27.58333038
17,2,0.6,10,0.825231,11,0.792336,10.76701626,34,0.845304,35,0.788609,34.79908281,24,24.03206655
18,2,0.6,11,0.851613,12,0.779188,11.71264066,38,0.803191,39,0.740571,38.05095816,27,26.3383175
19,2,0.6,10,0.800443,11,0.757306,10.01026961,35,0.813362,36,0.782511,35.433114,25,25.42284439
0,2,0.65,9,0.818182,10,0.753828,9.282531,26,0.814737,27,0.774083,26.36249816,17,17.07996715
1,2,0.65,8,0.825212,9,0.770732,8.46277533,30,0.823789,31,0.748244,30.3148984,22,21.85212307
2,2,0.65,6,0.834076,7,0.763814,6.484984771,28,0.82151,29,0.784633,28.5832904,22,22.09830563
3,2,0.65,8,0.843249,9,0.776316,8.646153616,29,0.851554,30,0.790284,29.84142321,21,21.19526959
4,2,0.65,9,0.839831,10,0.782452,9.694173827,28,0.821016,29,0.778032,28.48892611,19,18.79475229
5,2,0.65,7,0.851337,8,0.799788,7.995887408,29,0.814469,30,0.755435,29.24509605,22,21.24920864
6,2,0.65,8,0.804323,9,0.785176,8.225779495,29,0.833333,30,0.784173,29.67805126,21,21.45227177
7,2,0.65,8,0.834475,9,0.770905,8.542315558,30,0.820293,31,0.753606,30.30430219,22,21.76198663
8,2,0.65,7,0.807391,8,0.799324,7.91620181,28,0.838934,29,0.78478,28.71894966,21,20.80274785
9,2,0.65,7,0.830189,8,0.788018,7.715871096,29,0.831382,30,0.795792,29.88176454,22,22.16589344
10,2,0.65,8,0.815418,9,0.76825,8.326874152,28,0.82246,29,0.766667,28.40255946,20,20.07568531
11,2,0.65,8,0.811241,9,0.728342,8.135598741,31,0.819637,32,0.792566,31.72538879,23,23.58979005
12,2,0.65,8,0.818291,9,0.778169,8.455884552,29,0.8,30,0.735763,29,21,20.54411545
13,2,0.65,10,0.832349,11,0.776888,10.58327473,30,0.816885,31,0.775679,30.40977042,20,19.82649569
14,2,0.65,7,0.815367,8,0.795848,7.787284185,29,0.819415,30,0.766558,29.3673118,22,21.58002762
15,2,0.65,7,0.823105,8,0.794444,7.806147727,28,0.80289,29,0.737853,28.04443624,21,20.23828852
