Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
1,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
2,2,0.5,40,0.810013,41,0.798103,40.84072208,0,0,0,0,100,100,100
3,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
4,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
5,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
6,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
7,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
8,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
9,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
10,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
11,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
12,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
13,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
14,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
15,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
16,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
17,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
18,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
19,2,0.5,0,0,0,0,100,0,0,0,0,100,100,100
0,2,0.55,15,0.800464,16,0.782305,15.02555207,53,0.819149,54,0.787765,53.61015167,38,38.5845996
1,2,0.55,15,0.835821,16,0.788079,15.75030372,48,0.810219,49,0.780455,48.34333423,33,32.59303051
2,2,0.55,18,0.813864,19,0.787263,18.52118341,64,0.812721,65,0.775091,64.33805474,46,45.81687133
3,2,0.55,18,0.809235,19,0.797554,18.79060012,65,0.805386,66,0.759064,65.11627305,47,46.32567293
4,2,0.55,15,0.820399,16,0.785795,15.58949832,51,0.8125,52,0.771323,51.30356753,36,35.7140692
5,2,0.55,14,0.831311,15,0.793224,14.82209153,58,0.81713,59,0.795799,58.80305658,44,43.98096506
6,2,0.55,18,0.813049,19,0.767263,18.28499978,45,0.815217,46,0.777358,45.40193877,27,27.11693899
7,2,0.55,16,0.82325,17,0.798223,16.92899668,62,0.827907,63,0.798507,62.94921769,46,46.020221
8,2,0.55,22,0.827295,23,0.770513,22.48069811,47,0.848642,48,0.797101,47.94375352,25,25.46305541
9,2,0.55,19,0.805801,20,0.78637,19.29854356,54,0.814645,55,0.753846,54.24087567,35,34.94233211
10,2,0.55,24,0.842105,25,0.797484,24.94361399,63,0.826701,64,0.770026,63.47112483,39,38.52751084
11,2,0.55,16,0.817865,17,0.779026,16.4599758,59,0.828808,60,0.791771,59.77781678,43,43.31784098
12,2,0.55,17,0.801862,18,0.7433,17.03179536,44,0.8,45,0.777246,44,27,26.96820464
13,2,0.55,13,0.809945,14,0.790194,13.50351881,56,0.838548,57,0.798236,56.95624132,43,43.45272251
14,2,0.55,14,0.811594,15,0.794012,14.65942441,46,0.802225,47,0.786241,46.1392017,32,31.47977729
15,2,0.55,15,0.811828,16,0.774419,15.3161806,55,0.809249,56,0.798441,55.855755,40,40.5395744
16,2,0.55,18,0.8223,19,0.788056,18.65120897,52,0.822686,53,0.787129,52.63801783,34,33.98680886
17,2,0.55,19,0.827381,20,0.774681,19.51956357,53,0.800242,54,0.799511,53.33105335,34,33.81148978
18,2,0.55,18,0.807278,19,0.789402,18.40713806,50,0.817746,51,0.797619,50.8817012,32,32.47456314
19,2,0.55,15,0.807556,16,0.777778,15.25374438,47,0.824408,48,0.799502,47.98000482,32,32.72626044
0,2,0.6,10,0.853107,11,0.796231,10.93373303,33,0.81465,34,0.766432,33.30382845,23,22.37009541
1,2,0.6,11,0.828349,12,0.783333,11.62975387,33,0.829558,34,0.796256,33.88757432,22,22.25782045
2,2,0.6,11,0.827664,12,0.788304,11.70284553,35,0.80649,36,0.738247,35.09510133,24,23.3922558
3,2,0.6,10,0.825935,11,0.78875,10.69745865,39,0.800258,40,0.745283,39.00469304,29,28.30723439
4,2,0.6,15,0.805634,16,0.783083,15.24983371,33,0.815107,34,0.777549,33.40223122,18,18.15239751
5,2,0.6,13,0.832143,14,0.798758,13.96279766,41,0.80814,42,0.77685,41.26014701,28,27.29734935
6,2,0.6,11,0.807453,12,0.769728,11.1975613,34,0.81407,35,0.796275,34.79067154,23,23.59311024
7,2,0.6,10,0.820913,11,0.777778,10.48482671,39,0.803571,40,0.781963,39.16526287,29,28.68043616
8,2,0.6,11,0.842511,12,0.797921,11.9533752,34,0.824972,35,0.798595,34.9467339,23,22.9933587
9,2,0.6,12,0.808081,13,0.78303,12.32258193,37,0.813824,38,0.787805,37.53130405,25,25.20872211
10,2,0.6,10,0.842424,11,0.796767,10.92918939,36,0.817778,37,0.793911,36.74487786,26,25.81568847
11,2,0.6,11,0.829949,12,0.799759,11.99201722,39,0.803681,40,0.73913,39.05702468,28,27.06500745
12,2,0.6,10,0.811751,11,0.798552,10.89029472,37,0.816502,38,0.778882,37.43864965,27,26.54835494
13,2,0.6,11,0.82684,12,0.795429,11.85447773,38,0.839956,39,0.794811,38.88505925,27,27.03058152
14,2,0.6,9,0.828979,10,0.776362,9.550753559,35,0.827851,36,0.783158,35.62316246,26,26.07240891
15,2,0.6,11,0.851852,12,0.799555,11.99149091,38,0.820265,39,0.799087,38.95688922,27,26.96539832
16,2,0.6,12,0.806452,13,0.784077,12.28835754,37,0.815636,38,0.764851,37.30788619,25,25.01952864
17,2,0.6,13,0.814095,14,0.774415,13.35521673,32,0.800247,33,0.767561,32.00755675,19,18.65234002
18,2,0.6,12,0.804398,13,0.755986,12.09084524,38,0.803922,39,0.776744,38.1443079,26,26.05346265
19,2,0.6,11,0.80589,12,0.766578,11.14982702,36,0.842222,37,0.799776,36.99472271,25,25.84489568
0,2,0.65,9,0.834655,10,0.792128,9.814894067,28,0.834402,29,0.780432,28.6374282,19,18.82253413
1,2,0.65,9,0.804726,10,0.750623,9.087351903,30,0.830488,31,0.797018,30.91090529,21,21.82355339
2,2,0.65,8,0.832408,9,0.787703,8.724930097,25,0.833526,26,0.795712,25.88660285,17,17.16167275
3,2,0.65,8,0.835113,9,0.785797,8.712000162,28,0.823256,29,0.750294,28.31874126,20,19.6067411
4,2,0.65,8,0.814076,9,0.78271,8.44876618,28,0.806193,29,0.770701,28.17449003,20,19.72572385
5,2,0.65,9,0.803674,10,0.758824,9.081917503,28,0.807229,29,0.772376,28.207414,19,19.12549649
6,2,0.65,10,0.810386,11,0.789281,10.49211087,26,0.830346,27,0.783599,26.64915396,16,16.15704308
7,2,0.65,7,0.827807,8,0.797149,7.907006328,27,0.8234,28,0.791027,27.72282458,20,19.81581825
8,2,0.65,6,0.829621,7,0.791667,6.780444749,26,0.825083,27,0.765625,26.42186081,20,19.64141606
9,2,0.65,9,0.804251,10,0.789171,9.281896552,28,0.830705,29,0.783105,28.64506303,19,19.36316647
10,2,0.65,8,0.845133,9,0.799292,8.984555311,29,0.806998,30,0.748894,29.12043921,21,20.1358839
11,2,0.65,9,0.828798,10,0.768029,9.473892939,28,0.84582,29,0.78,28.69614099,19,19.22224805
12,2,0.65,7,0.819692,8,0.775882,7.449486419,26,0.809419,27,0.798133,26.83457381,19,19.38508739
13,2,0.65,7,0.821208,8,0.764429,7.373518378,26,0.829664,27,0.778912,26.58448928,19,19.2109709
14,2,0.65,8,0.852097,9,0.799767,8.995547487,29,0.808824,30,0.752866,29.1576897,21,20.16214221
15,2,0.65,9,0.823944,10,0.759434,9.371167261,30,0.814332,31,0.751126,30.22675062,21,20.85558336
