Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,5,0.87346,6,0.767361,5.692372218,19,0.80735,20,0.688889,19.06204574,14,13.36967352
1,2,0.5,5,0.848592,6,0.748792,5.486893788,20,0.874591,21,0.778037,20.77253143,15,15.28563765
2,2,0.5,5,0.88098,6,0.783505,5.830777122,19,0.855701,20,0.794279,19.90685748,14,14.07608036
3,2,0.5,6,0.802198,7,0.7267,6.029113354,20,0.855544,21,0.790254,20.85072752,14,14.82161417
4,2,0.5,5,0.855621,6,0.77624,5.700684043,20,0.860294,21,0.754945,20.57232627,15,14.87164223
5,2,0.5,5,0.861233,6,0.770784,5.676989243,20,0.857585,21,0.783201,20.77415842,15,15.09716918
6,2,0.5,6,0.818078,7,0.763703,6.332468966,20,0.850858,21,0.793454,20.88596613,14,14.55349717
7,2,0.5,5,0.835153,6,0.760321,5.469758927,21,0.825623,22,0.711462,21.22444618,16,15.75468725
8,2,0.5,5,0.863203,6,0.782562,5.783757642,21,0.806452,22,0.679755,21.05092465,16,15.26716701
9,2,0.5,5,0.802511,6,0.692308,5.022785224,20,0.816705,21,0.688159,20.12995348,15,15.10716826
10,2,0.5,5,0.843243,6,0.756152,5.496526622,21,0.831579,22,0.739278,21.34213064,16,15.84560402
11,2,0.5,5,0.852668,6,0.799555,5.991621637,20,0.87744,21,0.789301,20.87861219,15,14.88699056
12,2,0.5,6,0.829211,7,0.70802,6.24103275,21,0.841924,22,0.764773,21.5434019,15,15.30236915
13,2,0.5,5,0.857442,6,0.775882,5.704291319,21,0.893082,22,0.799557,21.9952633,16,16.29097198
14,2,0.5,5,0.829319,6,0.744578,5.345983644,21,0.853922,22,0.791809,21.86812745,16,16.5221438
15,2,0.5,5,0.830955,6,0.774684,5.550105738,20,0.821577,21,0.740991,20.26775122,15,14.71764548
16,2,0.5,6,0.820789,7,0.774151,6.445752391,22,0.818074,23,0.712486,22.17117475,16,15.72542236
17,2,0.5,5,0.819196,6,0.761042,5.330089074,19,0.8322,20,0.785291,19.68643544,14,14.35634636
18,2,0.5,5,0.885947,6,0.798458,5.982374927,20,0.834292,21,0.753639,20.42517947,15,14.44280455
19,2,0.5,5,0.807273,6,0.724005,5.087344478,20,0.829519,21,0.7875,20.70251553,15,15.61517105
0,2,0.55,5,0.840173,6,0.776915,5.635065921,20,0.834931,21,0.757969,20.45387334,15,14.81880742
1,2,0.55,4,0.906019,5,0.798301,4.984227334,18,0.831776,19,0.733333,18.32278577,14,13.33855844
2,2,0.55,6,0.8026,7,0.68564,6.022229822,19,0.834388,20,0.7827,19.66529949,13,13.64306967
3,2,0.55,5,0.819444,6,0.748578,5.274376993,19,0.837331,20,0.775385,19.60263778,14,14.32826079
4,2,0.55,4,0.8833,5,0.793388,4.926461429,19,0.821714,20,0.756293,19.33191177,15,14.40545034
5,2,0.55,5,0.841608,6,0.762387,5.525214274,19,0.86674,20,0.778531,19.75661214,14,14.23139786
6,2,0.55,4,0.834382,5,0.7219,4.305666684,19,0.815315,20,0.736095,19.19332239,15,14.88765571
7,2,0.55,5,0.835556,6,0.769314,5.536759156,20,0.833333,21,0.740331,20.35841165,15,14.82165249
8,2,0.55,5,0.82994,6,0.70852,5.246582112,20,0.824029,21,0.755635,20.35133199,15,15.10474988
9,2,0.55,5,0.831102,6,0.772727,5.532796574,19,0.817582,20,0.740406,19.22781694,14,13.69502036
10,2,0.55,5,0.82538,6,0.778027,5.535974489,18,0.801779,19,0.738263,18.02800869,13,12.4920342
11,2,0.55,5,0.817401,6,0.722851,5.18404019,19,0.828601,20,0.771462,19.50055129,14,14.3165111
12,2,0.55,6,0.823144,7,0.713671,6.21141286,20,0.827703,21,0.742268,20.32425821,14,14.11284535
13,2,0.55,6,0.801587,7,0.733967,6.023469388,21,0.835378,22,0.794613,21.86785232,15,15.84438294
14,2,0.55,5,0.842562,6,0.766811,5.56186717,19,0.854189,20,0.753293,19.53707778,14,13.97521061
15,2,0.55,5,0.855952,6,0.773767,5.6808055,21,0.808977,22,0.725979,21.10815923,16,15.42735373
16,2,0.55,5,0.84188,6,0.767414,5.562404319,18,0.855135,19,0.79758,18.95795326,13,13.39554894
17,2,0.55,5,0.808511,6,0.70283,5.080534817,19,0.839602,20,0.768018,19.55322418,14,14.47268937
18,2,0.55,6,0.812785,7,0.756886,6.228716077,20,0.808333,21,0.75356,20.152137,14,13.92342092
19,2,0.55,5,0.80042,6,0.739977,5.006948695,18,0.873253,19,0.79,18.87988421,13,13.87293551
0,2,0.6,5,0.801087,6,0.663291,5.007888473,18,0.899787,19,0.782609,18.85158477,13,13.8436963
1,2,0.6,5,0.855011,6,0.738372,5.471634702,19,0.861507,20,0.790879,19.87085858,14,14.39922388
2,2,0.6,5,0.806667,6,0.73117,5.088308145,19,0.807475,20,0.712815,19.07896683,14,13.99065868
3,2,0.6,5,0.856465,6,0.763906,5.610043324,19,0.881836,20,0.796939,19.96394454,14,14.35390122
4,2,0.6,5,0.813778,6,0.738496,5.183018517,19,0.816008,20,0.739645,19.20963032,14,14.0266118
5,2,0.6,5,0.830233,6,0.77791,5.577814728,19,0.841379,20,0.767837,19.56265807,14,13.98484335
6,2,0.6,5,0.844864,6,0.787234,5.778483429,19,0.838919,20,0.733844,19.37039258,14,13.59190915
7,2,0.6,5,0.802186,6,0.698413,5.02106521,18,0.8,19,0.69383,18,13,12.97893479
8,2,0.6,5,0.800222,6,0.697646,5.002164249,19,0.85743,20,0.771812,19.67077017,14,14.66860592
