Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,10,0.440819,11,0.513289,10.81662757,26,0.442257,27,0.584288,26.40655209,16,15.58992452
1,2,0.5,11,0.451027,12,0.566004,11.42593736,28,0.449339,29,0.536661,28.58016307,17,17.15422571
2,2,0.5,11,0.492754,12,0.605263,11.06440374,27,0.416551,28,0.511194,27.88172395,16,16.81732022
3,2,0.5,10,0.43319,11,0.527731,10.70667753,28,0.471491,29,0.592,28.23657154,18,17.52989402
4,2,0.5,11,0.487421,12,0.582515,11.13227964,26,0.402975,27,0.518341,26.84101902,15,15.70873938
5,2,0.5,10,0.415301,11,0.522175,10.79251268,27,0.466325,28,0.573529,27.31412074,17,16.52160806
6,2,0.5,11,0.455686,12,0.507853,11.84946422,29,0.484258,30,0.573323,29.17674732,18,17.3272831
7,2,0.5,10,0.379172,11,0.517584,10.87295899,28,0.495376,29,0.5896,28.04907455,18,17.17611555
8,2,0.5,12,0.452932,13,0.529301,12.61632338,28,0.422927,29,0.507849,28.90757401,16,16.29125063
9,2,0.5,10,0.484848,11,0.594295,10.13844144,27,0.437202,28,0.558475,27.51782342,17,17.37938199
10,2,0.5,12,0.480127,13,0.543103,12.31556466,29,0.477843,30,0.544487,29.33246804,17,17.01690338
11,2,0.5,11,0.435703,12,0.595201,11.40312104,27,0.423591,28,0.520761,27.78634352,16,16.38322248
12,2,0.5,12,0.493651,13,0.576142,12.07696597,28,0.440063,29,0.551471,28.53799548,16,16.4610295
13,2,0.5,11,0.431748,12,0.543074,11.6130823,26,0.424387,27,0.525535,26.74754815,15,15.13446585
14,2,0.5,12,0.485714,13,0.554455,12.20782357,28,0.489781,29,0.584665,28.10769993,16,15.89987636
15,2,0.5,10,0.424592,11,0.53752,10.6677529,26,0.43025,27,0.559365,26.54021609,16,15.87246318
16,2,0.5,12,0.467767,13,0.581058,12.2845151,28,0.485804,29,0.55276,28.21201983,16,15.92750474
17,2,0.5,11,0.430267,12,0.53622,11.65815031,27,0.427966,28,0.522117,27.76509012,16,16.10693981
18,2,0.5,11,0.442478,12,0.533828,11.62968801,29,0.42638,30,0.53752,29.66240777,18,18.03271976
19,2,0.5,12,0.440345,13,0.518803,12.76034311,26,0.408177,27,0.540816,26.69227754,14,13.93193442
0,2,0.55,9,0.424312,10,0.552756,9.589268475,24,0.436352,25,0.511158,24.85084084,15,15.26157237
1,2,0.55,10,0.492296,11,0.608197,10.06647052,27,0.478562,28,0.555838,27.27742119,17,17.21095067
2,2,0.55,11,0.459276,12,0.552239,11.43806676,26,0.439161,27,0.557229,26.5152878,15,15.07722104
3,2,0.55,11,0.486025,12,0.550802,11.21574015,24,0.394479,25,0.547653,24.68889629,13,13.47315613
4,2,0.55,9,0.4375,10,0.526773,9.700099694,25,0.416021,26,0.52886,25.74423736,16,16.04413767
5,2,0.55,10,0.455925,11,0.514615,10.75097972,26,0.420268,27,0.549392,26.61748397,16,15.86650424
6,2,0.55,10,0.42042,11,0.525037,10.76067943,27,0.485772,28,0.597542,27.12729713,17,16.3666177
7,2,0.55,10,0.44375,11,0.538786,10.59188097,24,0.422372,25,0.566667,24.53798122,14,13.94610025
8,2,0.55,11,0.415672,12,0.534512,11.70959273,25,0.458791,26,0.556818,25.42038418,14,13.71079145
9,2,0.55,9,0.412932,10,0.510653,9.890985561,24,0.451044,25,0.542313,24.53639242,15,14.64540686
10,2,0.55,10,0.428571,11,0.527246,10.72388143,26,0.44171,27,0.540656,26.58910921,16,15.86522778
11,2,0.55,9,0.419944,10,0.520801,9.793757498,25,0.409601,26,0.527817,25.76469344,16,15.97093594
12,2,0.55,9,0.415307,10,0.510135,9.893122285,25,0.446429,26,0.542149,25.5596636,16,15.66654132
13,2,0.55,10,0.498516,11,0.58371,10.01741907,25,0.457917,26,0.551424,25.45005187,15,15.4326328
14,2,0.55,10,0.485591,11,0.534903,10.29220068,24,0.471464,25,0.567323,24.29768723,14,14.00548655
15,2,0.55,9,0.405966,10,0.54866,9.658990567,25,0.459153,26,0.554439,25.42867788,16,15.76968731
16,2,0.55,11,0.460029,12,0.563123,11.38771412,25,0.413571,26,0.5352,25.71059533,14,14.32288121
17,2,0.55,9,0.427605,10,0.52446,9.74745754,26,0.413842,27,0.521292,26.80184272,17,17.05438518
18,2,0.55,10,0.446317,11,0.510264,10.83949208,25,0.495461,26,0.61973,25.0365256,15,14.19703352
19,2,0.55,11,0.474564,12,0.6056,11.19411459,24,0.478541,25,0.601935,24.17390635,13,12.97979175
0,2,0.6,10,0.480742,11,0.59538,10.16798967,24,0.3707,25,0.507586,24.94458162,14,14.77659195
1,2,0.6,10,0.468276,11,0.568413,10.31680598,24,0.457179,25,0.630435,24.2471545,14,13.93034852
2,2,0.6,10,0.47606,11,0.614599,10.17280333,24,0.480226,25,0.643192,24.12133819,14,13.94853487
3,2,0.6,9,0.448143,10,0.552206,9.498323131,23,0.488757,24,0.614537,23.08938623,14,13.5910631
4,2,0.6,9,0.406812,10,0.506784,9.932140999,24,0.407063,25,0.54251,24.6861503,15,14.7540093
5,2,0.6,9,0.490345,10,0.590387,9.096509466,24,0.416776,25,0.536458,24.69537608,15,15.59886661
6,2,0.6,9,0.455941,10,0.560086,9.423054395,23,0.498557,24,0.592647,23.01533638,14,13.59228198
7,2,0.6,9,0.47263,10,0.60423,9.207978723,24,0.487854,25,0.597997,24.11027482,15,14.9022961
8,2,0.6,9,0.445333,10,0.598464,9.356994991,21,0.383676,22,0.503492,21.97085531,12,12.61386032
9,2,0.6,9,0.452727,10,0.540816,9.536650433,24,0.366095,25,0.500739,24.99451145,15,15.45786102
10,2,0.6,9,0.417116,10,0.52288,9.783669301,24,0.45734,25,0.508571,24.83269895,15,15.04902965
11,2,0.6,9,0.416777,10,0.513453,9.86084447,23,0.389506,24,0.518424,23.85708745,14,13.99624298
12,2,0.6,9,0.475168,10,0.589185,9.217792084,23,0.464331,24,0.563937,23.35810092,14,14.14030883
13,2,0.6,9,0.47555,10,0.588235,9.216976527,24,0.49797,25,0.609145,24.0182595,15,14.80128297
14,2,0.6,8,0.406659,9,0.503516,8.963699062,23,0.374088,24,0.507692,23.94242687,15,14.97872781
15,2,0.6,9,0.434836,10,0.57305,9.471471776,23,0.375147,24,0.518566,23.87054714,14,14.39907536
16,2,0.6,9,0.440587,10,0.523639,9.715371093,21,0.420245,22,0.539797,21.66711556,12,11.95174447
17,2,0.6,8,0.386108,9,0.504292,8.963683747,23,0.433025,24,0.529086,23.69721323,15,14.73352948
18,2,0.6,8,0.400685,9,0.535471,8.736834686,21,0.402135,22,0.545205,21.68403579,13,12.9472011
19,2,0.6,8,0.412899,9,0.517956,8.82908326,24,0.428571,25,0.564103,24.52702683,16,15.69794357
0,2,0.65,8,0.390942,9,0.531212,8.777486276,21,0.42503,22,0.575508,21.49821236,13,12.72072609
1,2,0.65,8,0.359927,9,0.529225,8.827375397,23,0.495238,24,0.612468,23.040621,15,14.2132456
2,2,0.65,8,0.467848,9,0.591437,8.260152603,22,0.478912,23,0.592926,22.18495974,14,13.92480714
3,2,0.65,9,0.485372,10,0.606039,9.121226184,23,0.381228,24,0.507042,23.94402849,14,14.8228023
4,2,0.65,9,0.452216,10,0.560294,9.442125132,21,0.421115,22,0.541985,21.65264334,12,12.2105182
5,2,0.65,8,0.422592,9,0.52736,8.738851558,24,0.494737,25,0.627747,24.03956845,16,15.3007169
6,2,0.65,8,0.385954,9,0.52474,8.821739945,23,0.458704,24,0.551984,23.44271012,15,14.62097018
7,2,0.65,8,0.429419,9,0.528266,8.714042915,22,0.448492,23,0.574899,22.40747743,14,13.69343452
8,2,0.65,9,0.495882,10,0.615894,9.034313235,22,0.445205,23,0.581897,22.40086472,13,13.36655148
9,2,0.65,8,0.435404,9,0.533829,8.656296673,22,0.479792,23,0.614583,22.14992099,14,13.49362432
10,2,0.65,8,0.416465,9,0.514465,8.852397959,22,0.406329,23,0.521654,22.81223499,14,13.95983703
11,2,0.65,8,0.399338,9,0.511952,8.893867548,21,0.456354,22,0.578192,21.35822978,13,12.46436223
12,2,0.65,8,0.453448,9,0.592121,8.335696206,23,0.443223,24,0.581704,23.40999848,15,15.07430228
13,2,0.65,8,0.417275,9,0.569444,8.54363898,21,0.437028,22,0.584932,21.42576266,13,12.88212368
14,2,0.65,8,0.410287,9,0.54005,8.691360403,22,0.426928,23,0.541499,22.63778792,14,13.94642752
