Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,10,0.474339,11,0.53115,10.45169069,27,0.482171,28,0.639757,27.11313822,17,16.66144753
1,2,0.5,11,0.486196,12,0.580146,11.14692922,26,0.456973,27,0.570069,26.3804467,15,15.23351748
2,2,0.5,12,0.471338,13,0.552718,12.35219956,28,0.460656,29,0.535714,28.5241813,16,16.17198174
3,2,0.5,11,0.44582,12,0.587237,11.38312226,28,0.417391,29,0.524762,28.76937907,17,17.38625681
4,2,0.5,10,0.448419,11,0.512635,10.80324218,26,0.450147,27,0.58347,26.37392648,16,15.5706843
5,2,0.5,10,0.397842,11,0.512678,10.88959908,26,0.473965,27,0.57459,26.25873292,16,15.36913384
6,2,0.5,11,0.425656,12,0.519672,11.79075902,28,0.487749,29,0.575646,28.13937905,17,16.34862003
7,2,0.5,11,0.470161,12,0.547428,11.38618039,26,0.428025,27,0.568043,26.51404105,15,15.12786066
8,2,0.5,10,0.391629,11,0.504,10.96440363,28,0.497533,29,0.569912,28.03408447,18,17.06968084
9,2,0.5,11,0.491971,12,0.601806,11.07310056,28,0.446071,29,0.555821,28.49138041,17,17.41827985
10,2,0.5,11,0.464799,12,0.548077,11.42269267,27,0.445302,28,0.502513,27.95607488,16,16.53338221
11,2,0.5,11,0.437598,12,0.554849,11.53220868,28,0.478166,29,0.568285,28.24227965,17,16.71007097
12,2,0.5,11,0.441133,12,0.5657,11.47257299,28,0.448227,29,0.545171,28.53405059,17,17.06147759
13,2,0.5,12,0.466811,13,0.609167,12.23314086,26,0.491667,27,0.608818,26.07113042,14,13.83798956
14,2,0.5,11,0.490182,12,0.578595,11.11104702,27,0.497774,28,0.638261,27.01584488,16,15.90479786
15,2,0.5,10,0.442635,11,0.510836,10.8411167,28,0.439974,29,0.547988,28.55572426,18,17.71460756
16,2,0.5,11,0.459391,12,0.506087,11.86964622,26,0.434483,27,0.56172,26.51492097,15,14.64527475
17,2,0.5,10,0.448489,11,0.5328,10.61096417,25,0.356579,26,0.501389,25.99040812,15,15.37944395
18,2,0.5,11,0.448582,12,0.50369,11.93304057,27,0.461144,28,0.543029,27.47451914,16,15.54147857
19,2,0.5,11,0.443056,12,0.519026,11.74955904,30,0.448326,31,0.583904,30.38113853,19,18.6315795
0,2,0.55,11,0.495223,12,0.597391,11.04675632,26,0.44589,27,0.537946,26.58779439,15,15.54103806
1,2,0.55,10,0.474453,11,0.618658,10.17715752,27,0.446133,28,0.548989,27.52371276,17,17.34655524
2,2,0.55,9,0.441476,10,0.537901,9.606938035,24,0.44021,25,0.576284,24.43939327,15,14.83245524
3,2,0.55,9,0.441535,10,0.536496,9.615673803,26,0.422378,27,0.546252,26.6266206,17,17.0109468
4,2,0.55,9,0.403978,10,0.522388,9.810928131,25,0.412338,26,0.503823,25.95821173,16,16.1472836
5,2,0.55,10,0.427143,11,0.533333,10.68610039,26,0.466381,27,0.550489,26.39971227,16,15.71361189
6,2,0.55,10,0.438255,11,0.546003,10.57305008,25,0.427727,26,0.559791,25.54725739,15,14.97420731
7,2,0.55,11,0.472973,12,0.561611,11.30491437,24,0.384756,25,0.531293,24.78644984,13,13.48153547
8,2,0.55,10,0.458032,11,0.575552,10.35711368,25,0.376391,26,0.540197,25.75460606,15,15.39749238
9,2,0.55,10,0.418657,11,0.504926,10.94289954,27,0.395777,28,0.508124,27.92768832,17,16.98478879
10,2,0.55,10,0.44,11,0.566384,10.47474364,26,0.492857,27,0.597907,26.06799619,16,15.59325255
11,2,0.55,10,0.441953,11,0.565315,10.47054198,27,0.405687,28,0.539801,27.70323009,17,17.23268811
12,2,0.55,11,0.43377,12,0.545524,11.59264098,25,0.417632,26,0.554173,25.60324738,14,14.0106064
13,2,0.55,9,0.474265,10,0.561873,9.293751712,24,0.461735,25,0.571848,24.34750665,15,15.05375494
14,2,0.55,9,0.435616,10,0.530081,9.681564601,24,0.450258,25,0.515649,24.76068572,15,15.07912112
15,2,0.55,10,0.415942,11,0.555976,10.60026851,25,0.466321,26,0.563328,25.34718113,15,14.74691263
16,2,0.55,10,0.432692,11,0.558775,10.53383882,27,0.487413,28,0.57154,27.14961903,17,16.61578021
17,2,0.55,10,0.453145,11,0.550787,10.47986522,26,0.412752,27,0.55276,26.62316439,16,16.14329917
18,2,0.55,9,0.433718,10,0.52562,9.721224783,24,0.45,25,0.594395,24.34627238,15,14.62504759
19,2,0.55,10,0.472581,11,0.54612,10.37284978,25,0.437179,26,0.569364,25.4752506,15,15.10240082
0,2,0.6,8,0.425309,9,0.515267,8.830287467,26,0.483871,27,0.576175,26.17473782,18,17.34445036
1,2,0.6,9,0.462759,10,0.607299,9.257651861,24,0.418775,25,0.540205,24.6689039,15,15.41125203
2,2,0.6,9,0.442402,10,0.55984,9.490454538,23,0.461491,24,0.576423,23.33505899,14,13.84460445
3,2,0.6,9,0.461691,10,0.563492,9.37631261,22,0.376338,23,0.501337,22.98930391,13,13.6129913
4,2,0.6,8,0.462846,9,0.5528,8.413033328,23,0.47486,24,0.594228,23.21060921,15,14.79757588
5,2,0.6,9,0.460251,10,0.543651,9.476606715,24,0.450609,25,0.550725,24.49333773,15,15.01673101
6,2,0.6,9,0.474138,10,0.607946,9.193276934,24,0.402985,25,0.537589,24.72074381,15,15.52746688
7,2,0.6,9,0.47699,10,0.619272,9.161721089,22,0.431258,23,0.554264,22.55885079,13,13.3971297
8,2,0.6,9,0.460508,10,0.58453,9.318427376,23,0.45801,24,0.563128,23.39945585,14,14.08102847
9,2,0.6,9,0.495751,10,0.602782,9.039698779,23,0.410668,24,0.508321,23.91479012,14,14.87509135
10,2,0.6,9,0.491762,10,0.599432,9.076511563,23,0.496612,24,0.563142,23.0509244,14,13.97441283
11,2,0.6,9,0.461387,10,0.593974,9.291227647,23,0.451829,24,0.563052,23.43310287,14,14.14187522
12,2,0.6,9,0.422836,10,0.514825,9.838839426,25,0.477535,26,0.57346,25.23419338,16,15.39535395
13,2,0.6,9,0.430328,10,0.544787,9.608707048,21,0.380892,22,0.518828,21.86350191,12,12.25479487
14,2,0.6,9,0.415416,10,0.526462,9.761702358,22,0.384615,23,0.53117,22.78731534,13,13.02561298
15,2,0.6,9,0.403771,10,0.508966,9.914767812,24,0.432983,25,0.571523,24.48373755,15,14.56896974
16,2,0.6,9,0.453416,10,0.573593,9.387628248,23,0.382022,24,0.511855,23.90869039,14,14.52106215
17,2,0.6,9,0.439107,10,0.543018,9.586011106,23,0.432957,24,0.578231,23.46149345,14,13.87548235
18,2,0.6,9,0.452677,10,0.572702,9.394276192,24,0.410383,25,0.528846,24.75649781,15,15.36222162
19,2,0.6,9,0.404282,10,0.516438,9.853436285,24,0.432571,25,0.557745,24.53868215,15,14.68524587
0,2,0.65,8,0.464755,9,0.603571,8.253897245,23,0.47104,24,0.619624,23.19490658,15,14.94100934
1,2,0.65,8,0.427148,9,0.541069,8.639495791,22,0.38934,23,0.516393,22.8709751,14,14.23147931
2,2,0.65,8,0.40977,9,0.523333,8.794536953,23,0.450265,24,0.553178,23.48327228,15,14.68873533
3,2,0.65,8,0.404429,9,0.520752,8.821600199,22,0.490458,23,0.666,22.05435736,14,13.23275716
4,2,0.65,8,0.404306,9,0.528609,8.769844654,23,0.48518,24,0.656695,23.08640644,15,14.31656178
5,2,0.65,9,0.449187,10,0.586351,9.370454347,22,0.413278,23,0.522193,22.7962356,13,13.42578125
6,2,0.65,8,0.461629,9,0.577128,8.332219327,21,0.435386,22,0.575209,21.46211281,13,13.12989349
7,2,0.65,7,0.392413,8,0.530504,7.779102186,22,0.499369,23,0.649624,22.00419953,15,14.22509734
8,2,0.65,8,0.374011,9,0.5,9,21,0.45,22,0.556242,21.47062367,13,12.47062367
9,2,0.65,8,0.400617,9,0.512535,8.887998356,21,0.390286,22,0.553856,21.67074647,13,12.78274811
10,2,0.65,9,0.472938,10,0.590452,9.230287455,23,0.406818,24,0.548289,23.65866503,14,14.42837757
11,2,0.65,9,0.48883,10,0.633832,9.07703342,22,0.377139,23,0.506378,22.95064957,13,13.87361615
12,2,0.65,8,0.390071,9,0.508906,8.92505575,22,0.463079,23,0.574646,22.33093119,14,13.40587544
13,2,0.65,8,0.414042,9,0.537783,8.694660622,22,0.431138,23,0.573748,22.48286936,14,13.78820874
14,2,0.65,8,0.381468,9,0.528571,8.805775545,24,0.495706,25,0.598013,24.04197171,16,15.23619617
15,2,0.65,9,0.497976,10,0.589838,9.02203305,23,0.471244,24,0.632026,23.17885087,14,14.15681782
16,2,0.65,8,0.45634,9,0.588472,8.330427149,23,0.492848,24,0.609875,23.0611141,15,14.73068695
17,2,0.65,8,0.47604,9,0.607578,8.182152686,23,0.470748,24,0.610945,23.20864926,15,15.02649657
18,2,0.65,9,0.480595,10,0.593007,9.172623919,22,0.399359,23,0.524684,22.8030401,13,13.63041618
19,2,0.65,8,0.463648,9,0.552524,8.409019308,22,0.462766,23,0.567701,22.35482918,14,13.94580987
0,2,0.7,8,0.46806,9,0.579487,8.286645068,21,0.381226,22,0.511671,21.91052934,13,13.62388427
1,2,0.7,8,0.482099,9,0.615882,8.133806238,22,0.462785,23,0.621347,22.23470314,14,14.10089691
2,2,0.7,8,0.456327,9,0.617942,8.27022863,21,0.452121,22,0.573027,21.39600185,13,13.12577322
3,2,0.7,8,0.441279,9,0.607412,8.353457772,21,0.472096,22,0.622354,21.18570725,13,12.83224948
4,2,0.7,8,0.455514,9,0.59557,8.317630091,21,0.414368,22,0.537241,21.6969147,13,13.37928461
5,2,0.7,8,0.453303,9,0.544676,8.511059066,21,0.383694,22,0.517835,21.86704289,13,13.35598382
6,2,0.7,8,0.493789,9,0.688811,8.031847689,21,0.406909,22,0.513359,21.87450446,13,13.84265677
7,2,0.7,8,0.477509,9,0.60604,8.174985023,21,0.484491,22,0.629252,21.10713521,13,12.93215019
8,2,0.7,8,0.399401,9,0.557237,8.637364099,22,0.398844,23,0.528235,22.78178544,14,14.14442134
9,2,0.7,7,0.366337,8,0.517284,7.885496234,22,0.444633,23,0.613874,22.32714886,15,14.44165262
10,2,0.7,7,0.359572,8,0.507595,7.948690406,21,0.499392,22,0.640106,21.00432082,14,13.05563041
11,2,0.7,8,0.418465,9,0.531335,8.722379729,21,0.395349,22,0.575032,21.58242015,13,12.86004042
12,2,0.7,7,0.366138,8,0.502179,7.98398277,20,0.398883,21,0.545276,20.69072292,13,12.70674015
13,2,0.7,8,0.421777,9,0.596561,8.447540965,22,0.483565,23,0.635894,22.10789147,14,13.66035051
14,2,0.7,9,0.49936,10,0.618243,9.005383444,22,0.393939,23,0.538232,22.73503912,13,13.72965568
15,2,0.7,8,0.469342,9,0.597852,8.238565092,22,0.469645,23,0.590143,22.25191289,14,14.0133478
16,2,0.7,7,0.353738,8,0.522005,7.869225695,20,0.457396,21,0.601804,20.29502521,13,12.42579951
17,2,0.7,8,0.47622,9,0.599212,8.193345909,21,0.436518,22,0.586957,21.42197834,13,13.22863243
18,2,0.7,8,0.457265,9,0.576716,8.35776176,21,0.422692,22,0.579167,21.49405975,13,13.13629799
19,2,0.7,8,0.384569,9,0.532734,8.779070631,21,0.338926,22,0.510665,21.93789995,13,13.15882932
0,2,0.75,7,0.377803,8,0.520278,7.857673276,20,0.435632,21,0.585802,20.42863421,13,12.57096094
1,2,0.75,7,0.389878,8,0.543981,7.714599975,21,0.47836,22,0.641076,21.13299245,14,13.41839248
2,2,0.75,7,0.443195,8,0.554945,7.508322148,19,0.43728,20,0.605161,19.37359797,12,11.86527582
3,2,0.75,8,0.46849,9,0.566751,8.320676565,21,0.385246,22,0.520501,21.84842705,13,13.52775048
4,2,0.75,7,0.385405,8,0.511628,7.907877328,20,0.353507,21,0.514303,20.91104878,13,13.00317145
5,2,0.75,7,0.482522,8,0.635036,7.114599315,20,0.491422,21,0.668911,20.04832976,13,12.93373044
6,2,0.75,7,0.34603,8,0.511616,7.929849142,19,0.434673,20,0.577168,19.45845117,12,11.52860203
7,2,0.75,7,0.470096,8,0.614545,7.207021163,18,0.368018,19,0.526549,18.83253118,11,11.62551001
8,2,0.75,7,0.484624,8,0.623669,7.110582905,20,0.426438,21,0.557252,20.56234042,13,13.45175752
9,2,0.75,7,0.382114,8,0.557405,7.672515988,21,0.489647,22,0.595268,21.09802028,14,13.42550429
10,2,0.75,8,0.494279,9,0.618615,8.046012418,20,0.464728,21,0.623731,20.22183229,12,12.17581987
11,2,0.75,8,0.470909,9,0.629845,8.183035939,20,0.417416,21,0.588333,20.4831819,12,12.30014596
12,2,0.75,8,0.460718,9,0.608333,8.266111168,21,0.463736,22,0.600246,21.26565087,13,12.9995397
13,2,0.75,7,0.413907,8,0.57673,7.52875208,21,0.394124,22,0.521519,21.83108442,14,14.30233234
14,2,0.75,7,0.41441,8,0.557043,7.600071512,20,0.408314,21,0.512778,20.87768035,13,13.27760884
15,2,0.75,7,0.43786,8,0.576167,7.449290347,20,0.460773,21,0.615882,20.25289957,13,12.80360923
16,2,0.75,7,0.366667,8,0.518405,7.8787054,20,0.462156,21,0.644118,20.20797749,13,12.32927209
17,2,0.75,7,0.390167,8,0.509363,7.921448706,21,0.495986,22,0.655172,21.02521579,14,13.10376708
18,2,0.75,7,0.403958,8,0.537621,7.718538414,17,0.369863,18,0.518192,17.87735372,10,10.15881531
19,2,0.75,8,0.490783,9,0.651194,8.057458653,21,0.43729,22,0.564118,21.49444918,13,13.43699052
0,2,0.8,7,0.403158,8,0.553889,7.642482303,20,0.459239,21,0.614983,20.26171795,13,12.61923564
1,2,0.8,7,0.438587,8,0.608475,7.3614911,19,0.482403,20,0.641355,19.11070638,12,11.74921528
2,2,0.8,7,0.393743,8,0.561574,7.63311903,19,0.340935,20,0.5,20,12,12.36688097
3,2,0.8,7,0.414414,8,0.560134,7.587331869,19,0.369164,20,0.522627,19.85255729,12,12.26522542
4,2,0.8,7,0.421081,8,0.560384,7.566527641,19,0.372847,20,0.528662,19.81605109,12,12.24952345
5,2,0.8,6,0.358297,7,0.525323,6.848388874,19,0.40265,20,0.568571,19.58672501,13,12.73833613
6,2,0.8,7,0.426374,8,0.584296,7.4662175,18,0.391919,19,0.592008,18.54016463,11,11.07394713
7,2,0.8,7,0.473834,8,0.609113,7.193422482,20,0.41547,21,0.603774,20.44890178,13,13.25547929
8,2,0.8,8,0.498797,9,0.644547,8.008253859,20,0.427201,21,0.552573,20.58066394,12,12.57241008
9,2,0.8,7,0.488144,8,0.630381,7.083353839,19,0.437222,20,0.577699,19.44689166,12,12.36353782
