Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.65,107,0.477041,108,0.507396,107.7563499,0,0,0,0,200,200,200
1,2,0.65,71,0.484634,72,0.569767,71.18049405,0,0,0,0,200,200,200
2,2,0.65,69,0.450581,70,0.504213,69.92144615,0,0,0,0,200,200,200
3,2,0.65,55,0.494536,56,0.545573,55.10705958,191,0.471198,192,0.504902,191.8545573,136,136.7474977
4,2,0.65,66,0.491546,67,0.540921,66.17122025,0,0,0,0,200,200,200
5,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.65,78,0.498798,79,0.502326,78.34070295,0,0,0,0,200,200,200
8,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.65,53,0.485366,54,0.529095,53.33465206,182,0.479821,183,0.501114,182.9476823,129,129.6130303
10,2,0.65,88,0.494723,89,0.553867,88.08922291,0,0,0,0,200,200,200
11,2,0.65,81,0.470199,82,0.522779,81.56677444,0,0,0,0,200,200,200
12,2,0.65,65,0.473441,66,0.5,66,0,0,0,0,200,200,200
13,2,0.65,65,0.479518,66,0.511962,65.63130317,192,0.498756,193,0.523474,192.0503277,127,126.4190245
14,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.65,98,0.498762,99,0.56,98.02021621,0,0,0,0,200,200,200
16,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.65,70,0.484496,71,0.5,71,0,0,0,0,200,200,200
18,2,0.65,66,0.49726,67,0.514745,66.15670575,0,0,0,0,200,200,200
19,2,0.65,74,0.475888,75,0.5625,74.27839099,0,0,0,0,200,200,200
0,2,0.7,36,0.495238,37,0.549383,36.08794903,110,0.476042,111,0.55489,110.3038504,74,74.21590142
1,2,0.7,33,0.498818,34,0.503623,33.24599376,110,0.486779,111,0.506313,110.6768199,77,77.43082615
2,2,0.7,39,0.483437,40,0.531453,39.34494752,107,0.475225,108,0.53915,107.3875636,68,68.04261603
3,2,0.7,37,0.487965,38,0.527601,37.30363811,115,0.482183,116,0.507592,115.7012082,78,78.39757013
4,2,0.7,40,0.452765,41,0.519427,40.7085746,110,0.48494,111,0.518559,110.447961,70,69.73938637
5,2,0.7,37,0.484064,38,0.53532,37.31090994,117,0.480088,118,0.502294,117.8966946,80,80.58578464
6,2,0.7,36,0.482143,37,0.511364,36.61110161,111,0.469432,112,0.552239,111.3691475,75,74.75804593
7,2,0.7,36,0.474385,37,0.536,36.41572669,108,0.497706,109,0.54064,108.0534308,72,71.63770416
8,2,0.7,34,0.455414,35,0.515856,34.73766586,111,0.464968,112,0.536667,111.4885982,77,76.75093231
9,2,0.7,37,0.430085,38,0.502075,37.97117655,117,0.472,118,0.526585,117.5129614,80,79.54178488
10,2,0.7,35,0.460499,36,0.502924,35.93107837,114,0.498737,115,0.528536,114.042384,79,78.1113056
11,2,0.7,38,0.478311,39,0.512469,38.63496106,115,0.462719,116,0.545882,115.4482883,77,76.81332724
12,2,0.7,54,0.496008,55,0.50108,54.78706625,129,0.467742,130,0.502299,129.9334722,75,75.14640599
13,2,0.7,35,0.496154,36,0.515837,35.19539704,107,0.46875,108,0.513995,107.6906841,72,72.49528701
14,2,0.7,42,0.464509,43,0.507921,42.81753893,118,0.470096,119,0.512626,118.7031272,76,75.88558827
15,2,0.7,32,0.486813,33,0.501217,32.91550958,106,0.483721,107,0.530048,106.3513934,74,73.43588378
16,2,0.7,37,0.461098,38,0.525,37.60877594,108,0.494748,109,0.53118,108.144159,71,70.53538304
