Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.55,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.6,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.65,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.7,0,0,0,0,10000,0,0,0,0,10000,10000,10000
