Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,35,0.493355,36,0.514981,35.30726903,82,0.4625,83,0.557592,82.39435494,47,47.08708591
1,2,0.5,41,0.479933,42,0.539841,41.33496361,78,0.496416,79,0.513158,78.21407239,37,36.87910878
2,2,0.5,38,0.400915,39,0.501608,38.98403067,75,0.469811,76,0.5,76,37,37.01596933
3,2,0.5,36,0.498311,37,0.526316,36.06031066,63,0.446429,64,0.507962,63.87060602,27,27.81029536
4,2,0.5,41,0.471098,42,0.570552,41.29060671,66,0.45942,67,0.524809,66.62059368,25,25.32998697
5,2,0.5,42,0.497797,43,0.504425,42.33237779,81,0.47549,82,0.502146,81.9194928,39,39.58711501
6,2,0.5,34,0.485366,35,0.513441,34.52124666,65,0.477032,66,0.542,65.35352789,31,30.83228123
7,2,0.5,40,0.477695,41,0.53,40.42644107,69,0.478979,70,0.558594,69.26403316,29,28.83759209
8,2,0.5,35,0.485866,36,0.53527,35.2860902,81,0.479424,82,0.532178,81.39003677,46,46.10394658
9,2,0.5,46,0.464824,47,0.522599,46.60884466,80,0.408046,81,0.554585,80.62750531,34,34.01866065
10,2,0.5,44,0.497706,45,0.587079,44.02566771,75,0.496795,76,0.580645,75.03822302,31,31.01255531
11,2,0.5,33,0.485714,34,0.560465,33.1911145,71,0.480435,72,0.570093,71.21821812,38,38.02710362
12,2,0.5,47,0.484456,48,0.598802,47.13593829,78,0.492284,79,0.508711,78.46971449,31,31.3337762
13,2,0.5,44,0.450495,45,0.521569,44.69652756,71,0.482372,72,0.546332,71.27560976,27,26.57908219
14,2,0.5,38,0.469636,39,0.540161,38.43054236,77,0.455326,78,0.557692,77.43641443,39,39.00587207
15,2,0.5,33,0.46822,34,0.558824,33.35075714,53,0.485673,54,0.559925,53.19295103,20,19.84219389
16,2,0.5,35,0.444717,36,0.519817,35.73612517,68,0.495763,69,0.619159,68.03433661,33,32.29821144
17,2,0.5,39,0.411067,40,0.5,40,68,0.480831,69,0.522727,68.45753771,29,28.45753771
18,2,0.5,43,0.465517,44,0.501838,43.94939567,80,0.473244,81,0.502232,80.92300262,37,36.97360696
19,2,0.5,37,0.480216,38,0.567901,37.22562582,71,0.467354,72,0.525455,71.56188362,34,34.3362578
0,2,0.55,23,0.467236,24,0.508117,23.80144811,49,0.418317,50,0.506964,49.92144122,26,26.11999312
1,2,0.55,25,0.471014,26,0.512635,25.69642728,55,0.494737,56,0.5,56,30,30.30357272
2,2,0.55,25,0.477918,26,0.533962,25.39401185,59,0.47971,60,0.59106,59.18221823,34,33.78820638
3,2,0.55,28,0.497059,29,0.584806,28.03351682,53,0.491611,54,0.523529,53.26282975,25,25.22931294
4,2,0.55,26,0.453526,27,0.552288,26.4705656,60,0.478852,61,0.546075,60.31459471,34,33.84402911
5,2,0.55,28,0.463514,29,0.564327,28.36191761,59,0.486166,60,0.561905,59.18265359,31,30.82073598
6,2,0.55,31,0.479452,32,0.532258,31.38912245,63,0.479412,64,0.554152,63.2754616,32,31.88633915
7,2,0.55,33,0.475649,34,0.518219,33.57202255,58,0.453258,59,0.523256,58.66776194,25,25.09573938
8,2,0.55,27,0.481818,28,0.581349,27.18267675,51,0.396476,52,0.513784,51.88249736,24,24.6998206
9,2,0.55,26,0.491701,27,0.558824,26.12363869,53,0.46206,54,0.505837,53.86666514,27,27.74302645
10,2,0.55,26,0.453988,27,0.5,27,57,0.481667,58,0.505155,57.78052623,31,30.78052623
11,2,0.55,25,0.436594,26,0.52381,25.72699963,61,0.44898,62,0.501767,61.96652585,36,36.23952622
12,2,0.55,29,0.471983,30,0.562762,29.30862865,61,0.498305,62,0.594697,61.01758445,32,31.7089558
13,2,0.55,31,0.48057,32,0.578431,31.19854692,48,0.492308,49,0.56295,48.10888706,17,16.91034015
14,2,0.55,31,0.422018,32,0.535604,31.68654588,58,0.46627,59,0.534091,58.49733858,27,26.81079271
15,2,0.55,27,0.49162,28,0.516187,27.34110799,54,0.412371,55,0.533708,54.72219521,27,27.38108722
16,2,0.55,24,0.442488,25,0.531532,24.64588293,57,0.415625,58,0.52707,57.75709991,33,33.11121698
