Number,GROWTH,MUTLIPLIER,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,15,0.497082,16,0.560227,15.0462111,34,0.488832,35,0.506289,34.63974337,19,19.59353227
1,2,0.5,17,0.47541,18,0.528894,17.45976367,35,0.495134,36,0.637574,35.03416175,18,17.57439808
2,2,0.5,16,0.483547,17,0.530023,16.35401067,36,0.498205,37,0.576497,36.02292699,20,19.66891632
3,2,0.5,14,0.478805,15,0.507042,14.7506109,36,0.462219,37,0.563278,36.37385092,22,21.62324002
4,2,0.5,17,0.409783,18,0.507026,17.92774801,38,0.496868,39,0.600451,38.03023662,21,20.10248861
5,2,0.5,16,0.449886,17,0.539663,16.55820533,36,0.437063,37,0.530769,36.67164322,20,20.11343789
6,2,0.5,15,0.48665,16,0.54533,15.22750511,36,0.477092,37,0.564211,36.26295068,21,21.03544556
7,2,0.5,16,0.462379,17,0.522546,16.62527631,38,0.474014,39,0.518847,38.57961769,22,21.95434138
8,2,0.5,15,0.429864,16,0.502088,15.97108994,37,0.479499,38,0.557416,37.26311331,22,21.29202337
9,2,0.5,16,0.487437,17,0.52457,16.3383244,35,0.489059,36,0.53202,35.25467284,19,18.91634844
10,2,0.5,15,0.455654,16,0.552326,15.45872642,36,0.451858,37,0.578488,36.38017847,21,20.92145206
11,2,0.5,15,0.417364,16,0.50104,15.98757111,37,0.487736,38,0.533958,37.2653282,22,21.27775709
12,2,0.5,13,0.418699,14,0.507401,13.91656332,34,0.496606,35,0.615979,34.02843189,21,20.11186857
13,2,0.5,15,0.49789,16,0.538095,15.05248103,36,0.486692,37,0.517897,36.42647012,21,21.37398908
14,2,0.5,16,0.449219,17,0.510941,16.82273744,33,0.447368,34,0.560892,33.46362003,17,16.64088259
15,2,0.5,15,0.441006,16,0.564549,15.47751795,37,0.490584,38,0.539702,37.19170162,22,21.71418367
16,2,0.5,16,0.486618,17,0.565882,16.16882822,39,0.490868,40,0.539759,39.18678284,23,23.01795462
17,2,0.5,16,0.482833,17,0.515317,16.52847556,41,0.496746,42,0.556555,41.05440653,25,24.52593097
18,2,0.5,13,0.494764,14,0.5,14,35,0.465409,36,0.5,36,22,22
19,2,0.5,15,0.496681,16,0.543919,15.07026123,35,0.496994,36,0.593023,35.03130304,20,19.96104181
0,2,0.55,12,0.4275,13,0.500943,12.98716011,33,0.443128,34,0.504132,33.93226674,21,20.94510663
1,2,0.55,15,0.423872,16,0.505297,15.93494627,37,0.479212,38,0.517621,37.54122732,22,21.60628105
2,2,0.55,14,0.443284,15,0.549037,14.5363063,35,0.456055,36,0.541578,35.51383838,21,20.97753208
3,2,0.55,15,0.472056,16,0.545361,15.38120183,38,0.499004,39,0.57265,38.01352416,23,22.63232233
4,2,0.55,13,0.412523,14,0.500973,13.98899943,35,0.4825,36,0.61883,35.128365,22,21.13936556
5,2,0.55,15,0.466667,16,0.540169,15.45349786,35,0.484973,36,0.560458,35.19907266,20,19.7455748
6,2,0.55,14,0.498016,15,0.554591,14.03506849,33,0.483906,34,0.587302,33.15565399,19,19.1205855
7,2,0.55,15,0.47973,16,0.567972,15.22970921,36,0.474783,37,0.55,36.33525666,21,21.10554745
8,2,0.55,14,0.387006,15,0.518219,14.86114943,36,0.472345,37,0.522826,36.54782988,22,21.68668045
9,2,0.55,16,0.474619,17,0.528133,16.4742871,38,0.391589,39,0.507261,38.93722768,22,22.46294058
10,2,0.55,15,0.452991,16,0.539192,15.5453417,37,0.450088,38,0.532511,37.60555913,22,22.06021743
