Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.55,28,0.425,29,0.505952,28.92647495,60,0.465116,61,0.526646,60.56694295,32,31.64046801
1,2,0.55,32,0.44898,33,0.612795,32.31144889,67,0.490494,68,0.536332,67.20738252,35,34.89593363
2,2,0.55,34,0.476879,35,0.559859,34.27863341,74,0.420168,75,0.527859,74.74130614,40,40.46267274
3,2,0.55,32,0.473856,33,0.552189,32.33375461,65,0.498599,66,0.560241,65.02272801,33,32.6889734
4,2,0.55,33,0.453731,34,0.530612,33.6018262,60,0.487179,61,0.586093,60.12961765,27,26.52779145
5,2,0.55,41,0.457944,42,0.569277,41.37774963,67,0.471649,68,0.527697,67.50583428,26,26.12808465
6,2,0.55,33,0.457143,34,0.542056,33.50471659,58,0.468013,59,0.51735,58.64833695,25,25.14362036
7,2,0.55,37,0.453947,38,0.522222,37.67452215,44,0.454301,45,0.525974,44.63760412,7,6.963081966
8,2,0.55,33,0.479495,34,0.542484,33.32553303,74,0.45283,75,0.537102,74.55973514,41,41.23420211
9,2,0.55,33,0.433225,34,0.505155,33.9283331,55,0.473008,56,0.521092,55.56135097,22,21.63301787
10,2,0.55,33,0.485623,34,0.509363,33.60560236,69,0.461017,70,0.501832,69.95511454,36,36.34951218
11,2,0.55,28,0.444079,29,0.508091,28.87360182,54,0.495208,55,0.522088,54.17827381,26,25.30467198
12,2,0.55,29,0.472843,30,0.515464,29.63717416,64,0.381107,65,0.529825,64.79945266,35,35.16227849
13,2,0.55,17,0.420792,18,0.505376,17.93644188,58,0.474194,59,0.507289,58.77975525,41,40.84331337
14,2,0.55,34,0.493631,35,0.507937,34.44519782,62,0.464935,63,0.518116,62.65935202,28,28.21415421
15,2,0.55,31,0.435986,32,0.514658,31.81368212,69,0.442953,70,0.522491,69.7172295,38,37.90354738
16,2,0.55,22,0.489865,23,0.561644,22.14119729,56,0.494163,57,0.525,56.1892856,34,34.04808831
17,2,0.55,31,0.433915,32,0.526462,31.71406961,73,0.448505,74,0.501416,73.97323808,42,42.25916847
18,2,0.55,33,0.477366,34,0.614583,33.16495041,74,0.441935,75,0.527536,74.67832151,41,41.51337111
19,2,0.55,33,0.474684,34,0.574324,33.25407467,57,0.419558,58,0.505085,57.94054509,24,24.68647042
0,2,0.6,21,0.442359,22,0.503268,21.94634619,46,0.436261,47,0.520833,46.75366552,25,24.80731933
1,2,0.6,18,0.490305,19,0.56686,18.12664098,47,0.448276,48,0.546559,47.52627616,29,29.39963518
2,2,0.6,16,0.465714,17,0.509494,16.78314299,46,0.44586,47,0.533546,46.61743038,30,29.83428739
3,2,0.6,19,0.463158,20,0.549153,19.42842026,45,0.454259,46,0.536977,45.55297517,26,26.12455491
4,2,0.6,16,0.485612,17,0.54698,16.23445444,39,0.485294,40,0.565217,39.1840021,23,22.94954766
5,2,0.6,17,0.476608,18,0.522727,17.50720961,33,0.469444,34,0.51497,33.67117691,16,16.1639673
6,2,0.6,16,0.484177,17,0.570122,16.18410611,35,0.489489,36,0.535503,35.22843048,19,19.04432436
7,2,0.6,17,0.477816,18,0.506452,17.7746892,37,0.450122,38,0.539267,37.5595154,20,19.78482619
8,2,0.6,17,0.455479,18,0.524845,17.64182741,36,0.471744,37,0.512397,36.69505326,19,19.05322585
9,2,0.6,16,0.434447,17,0.505917,16.91721002,39,0.465517,40,0.547753,39.41931757,23,22.50210756
10,2,0.6,13,0.447531,14,0.525526,13.67272261,43,0.443636,44,0.512456,43.8190061,30,30.14628349
11,2,0.6,18,0.489231,19,0.567742,18.13716549,51,0.494881,52,0.513158,51.28007879,33,33.14291329
12,2,0.6,24,0.480969,25,0.555133,24.25660698,52,0.462295,53,0.538721,52.49335305,28,28.23674607
13,2,0.6,17,0.476341,18,0.535354,17.40091166,38,0.437908,39,0.532808,38.65428872,21,21.25337706
14,2,0.6,19,0.449231,20,0.551205,19.4978622,43,0.427729,44,0.516418,43.81488121,24,24.31701901
15,2,0.6,17,0.492925,18,0.569863,17.09195716,48,0.448753,49,0.51462,48.77803756,31,31.6860804
16,2,0.6,17,0.42638,18,0.518006,17.80348373,42,0.433628,43,0.509375,42.87623272,25,25.07274899
17,2,0.6,17,0.434783,18,0.506369,17.91103009,44,0.477032,45,0.55298,44.30241744,27,26.39138735
18,2,0.6,20,0.423077,21,0.504732,20.94204886,41,0.455331,42,0.501718,41.96296376,21,21.0209149
19,2,0.6,22,0.454248,23,0.52,22.69582674,48,0.48996,49,0.541219,48.19586804,26,25.5000413
0,2,0.65,12,0.494595,13,0.530435,12.15080915,35,0.46978,36,0.538961,35.43682514,23,23.28601599
1,2,0.65,15,0.43131,16,0.537931,15.64424457,27,0.477327,28,0.555556,27.28982858,12,11.64558401
2,2,0.65,11,0.4914,12,0.532086,11.21137492,31,0.452323,32,0.545455,31.5119293,20,20.30055438
3,2,0.65,11,0.384248,12,0.552707,11.68712268,27,0.46087,28,0.534722,27.52984347,16,15.84272079
4,2,0.65,10,0.432,11,0.504532,10.93751723,25,0.494505,26,0.513932,25.28285376,15,14.34533653
5,2,0.65,13,0.472393,14,0.559194,13.31804933,38,0.481366,39,0.557864,38.24358807,25,24.92553874
6,2,0.65,12,0.498623,13,0.553371,12.0251516,29,0.484634,30,0.522667,29.40401756,17,17.37886596
7,2,0.65,12,0.419795,13,0.507194,12.91768785,33,0.463942,34,0.552632,33.40656218,21,20.48887434
8,2,0.65,11,0.414566,12,0.50266,11.96980498,32,0.496084,33,0.508621,32.31235543,21,20.34255045
9,2,0.65,13,0.47191,14,0.525,13.52910153,32,0.479564,33,0.524051,32.45937015,19,18.93026863
10,2,0.65,12,0.482143,13,0.525862,12.40844942,27,0.401848,28,0.516393,27.85688594,15,15.44843652
11,2,0.65,10,0.469512,11,0.55298,10.36526573,30,0.497487,31,0.519856,30.11234297,20,19.74707724
12,2,0.65,15,0.487179,16,0.509146,15.5836482,34,0.498182,35,0.585526,34.02081425,19,18.43716605
13,2,0.65,16,0.489426,17,0.509804,16.51889292,34,0.485342,35,0.611285,34.11638598,18,17.59749306
