Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,25,0.45098,26,0.522026,25.68997551,58,0.46747,59,0.501211,58.96410895,33,33.27413344
1,2,0.5,23,0.443205,24,0.522459,23.71661998,55,0.484513,56,0.50907,55.63065521,32,31.91403523
2,2,0.5,25,0.480728,26,0.504386,25.81460817,62,0.47306,63,0.505531,62.82966339,37,37.01505523
3,2,0.5,25,0.493734,26,0.549157,25.11305776,63,0.460215,64,0.511084,63.78210698,38,38.66904922
4,2,0.5,27,0.493473,28,0.541114,27.13700384,58,0.453608,59,0.521739,58.68092351,31,31.54391967
5,2,0.5,23,0.445977,24,0.519185,23.73793848,57,0.491505,58,0.519906,57.29910919,34,33.56117071
6,2,0.5,23,0.4525,24,0.508772,23.8441143,67,0.477723,68,0.502433,67.90153784,44,44.05742354
7,2,0.5,26,0.49125,27,0.546961,26.15706054,60,0.484706,61,0.514815,60.50795443,34,34.35089389
8,2,0.5,23,0.473256,24,0.536058,23.42584631,55,0.447253,56,0.519187,55.73326939,32,32.30742308
9,2,0.5,23,0.447876,24,0.532823,23.61360613,56,0.498843,57,0.564286,56.01767951,33,32.40407338
10,2,0.5,24,0.438413,25,0.518519,24.76881882,56,0.482456,57,0.540909,56.30013857,32,31.53131976
11,2,0.5,28,0.476035,29,0.543573,28.35483728,63,0.496193,64,0.546269,63.07602444,35,34.72118717
12,2,0.5,25,0.474453,26,0.528351,25.4739879,61,0.477163,62,0.526627,61.46168931,36,35.98770141
13,2,0.5,25,0.465035,26,0.513825,25.71664275,61,0.467822,62,0.524213,61.57062297,36,35.85398022
14,2,0.5,25,0.463252,26,0.51432,25.71958957,64,0.450658,65,0.502227,64.95681514,39,39.23722557
15,2,0.5,31,0.490453,32,0.586022,31.09989641,65,0.430524,66,0.531095,65.69081544,34,34.59091903
16,2,0.5,24,0.437616,25,0.517167,24.78420133,51,0.436009,52,0.543919,51.59300343,27,26.8088021
17,2,0.5,29,0.481818,30,0.534368,29.34599429,70,0.412776,71,0.524155,70.78312788,41,41.43713359
18,2,0.5,29,0.496437,30,0.560345,29.05575202,62,0.471503,63,0.537855,62.42948216,33,33.37373014
19,2,0.5,28,0.470449,29,0.531106,28.48718202,57,0.488956,58,0.532397,57.25422988,29,28.76704785
0,2,0.55,22,0.47584,23,0.523058,22.51166928,50,0.494444,51,0.568588,50.07493526,28,27.56326598
1,2,0.55,21,0.445455,22,0.529056,21.65244435,45,0.480392,46,0.518293,45.51734783,24,23.86490348
2,2,0.55,19,0.446982,20,0.526032,19.67068944,45,0.489744,46,0.551963,45.16483711,26,25.49414767
3,2,0.55,22,0.457048,23,0.538824,22.52523968,50,0.486871,51,0.513636,50.49052868,28,27.965289
4,2,0.55,18,0.471983,19,0.512695,18.68817548,45,0.42976,46,0.505597,45.92619698,27,27.2380215
5,2,0.55,21,0.494908,22,0.571429,21.06654382,45,0.480847,46,0.520085,45.48812376,24,24.42157993
6,2,0.55,20,0.467199,21,0.55298,20.38238071,41,0.464962,42,0.574856,41.31883451,21,20.9364538
7,2,0.55,22,0.497881,23,0.55176,22.03932887,49,0.429358,50,0.524851,49.73976103,27,27.70043216
8,2,0.55,19,0.494802,20,0.526932,19.16178027,47,0.460452,48,0.588565,47.30869623,28,28.14691596
9,2,0.55,19,0.439252,20,0.50432,19.93360792,46,0.440367,47,0.520202,46.74695309,27,26.81334517
10,2,0.55,18,0.478343,19,0.53692,18.36971849,44,0.46281,45,0.502132,44.94578099,26,26.5760625
11,2,0.55,18,0.472782,19,0.545455,18.37452699,50,0.498911,51,0.534913,50.03024832,32,31.65572133
12,2,0.55,21,0.477419,22,0.531633,21.41651603,44,0.445545,45,0.514286,44.79217643,23,23.3756604
13,2,0.55,20,0.437843,21,0.513292,20.82382802,43,0.436426,44,0.547071,43.57457635,23,22.75074833
14,2,0.55,18,0.457486,19,0.527668,18.60576786,49,0.473154,50,0.504415,49.85876971,31,31.25300185
15,2,0.55,22,0.486577,23,0.552381,22.20398456,53,0.472727,54,0.564189,53.29818941,31,31.09420485
16,2,0.55,19,0.471455,20,0.528846,19.49737764,47,0.483871,48,0.570406,47.18638701,28,27.68900937
17,2,0.55,20,0.439604,21,0.504357,20.93271354,47,0.421585,48,0.520522,47.79257507,27,26.85986153
18,2,0.55,22,0.467652,23,0.568609,22.32041364,48,0.45591,49,0.51848,48.70465079,26,26.38423715
19,2,0.55,21,0.486425,22,0.536554,21.27080133,50,0.466304,51,0.536325,50.48122706,29,29.21042573
0,2,0.6,16,0.484375,17,0.555332,16.22020379,43,0.49911,44,0.558252,43.01504853,27,26.79484474
1,2,0.6,17,0.454545,18,0.521375,17.68015861,41,0.465487,42,0.511545,41.74933779,24,24.06917918
2,2,0.6,16,0.44714,17,0.524416,16.68404162,42,0.45749,43,0.530864,42.57936054,26,25.89531892
3,2,0.6,17,0.494755,18,0.521277,17.19776035,41,0.479464,42,0.562757,41.24655133,24,24.04879098
4,2,0.6,17,0.455882,18,0.51487,17.74791483,42,0.484404,43,0.533473,42.31783815,25,24.56992332
5,2,0.6,20,0.436851,21,0.51959,20.76323137,46,0.473636,47,0.570312,46.2727047,26,25.50947334
6,2,0.6,16,0.472881,17,0.514151,16.6571117,42,0.469622,43,0.574405,42.28991344,26,25.63280174
7,2,0.6,16,0.432981,17,0.502841,16.95933295,42,0.466312,43,0.526606,42.5587289,26,25.59939594
8,2,0.6,16,0.491213,17,0.537852,16.18840455,41,0.451014,42,0.559361,41.45212142,25,25.26371687
9,2,0.6,18,0.448718,19,0.515254,18.77074065,43,0.4632,44,0.562721,43.3697712,25,24.59903055
10,2,0.6,16,0.495283,17,0.534259,16.12102319,45,0.440678,46,0.524164,45.71056225,29,29.58953906
