Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.55,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.6,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.65,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.7,115,0.482143,116,0.510638,115.6266713,0,0,0,0,200,200,200
13,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.7,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.75,0,0,0,0,200,0,0,0,0,200,200,200
1,2,0.75,93,0.471537,94,0.517045,93.62545047,169,0.439771,170,0.518486,169.7651528,76,76.1397023
2,2,0.75,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.75,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.75,64,0.484348,65,0.507105,64.68778837,149,0.498088,150,0.500933,149.6720562,85,84.98426787
5,2,0.75,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.75,48,0.456722,49,0.503527,48.9246448,131,0.485714,132,0.5,132,83,83.0753552
7,2,0.75,54,0.481718,55,0.529038,54.38634827,134,0.498182,135,0.533582,134.0513559,80,79.66500767
8,2,0.75,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.75,63,0.497368,64,0.533457,63.07293081,147,0.461672,148,0.51022,147.7894867,84,84.71655588
10,2,0.75,0,0,0,0,200,0,0,0,0,200,200,200
