Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
1,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
2,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
3,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
4,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
5,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
6,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
7,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
8,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
9,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
10,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
11,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
12,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
13,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
14,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
15,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
16,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
17,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
18,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
19,2,0.5,0,0,0,0,500,0,0,0,0,500,500,500
0,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
1,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
2,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
3,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
4,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
5,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
6,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
7,2,0.55,0,0,0,0,500,0,0,0,0,500,500,500
