Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,122,0.808429,123,0.798989,122.8929025,0,0,0,0,200,200,200
1,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
2,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
3,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
4,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
5,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
6,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
7,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
8,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
9,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
10,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
11,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
12,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
13,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
14,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
15,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
16,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
17,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
18,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
19,2,0.5,0,0,0,0,200,0,0,0,0,200,200,200
0,2,0.55,25,0.807843,26,0.783533,25.32262443,89,0.805519,90,0.762646,89.12872904,64,63.8061046
1,2,0.55,18,0.812354,19,0.788294,18.51346633,83,0.811856,84,0.776581,83.33610206,65,64.82263572
2,2,0.55,34,0.811125,35,0.777778,34.33361322,78,0.821095,79,0.79004,78.6792787,44,44.34566548
3,2,0.55,15,0.840617,16,0.799742,15.99368807,80,0.801966,81,0.795944,80.32646961,65,64.33278154
4,2,0.55,27,0.81592,28,0.797368,27.8581285,73,0.800716,74,0.777778,73.03121458,46,45.17308607
5,2,0.55,17,0.820732,18,0.786198,17.6003359,68,0.812658,69,0.791165,68.58893593,51,50.98860003
6,2,0.55,24,0.81774,25,0.792593,24.70545194,63,0.800672,64,0.785455,63.04416114,39,38.33870919
7,2,0.55,24,0.817958,25,0.794677,24.77135862,68,0.803159,69,0.794264,68.35514334,44,43.58378472
8,2,0.55,18,0.820743,19,0.7867,18.60931763,70,0.822165,71,0.797914,70.91398293,52,52.3046653
9,2,0.55,21,0.800487,22,0.790301,21.04781072,68,0.814667,69,0.770068,68.32886388,47,47.28105316
10,2,0.55,26,0.810512,27,0.792593,26.58663988,73,0.809579,74,0.793814,73.6076118,47,47.02097192
11,2,0.55,29,0.80397,30,0.786358,29.22541449,73,0.806574,74,0.78034,73.25059084,44,44.02517635
12,2,0.55,38,0.807692,39,0.777935,38.2584938,83,0.803419,84,0.79533,83.42267277,45,45.16417897
13,2,0.55,24,0.822451,25,0.792974,24.76164467,67,0.813149,68,0.79857,67.90191371,43,43.14026904
14,2,0.55,26,0.811164,27,0.78819,26.48594063,69,0.812577,70,0.799492,69.96117692,43,43.47523629
15,2,0.55,27,0.8075,28,0.788512,27.39498631,72,0.800959,73,0.770833,72.03183297,45,44.63684666
16,2,0.55,26,0.807923,27,0.795196,26.62253477,68,0.811908,69,0.789688,68.53591359,42,41.91337882
17,2,0.55,24,0.801508,25,0.739892,24.02447416,68,0.802419,69,0.799731,68.8999256,44,44.87545143
18,2,0.55,32,0.801567,33,0.78776,32.11349316,75,0.803571,76,0.759388,75.08082294,43,42.96732979
19,2,0.55,20,0.802564,21,0.764789,20.06787558,59,0.811436,60,0.778458,59.34677664,39,39.27890106
0,2,0.6,11,0.821078,12,0.778947,11.50029669,50,0.806574,51,0.766537,50.16419812,39,38.66390142
1,2,0.6,11,0.834611,12,0.798349,11.95447024,41,0.812421,42,0.797561,41.8358681,30,29.88139786
2,2,0.6,13,0.806289,14,0.759211,13.13358681,46,0.820452,47,0.784339,46.56633345,33,33.43274664
3,2,0.6,18,0.811275,19,0.797048,18.7925072,51,0.81715,52,0.799505,51.97194673,33,33.17943952
4,2,0.6,15,0.81288,16,0.779292,15.38347029,42,0.819059,43,0.778351,42.46818807,27,27.08471778
5,2,0.6,17,0.814304,18,0.787234,17.52840783,44,0.822196,45,0.797468,44.89760595,27,27.36919812
