Number,GROWTH,FITNESS,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,2,0.5,39,0.499439,40,0.515413,39.03511957,81,0.474795,82,0.532468,81.43703293,42,42.40191336
1,2,0.5,36,0.441008,37,0.513648,36.81211454,80,0.495758,81,0.542819,80.09013833,44,43.27802379
2,2,0.5,32,0.438947,33,0.509434,32.86615972,76,0.473118,77,0.544696,76.37556232,44,43.50940261
3,2,0.5,33,0.480916,34,0.529894,33.38964433,85,0.49536,86,0.519101,85.19544248,52,51.80579815
4,2,0.5,37,0.482846,38,0.544966,37.27614295,81,0.498204,82,0.562874,81.02777176,44,43.75162882
5,2,0.5,34,0.494638,35,0.546377,34.10363556,77,0.459698,78,0.540574,77.49831841,43,43.39468286
6,2,0.5,33,0.486553,34,0.507363,33.64617972,74,0.487611,75,0.57907,74.1354596,41,40.48927988
7,2,0.5,32,0.446121,33,0.512249,32.81476833,72,0.490446,73,0.568502,72.1223993,40,39.30763097
8,2,0.5,32,0.487365,33,0.561187,32.17115494,82,0.458382,83,0.507426,82.84858494,50,50.67743
9,2,0.5,41,0.48856,42,0.501299,41.89802967,85,0.497069,86,0.51937,85.13142908,44,43.23339941
10,2,0.5,35,0.497895,36,0.521456,35.08934256,85,0.481211,86,0.525478,85.42444711,50,50.33510455
11,2,0.5,37,0.499351,38,0.522277,37.02830847,83,0.468714,84,0.515789,83.66459904,46,46.63629057
12,2,0.5,37,0.487594,38,0.500568,37.95622013,82,0.458647,83,0.5,83,45,45.04377987
13,2,0.5,34,0.459649,35,0.51198,34.7710726,83,0.480469,84,0.549686,83.28217057,49,48.51109797
14,2,0.5,43,0.459057,44,0.551724,43.44182935,84,0.497309,85,0.53753,84.06690535,41,40.625076
15,2,0.5,36,0.498084,37,0.511968,36.13800058,78,0.494253,79,0.528689,78.1668893,42,42.02888873
16,2,0.5,36,0.451546,37,0.514192,36.7734572,83,0.464592,84,0.5327,83.51988019,47,46.74642299
17,2,0.5,32,0.48224,33,0.542969,32.29244677,80,0.467354,81,0.532333,80.50240847,48,48.2099617
18,2,0.5,33,0.49768,34,0.512894,33.15249113,78,0.495838,79,0.536802,78.10160141,45,44.94911028
19,2,0.5,32,0.474943,33,0.513661,32.64716669,83,0.478774,84,0.504316,83.83102341,51,51.18385672
0,2,0.55,21,0.479452,22,0.505143,21.79981316,54,0.495485,55,0.589876,54.04783295,33,32.24801979
1,2,0.55,21,0.472313,22,0.507987,21.77611145,51,0.468107,52,0.543084,51.42537045,30,29.64925899
2,2,0.55,25,0.495991,26,0.52381,25.14411014,50,0.476457,51,0.548015,50.32900584,25,25.1848957
3,2,0.55,22,0.445145,23,0.513674,22.80046404,55,0.467236,56,0.551823,55.38734084,33,32.58687681
4,2,0.55,25,0.457386,26,0.519959,25.68102856,57,0.453027,58,0.508065,57.85346488,32,32.17243632
5,2,0.55,21,0.452736,22,0.503776,21.92601881,56,0.470779,57,0.542017,56.41018838,35,34.48416957
6,2,0.55,22,0.499543,23,0.571284,22.00637014,51,0.418581,52,0.504283,51.9500245,29,29.94365437
7,2,0.55,20,0.451042,21,0.51027,20.82660228,56,0.488842,57,0.539732,56.21925722,36,35.39265494
8,2,0.55,25,0.492486,26,0.528504,25.20861791,59,0.475028,60,0.519388,59.56293959,34,34.35432167
9,2,0.55,22,0.498353,23,0.528708,22.05425795,50,0.46344,51,0.509324,50.79679191,28,28.74253396
10,2,0.55,23,0.468063,24,0.51848,23.63345697,53,0.480249,54,0.506997,53.73841035,30,30.10495338
11,2,0.55,19,0.454274,20,0.512514,19.78513049,55,0.46898,56,0.505643,55.84608461,36,36.06095411
12,2,0.55,24,0.488866,25,0.535135,24.24063628,54,0.4764,55,0.529548,54.44404305,30,30.20340677
13,2,0.55,22,0.455285,23,0.51962,22.69503381,56,0.477118,57,0.511066,56.67403087,34,33.97899706
14,2,0.55,24,0.47955,25,0.501071,24.95023465,56,0.474834,57,0.559877,56.29592089,32,31.34568623
15,2,0.55,22,0.44087,23,0.503067,22.95068894,49,0.481637,50,0.577143,49.19227064,27,26.2415817
16,2,0.55,21,0.448942,22,0.519702,21.72156586,54,0.490811,55,0.561895,54.1292696,33,32.40770374
17,2,0.55,21,0.468449,22,0.5,22,52,0.470588,53,0.514595,52.66834822,31,30.66834822
18,2,0.55,24,0.478,25,0.56499,24.25290263,52,0.430595,53,0.500534,52.99236478,28,28.73946214
19,2,0.55,22,0.493976,23,0.56057,22.0904586,54,0.478595,55,0.544492,54.32482511,32,32.23436651
0,2,0.6,18,0.479452,19,0.582741,18.19893696,41,0.390201,42,0.509126,41.92326256,23,23.7243256
1,2,0.6,15,0.454545,16,0.53144,15.59113076,44,0.499038,45,0.551793,44.01823524,29,28.42710448
2,2,0.6,15,0.448158,16,0.501385,15.97397937,40,0.460951,41,0.516874,40.69826368,25,24.72428431
3,2,0.6,16,0.477382,17,0.505338,16.80905709,44,0.463343,45,0.522613,44.61847478,28,27.80941769
4,2,0.6,16,0.463199,17,0.518519,16.66523861,40,0.485294,41,0.549595,40.22870562,24,23.56346701
5,2,0.6,17,0.435775,18,0.513078,17.83082157,43,0.482759,44,0.51746,43.49684447,26,25.6660229
6,2,0.6,17,0.483989,18,0.583075,17.1615869,41,0.441993,42,0.50502,41.9203516,24,24.75876469
7,2,0.6,21,0.480423,22,0.531073,21.3865153,42,0.484168,43,0.526429,42.37462436,21,20.98810906
8,2,0.6,18,0.472693,19,0.525128,18.52077811,44,0.466539,45,0.512987,44.720397,26,26.1996189
9,2,0.6,18,0.477912,19,0.541243,18.34877074,39,0.423183,40,0.512195,39.862996,21,21.51422526
10,2,0.6,17,0.421665,18,0.505429,17.93518695,41,0.422321,42,0.510332,41.88260558,24,23.94741863
11,2,0.6,17,0.454728,18,0.55836,17.43685348,44,0.493028,45,0.557503,44.10813494,27,26.67128145
12,2,0.6,17,0.492904,18,0.538066,17.15712325,44,0.470186,45,0.550459,44.37140757,27,27.21428433
13,2,0.6,16,0.473108,17,0.54306,16.38443504,44,0.469741,45,0.552354,44.36627407,28,27.98183903
14,2,0.6,16,0.423529,17,0.510315,16.88114442,41,0.460111,42,0.525653,41.60860212,25,24.72745769
15,2,0.6,17,0.471824,18,0.516192,17.63505229,39,0.473275,40,0.584778,39.23967965,22,21.60462736
16,2,0.6,19,0.495229,20,0.586639,19.05219341,43,0.486459,44,0.544532,43.23317204,24,24.18097863
