Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,32,0.475513,33,0.506764,32.78355893,73,0.460112,74,0.514412,73.73458564,41,40.95102671
1,0.5,35,0.474461,36,0.514454,35.63858675,77,0.486842,78,0.516219,77.44790142,42,41.80931467
2,0.5,34,0.495408,35,0.54386,34.09477421,71,0.466986,72,0.502245,71.93632831,37,37.8415541
3,0.5,30,0.474812,31,0.50346,30.87922368,69,0.482365,70,0.522655,69.43770166,39,38.55847798
4,0.5,31,0.484865,32,0.514392,31.5125817,73,0.47001,74,0.511807,73.71751561,42,42.20493391
5,0.5,33,0.433333,34,0.503867,33.94517538,74,0.484864,75,0.502139,74.87617945,41,40.93100407
6,0.5,36,0.462284,37,0.512596,36.74964223,73,0.475344,74,0.539625,73.38356591,37,36.63392367
7,0.5,32,0.484607,33,0.508403,32.64687342,74,0.472561,75,0.515228,74.64309654,42,41.99622311
8,0.5,30,0.478261,31,0.520883,30.51004176,73,0.493136,74,0.541018,73.14335241,43,42.63331065
9,0.5,35,0.488017,36,0.532676,35.26832217,75,0.468615,76,0.50463,75.87144245,40,40.60312028
10,0.5,31,0.469713,32,0.521967,31.57961113,70,0.480671,71,0.517782,70.52084288,39,38.94123175
11,0.5,32,0.474039,33,0.503755,32.8736371,76,0.485248,77,0.507973,76.64915292,44,43.77551582
12,0.5,40,0.489894,41,0.528993,40.25847208,81,0.496767,82,0.517998,81.15227733,41,40.89380525
13,0.5,35,0.489451,36,0.515201,35.4096699,72,0.49773,73,0.533679,72.06314501,37,36.65347511
14,0.5,32,0.495713,33,0.520833,32.17066083,71,0.431529,72,0.512387,71.84680551,39,39.67614468
15,0.5,34,0.474211,35,0.51056,34.70948307,74,0.498904,75,0.560523,74.01778672,40,39.30830365
16,0.5,36,0.496872,37,0.533296,36.08587744,75,0.479636,76,0.510227,75.66568599,39,39.57980854
17,0.5,32,0.47943,33,0.52838,32.42022472,70,0.465478,71,0.508099,70.8099763,38,38.38975158
18,0.5,30,0.471382,31,0.503911,30.87976882,71,0.48705,72,0.509043,71.58882372,41,40.70905489
19,0.5,31,0.49594,32,0.518498,31.17998049,71,0.47302,72,0.504283,71.86300099,40,40.6830205
20,0.5,34,0.49359,35,0.515201,34.29660821,76,0.477064,77,0.502564,76.89945098,42,42.60284277
21,0.5,37,0.466066,38,0.509109,37.78837442,78,0.464592,79,0.502717,78.92873443,41,41.14036001
22,0.5,36,0.490597,37,0.503122,36.75073852,76,0.486173,77,0.51044,76.56978613,40,39.81904761
23,0.5,32,0.468512,33,0.533168,32.48700817,74,0.480042,75,0.507559,74.72529709,42,42.23828892
24,0.5,32,0.487474,33,0.505901,32.67976339,73,0.475454,74,0.503229,73.88374437,41,41.20398098
25,0.5,32,0.447183,33,0.50221,32.9598379,73,0.497778,74,0.516832,73.11661593,41,40.15677804
26,0.5,38,0.49096,39,0.535017,38.20518873,76,0.479615,77,0.531949,76.38951733,38,38.1843286
27,0.5,39,0.475877,40,0.505025,39.82760395,78,0.449032,79,0.501144,78.97804728,39,39.15044333
28,0.5,32,0.481859,33,0.519978,32.4759044,75,0.478214,76,0.516538,75.56846884,43,43.09256444
29,0.5,32,0.487298,33,0.523729,32.34865911,77,0.457014,78,0.514485,77.74795984,45,45.39930073
30,0.5,32,0.476404,33,0.516287,32.59163052,74,0.484168,75,0.520285,74.43835313,42,41.84672261
31,0.5,33,0.482332,34,0.520228,33.46622335,71,0.476956,72,0.500534,71.97735177,38,38.51112842
32,0.5,30,0.47819,31,0.504854,30.8179568,71,0.482104,72,0.504658,71.79347344,41,40.97551665
33,0.5,32,0.491091,33,0.521637,32.29165848,74,0.471755,75,0.517316,74.6199381,42,42.32827962
34,0.5,39,0.498373,40,0.534797,39.04466835,76,0.491623,77,0.503767,76.68980567,37,37.64513731
35,0.5,32,0.496111,33,0.532508,32.10684947,68,0.493859,69,0.50852,68.41886638,36,36.31201691
