Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,7,0.483816,8,0.58642,7.157732642,20,0.478079,21,0.605263,20.17235659,13,13.01462394
1,0.5,6,0.34739,7,0.55098,6.749594774,20,0.490909,21,0.631068,20.06486205,14,13.31526728
2,0.5,6,0.375,7,0.572792,6.631977026,22,0.486166,23,0.589362,22.13405558,16,15.50207856
3,0.5,6,0.421687,7,0.514583,6.843017999,22,0.408602,23,0.53663,22.71389071,16,15.87087271
4,0.5,6,0.416149,7,0.512876,6.866883083,22,0.422311,23,0.608871,22.41642903,16,15.54954595
5,0.5,6,0.366935,7,0.504,6.970816766,22,0.495763,23,0.57109,22.05624809,16,15.08543133
6,0.5,7,0.441057,8,0.573171,7.446152565,21,0.493409,22,0.575492,21.08029677,14,13.63414421
7,0.5,7,0.45679,8,0.525275,7.630941082,22,0.46169,23,0.568548,22.35851317,15,14.72757209
8,0.5,8,0.489524,9,0.63655,8.071252704,20,0.453333,21,0.547085,20.49777071,12,12.42651801
9,0.5,7,0.444668,8,0.543307,7.560954592,19,0.425847,20,0.530021,19.71181869,12,12.1508641
10,0.5,7,0.463362,8,0.564159,7.36348304,21,0.452138,22,0.558442,21.45023706,14,14.08675402
11,0.5,8,0.439516,9,0.548387,8.555556576,23,0.448214,24,0.539171,23.56934595,15,15.01378938
12,0.5,7,0.454348,8,0.542805,7.516092565,21,0.37155,22,0.528662,21.81756963,14,14.30147707
13,0.5,7,0.490119,8,0.617769,7.077406972,19,0.464789,20,0.593407,19.27376417,12,12.1963572
14,0.5,6,0.357834,7,0.517176,6.8922067,19,0.425287,20,0.513078,19.85103257,13,12.95882587
15,0.5,6,0.356061,7,0.512,6.923046832,19,0.462527,20,0.570796,19.34611015,13,12.42306332
16,0.5,7,0.444672,8,0.502924,7.949804299,21,0.494737,22,0.609705,21.04577796,14,13.09597366
17,0.5,8,0.497854,9,0.601215,8.020762183,21,0.433892,22,0.58547,21.43613189,13,13.41536971
18,0.5,6,0.384906,7,0.5,7,21,0.416,22,0.527115,21.75597354,15,14.75597354
19,0.5,8,0.431452,9,0.591753,8.427620539,20,0.407186,21,0.538462,20.70701423,12,12.27939369
20,0.5,6,0.417012,7,0.510022,6.892248145,22,0.476008,23,0.585987,22.21815074,16,15.32590259
21,0.5,6,0.455598,7,0.547393,6.483708263,19,0.413208,20,0.502146,19.97587083,13,13.49216257
22,0.5,8,0.467961,9,0.568889,8.317444119,22,0.42348,23,0.520833,22.78600557,14,14.46856145
23,0.5,8,0.452569,9,0.544578,8.515503918,22,0.418919,23,0.507216,22.91827582,14,14.4027719
24,0.5,7,0.447894,8,0.61753,7.307163574,20,0.48203,21,0.653386,20.10486939,13,12.79770582
25,0.5,7,0.431412,8,0.513158,7.839037996,22,0.423228,23,0.527514,22.73616785,15,14.89712985
