Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
1,0.5,87,0.467853,88,0.517523,87.6472116,339,0.490555,340,0.51065,339.4700174,252,251.8228058
2,0.5,118,0.496945,119,0.516165,118.158949,345,0.49463,346,0.512764,345.2961288,227,227.1371798
3,0.5,84,0.485572,85,0.515,84.49028136,341,0.498895,342,0.505695,341.1625,257,256.6722186
4,0.5,112,0.465479,113,0.5,113,337,0.489093,338,0.511785,337.480654,225,224.480654
5,0.5,67,0.496265,68,0.508889,67.29586502,277,0.495754,278,0.514461,277.2269739,210,209.9311088
6,0.5,108,0.471134,109,0.502286,108.9266179,368,0.496625,369,0.517475,368.1618705,260,259.2352526
7,0.5,74,0.489796,75,0.511992,74.45972247,307,0.491564,308,0.510428,307.447201,233,232.9874785
8,0.5,109,0.480558,110,0.5,110,349,0.474771,350,0.509445,349.7276057,240,239.7276057
9,0.5,84,0.482359,85,0.517318,84.5046197,338,0.480024,339,0.506572,338.7524484,254,254.2478287
10,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
11,0.5,77,0.48586,78,0.500605,77.95896914,289,0.496296,290,0.514967,289.1983825,212,211.2394134
12,0.5,78,0.464773,79,0.518395,78.65695051,295,0.476706,296,0.520656,295.5300114,217,216.8730609
13,0.5,175,0.467083,176,0.505313,175.8610254,408,0.489619,409,0.509346,408.5262331,233,232.6652077
14,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
15,0.5,81,0.483978,82,0.512125,81.56922585,285,0.498262,286,0.518697,285.0850502,204,203.5158243
16,0.5,101,0.498899,102,0.509804,101.1009629,358,0.490588,359,0.524419,358.2782064,257,257.1772435
17,0.5,82,0.482394,83,0.51444,82.54939774,279,0.495077,280,0.503304,279.5983955,197,197.0489978
18,0.5,110,0.498301,111,0.502255,110.4296915,358,0.495685,359,0.500556,358.8858551,248,248.4561636
19,0.5,107,0.489155,108,0.526175,107.2929498,354,0.471477,355,0.506704,354.8096914,247,247.5167417
20,0.5,75,0.486348,76,0.500555,75.96093475,288,0.492,289,0.508919,288.4728412,213,212.5119064
21,0.5,120,0.490164,121,0.511628,120.4582557,351,0.493929,352,0.501604,351.7910098,231,231.3327541
