Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,10,0.495413,11,0.536481,10.1116928,29,0.4875,30,0.504082,29.75382945,19,19.64213665
1,0.5,10,0.45082,11,0.533755,10.59299451,27,0.464503,28,0.595833,27.27028859,17,16.67729407
2,0.5,8,0.385776,9,0.504367,8.963175958,28,0.453125,29,0.502994,28.9399627,20,19.97678674
3,0.5,10,0.443787,11,0.597938,10.36466192,33,0.430155,34,0.551102,33.57748435,23,23.21282243
4,0.5,9,0.424547,10,0.5,10,28,0.473684,29,0.504115,28.86477605,19,18.86477605
5,0.5,12,0.464819,13,0.556213,12.38493774,28,0.416327,29,0.520576,28.8026264,16,16.41768866
6,0.5,10,0.485417,11,0.545259,10.24369172,29,0.389722,30,0.501866,29.98336068,19,19.73966896
7,0.5,9,0.438563,10,0.536489,9.627381901,30,0.469933,31,0.574586,30.28730185,21,20.65991994
8,0.5,9,0.42616,10,0.512621,9.854026671,31,0.49676,32,0.591006,31.03437812,22,21.18035145
9,0.5,11,0.444695,12,0.515213,11.78426785,28,0.479167,29,0.533333,28.38461396,17,16.60034612
10,0.5,11,0.471173,12,0.54721,11.37911806,28,0.458414,29,0.516529,28.71558118,17,17.33646311
11,0.5,11,0.498024,12,0.571134,11.02702777,28,0.407489,29,0.515686,28.85502371,17,17.82799594
12,0.5,9,0.449485,10,0.505543,9.901120268,27,0.432712,28,0.529817,27.69294063,18,17.79182036
13,0.5,11,0.481319,12,0.587771,11.17548754,29,0.425403,30,0.527559,29.73022632,18,18.55473878
14,0.5,10,0.455487,11,0.515593,10.74057498,27,0.440882,28,0.519149,27.7553375,17,17.01476251
15,0.5,10,0.436404,11,0.502146,10.96735724,29,0.414855,30,0.538153,29.6905627,19,18.72320546
16,0.5,9,0.431138,10,0.509881,9.87451583,29,0.463918,30,0.574423,29.32651916,20,19.45200333
17,0.5,11,0.482105,12,0.530526,11.36957105,27,0.468354,28,0.551648,27.37993133,16,16.01036027
18,0.5,10,0.459566,11,0.563147,10.39036117,26,0.455426,27,0.550847,26.46712988,16,16.07676871
19,0.5,11,0.486,12,0.575099,11.15712859,29,0.478723,30,0.50996,29.68114736,18,18.52401877
0,0.5,11,0.472617,12,0.525562,11.51719709,30,0.471374,31,0.55706,30.33408025,19,18.81688316
1,0.5,8,0.432927,9,0.527352,8.71033095,25,0.487896,26,0.579281,25.13245062,17,16.42211967
2,0.5,11,0.458613,12,0.541667,11.49831435,30,0.408333,31,0.508946,30.91108505,19,19.4127707
