Number,DriveEfficiency,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.5,30,0.495358,31,0.511653,30.28487266,60,0.485021,61,0.533894,60.30648825,30,30.02161558
0,0.5,33,0.487459,34,0.505669,33.68868753,64,0.486989,65,0.511501,64.53080124,31,30.84211371
0,0.5,35,0.473205,36,0.525247,35.5148726,66,0.486515,67,0.541043,66.24730414,31,30.73243153
0,0.5,34,0.451293,35,0.512915,34.79041576,63,0.490909,64,0.519053,63.32301734,29,28.53260158
0,0.5,30,0.467787,31,0.501599,30.9527091,61,0.45943,62,0.502458,61.94287441,31,30.99016531
0,0.5,31,0.489059,32,0.511878,31.47946886,63,0.499475,64,0.533509,63.01542575,32,31.53595689
0,0.5,30,0.483579,31,0.518944,30.46432914,61,0.480842,62,0.509341,61.67223411,31,31.20790497
0,0.5,30,0.490196,31,0.514831,30.39797037,62,0.494675,63,0.521112,62.20142225,32,31.80345188
0,0.5,29,0.467208,30,0.500855,29.97458912,62,0.498113,63,0.512195,62.13400085,33,32.15941174
0,0.5,31,0.443144,32,0.501311,31.97746145,64,0.480484,65,0.514547,64.57293838,33,32.59547693
0,0.5,33,0.484454,34,0.52395,33.39360948,64,0.475214,65,0.526344,64.48476433,31,31.09115485
0,0.5,33,0.494571,34,0.516226,33.25070423,65,0.495974,66,0.51592,65.20184498,32,31.95114076
0,0.5,30,0.471481,31,0.508593,30.76845764,60,0.478637,61,0.500539,60.97539038,30,30.20693273
0,0.5,36,0.494136,37,0.519538,36.23084796,66,0.454151,67,0.505274,66.89683704,30,30.66598908
0,0.5,33,0.466667,34,0.512921,33.72065119,63,0.492624,64,0.520974,63.26017637,30,29.53952518
0,0.5,32,0.489962,33,0.51243,32.44676874,61,0.482685,62,0.506974,61.71287414,29,29.2661054
0,0.5,33,0.493878,34,0.523442,33.20707617,61,0.467439,62,0.501956,61.94333227,28,28.7362561
0,0.5,31,0.473569,32,0.501088,31.96046368,63,0.481518,64,0.505488,63.77104714,32,31.81058346
0,0.5,31,0.469753,32,0.505976,31.83502195,61,0.494271,62,0.506895,61.45381812,30,29.61879618
0,0.5,28,0.465517,29,0.501663,28.95399214,60,0.499465,61,0.527528,60.01906425,32,31.06507211
1,0.5,32,0.499728,33,0.517096,32.01566099,60,0.494877,61,0.519642,60.20686453,28,28.19120354
1,0.5,35,0.488722,36,0.515924,35.41460187,60,0.49222,61,0.506392,60.5489698,25,25.13436793
1,0.5,27,0.464505,28,0.505927,27.85691179,59,0.486681,60,0.500513,59.96291209,32,32.1060003
1,0.5,31,0.495624,32,0.507065,31.38248405,59,0.484815,60,0.503712,59.8035667,28,28.42108266
1,0.5,34,0.479581,35,0.521103,34.4917634,66,0.488969,67,0.50359,66.75446276,32,32.26269936
1,0.5,31,0.497753,32,0.535534,31.05947434,61,0.479325,62,0.50441,61.82419773,30,30.76472339
1,0.5,33,0.496802,34,0.525621,33.11096846,64,0.495263,65,0.528125,64.14414826,31,31.0331798
1,0.5,31,0.465859,32,0.503776,31.90041406,61,0.476142,62,0.501328,61.94727229,30,30.04685823
1,0.5,33,0.477838,34,0.514181,33.60980106,60,0.476082,61,0.5241,60.49810488,27,26.88830382
1,0.5,30,0.491649,31,0.501867,30.81728323,54,0.489774,55,0.52,54.338318,24,23.52103478
1,0.5,32,0.475428,33,0.503074,32.88880851,60,0.47454,61,0.504169,60.85929326,28,27.97048475
1,0.5,29,0.486531,30,0.540897,29.24774675,60,0.498646,61,0.525608,60.05021883,31,30.80247207
1,0.5,31,0.477049,32,0.50679,31.77169564,58,0.496158,59,0.535831,58.09684168,27,26.32514604
1,0.5,37,0.476839,38,0.522349,37.50892112,68,0.492825,69,0.532725,68.17982456,31,30.67090345
