Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.01,17,0.846939,18,0.789256,17.81374062,94,0.837054,95,0.79034,94.79320974,77,76.97946913
1,0.01,22,0.801081,23,0.787565,22.07997928,91,0.822335,92,0.784158,91.58503811,69,69.50505883
2,0.01,19,0.850636,20,0.770642,19.63299747,78,0.835404,79,0.763797,78.49442094,59,58.86142346
3,0.01,18,0.810021,19,0.761033,18.2045603,93,0.83871,94,0.793313,93.85269952,75,75.64813922
4,0.01,21,0.821871,22,0.774942,21.46604445,93,0.823397,94,0.768737,93.4280461,72,71.96200165
5,0.01,21,0.801015,22,0.766219,21.02917002,90,0.812095,91,0.791028,90.57412066,69,69.54495064
6,0.01,21,0.801015,22,0.719858,21.01250662,0,0,0,0,100,100,100
7,0.01,18,0.825939,19,0.754982,18.36555942,94,0.82824,95,0.767232,94.46289011,76,76.09733069
8,0.01,24,0.819939,25,0.765178,24.36410949,99,0.845436,100,0.772414,99.62222344,75,75.25811395
8,0.01,0,0,0,0,100,0,0,0,0,100,100,100
9,0.01,21,0.82912,22,0.737687,21.31848457,88,0.833157,89,0.771,88.53343952,67,67.21495494
10,0.01,20,0.8,21,0.748889,20,84,0.830898,85,0.772287,84.52717067,64,64.52717067
11,0.01,18,0.816568,19,0.74197,18.22209711,91,0.836887,92,0.775488,91.60077526,73,73.37867815
12,0.01,20,0.801743,21,0.768539,20.05249368,94,0.807074,95,0.773184,94.20873414,74,74.15624046
13,0.01,21,0.809101,22,0.780516,21.31838377,91,0.804646,92,0.755016,91.09361273,70,69.77522897
14,0.01,20,0.818182,21,0.787356,20.58982677,99,0.80884,100,0.764833,99.20087713,79,78.61105036
14,0.01,0,0,0,0,100,0,0,0,0,100,100,100
15,0.01,18,0.839583,19,0.796628,18.92149924,83,0.847803,84,0.758919,83.53781333,65,64.61631409
16,0.01,19,0.852008,20,0.781548,19.73812092,91,0.836538,92,0.779279,91.63811803,72,71.89999711
17,0.01,24,0.808808,25,0.7981,24.82256257,0,0,0,0,100,100,100
18,0.01,19,0.8,20,0.775943,19,77,0.855446,78,0.779154,77.72676034,58,58.72676034
19,0.01,20,0.845371,21,0.797631,20.95037704,87,0.817452,88,0.782292,87.4963595,67,66.54598246
20,0.01,15,0.841302,16,0.799015,15.97670679,91,0.81336,92,0.793103,91.6595251,76,75.68281831
21,0.01,26,0.814696,27,0.757696,26.25782456,90,0.810211,91,0.754854,90.18445725,64,63.92663269
22,0.01,19,0.819184,20,0.738155,19.23675474,98,0.8107,99,0.778884,98.33630878,79,79.09955403
23,0.01,20,0.811594,21,0.795334,20.71303813,0,0,0,0,100,100,100
24,0.01,22,0.820647,23,0.730444,22.22889483,91,0.816742,92,0.764706,91.3217388,69,69.09284397
25,0.01,22,0.803181,23,0.763359,22.07988047,96,0.886341,97,0.797838,96.97557145,74,74.89569098
26,0.01,25,0.821577,26,0.718143,25.20860645,0,0,0,0,100,100,100
27,0.01,17,0.83871,18,0.763127,17.5121522,96,0.804961,97,0.792848,96.40955998,79,78.89740777
28,0.01,18,0.831074,19,0.764237,18.46492212,74,0.813291,75,0.797133,74.82256467,56,56.35764255
29,0.01,20,0.850694,21,0.763557,20.58177353,0,0,0,0,100,100,100
30,0.01,16,0.837014,17,0.780942,16.66011557,83,0.802174,84,0.763301,83.05592571,67,66.39581014
31,0.01,21,0.817125,22,0.785714,21.54519118,0,0,0,0,100,100,100
32,0.01,20,0.821251,21,0.778157,20.49313129,0,0,0,0,100,100,100
33,0.01,25,0.827253,26,0.788565,25.70443031,84,0.837161,85,0.787305,84.74536666,59,59.04093634
34,0.01,18,0.847193,19,0.777186,18.6741183,81,0.833669,82,0.772469,81.55014706,63,62.87602876
35,0.01,21,0.859738,22,0.794085,21.90990511,96,0.808664,97,0.764843,96.19771343,75,74.28780832
36,0.01,16,0.817503,17,0.784562,16.53134392,96,0.81069,97,0.737119,96.14530182,80,79.6139579
37,0.01,20,0.836102,21,0.763953,20.50038116,92,0.817308,93,0.751685,92.26374899,72,71.76336783
38,0.01,18,0.8125,19,0.760125,18.23866348,87,0.808263,88,0.789108,87.43137562,69,69.19271214
39,0.01,24,0.806342,25,0.751202,24.11501632,96,0.837374,97,0.762987,96.5024265,72,72.38741018
40,0.01,24,0.828775,25,0.778698,24.57461509,99,0.846523,100,0.781971,99.72070579,75,75.14609069
40,0.01,0,0,0,0,100,0,0,0,0,100,100,100
41,0.01,18,0.816585,19,0.767261,18.33624605,90,0.822882,91,0.756816,90.34635062,72,72.01010457
42,0.01,18,0.82333,19,0.789354,18.68666117,90,0.807242,91,0.766851,90.17929737,72,71.4926362
43,0.01,15,0.86478,16,0.799567,15.99336022,85,0.804,86,0.736663,85.05940271,70,69.06604249
44,0.01,20,0.82147,21,0.796137,20.84751115,96,0.836957,97,0.798216,96.95395059,76,76.10643944
45,0.01,20,0.836406,21,0.777251,20.61543403,0,0,0,0,100,100,100
46,0.01,22,0.825806,23,0.771222,22.47277591,97,0.873684,98,0.793855,97.92302296,75,75.45024706
47,0.01,22,0.808279,23,0.758065,22.16487434,82,0.842582,83,0.780303,82.68372967,60,60.51885533
48,0.01,25,0.808874,26,0.768018,25.21720188,98,0.829925,99,0.799582,98.98622417,73,73.76902229
49,0.01,24,0.816616,25,0.73633,24.20696012,93,0.840522,94,0.797525,93.94243784,69,69.73547773
50,0.01,21,0.810044,22,0.717842,21.10893473,94,0.802646,95,0.75615,94.05690812,73,72.94797339
51,0.01,19,0.823009,20,0.781053,19.54840786,75,0.816631,76,0.75737,75.28063988,56,55.73223203
52,0.01,19,0.846614,20,0.794536,19.89508046,94,0.819738,95,0.722783,94.20357898,75,74.30849852
53,0.01,27,0.817495,28,0.762004,27.31527635,0,0,0,0,100,100,100
54,0.01,13,0.8375,14,0.774099,13.59147332,95,0.815098,96,0.793991,95.71530772,82,82.1238344
55,0.01,21,0.831377,22,0.789116,21.74245759,93,0.833856,94,0.795499,93.88265506,72,72.14019747
56,0.01,19,0.823069,20,0.778132,19.51336315,90,0.836032,91,0.79594,90.89873291,71,71.38536976
57,0.01,20,0.811668,21,0.797386,20.81697241,95,0.834931,96,0.779978,95.63565228,75,74.81867987
58,0.01,24,0.824458,25,0.77451,24.48966926,0,0,0,0,100,100,100
59,0.01,21,0.855102,22,0.792774,21.88406495,93,0.840243,94,0.796532,93.9206607,72,72.03659576
60,0.01,24,0.823242,25,0.783944,24.59142959,87,0.837209,88,0.780142,87.65202306,63,63.06059347
61,0.01,21,0.811099,22,0.784897,21.42359362,0,0,0,0,100,100,100
62,0.01,14,0.869115,15,0.763326,14.6533288,98,0.804984,99,0.752212,98.09444402,84,83.44111523
63,0.01,24,0.824053,25,0.796721,24.88003073,91,0.829939,92,0.787255,91.70141036,67,66.82137963
64,0.01,22,0.813904,23,0.788876,22.5555378,90,0.828604,91,0.774194,90.52571219,68,67.97017439
65,0.01,18,0.841994,19,0.723913,18.35563723,0,0,0,0,100,100,100
66,0.01,29,0.844953,30,0.768828,29.5905156,97,0.806218,98,0.74177,97.09648088,68,67.50596528
67,0.01,21,0.830052,22,0.764706,21.45989043,0,0,0,0,100,100,100
68,0.01,21,0.810759,22,0.791527,21.5594322,78,0.830403,79,0.780568,78.61007324,57,57.05064105
69,0.01,21,0.828782,22,0.741709,21.33055023,96,0.817994,97,0.782366,96.50505221,75,75.17450198
70,0.01,24,0.802846,25,0.78563,24.16531134,0,0,0,0,100,100,100
71,0.01,21,0.854906,22,0.796591,21.94154163,86,0.826321,87,0.798919,86.96055032,65,65.0190087
72,0.01,22,0.82294,23,0.786504,22.6295971,90,0.823276,91,0.795759,90.84587709,68,68.21627999
73,0.01,20,0.809273,21,0.745604,20.14564388,89,0.853119,90,0.787162,89.80535804,69,69.65971416
74,0.01,23,0.829324,24,0.771205,23.50455101,89,0.817149,90,0.784335,89.5226123,66,66.01806129
75,0.01,21,0.85441,22,0.773013,21.66845215,99,0.836343,100,0.782748,99.6781043,78,78.00965215
75,0.01,0,0,0,0,100,0,0,0,0,100,100,100
76,0.01,20,0.837983,21,0.782609,20.68593564,0,0,0,0,100,100,100
77,0.01,20,0.828306,21,0.789474,20.7289349,94,0.80891,95,0.76533,94.20445158,74,73.47551668
78,0.01,18,0.824507,19,0.767167,18.42739798,75,0.823529,76,0.749713,75.31875203,57,56.89135406
79,0.01,19,0.840745,20,0.785486,19.73734595,96,0.814855,97,0.743176,96.2072434,77,76.46989745
80,0.01,24,0.819149,25,0.779108,24.47823481,89,0.8,90,0.755454,89,65,64.52176519
81,0.01,16,0.854298,17,0.777542,16.7074105,87,0.842163,88,0.791489,87.83204405,71,71.12463355
82,0.01,23,0.801111,24,0.763617,23.02963141,0,0,0,0,100,100,100
83,0.01,20,0.839506,21,0.753273,20.45813088,0,0,0,0,100,100,100
84,0.01,17,0.813904,18,0.77451,17.35294715,82,0.815047,83,0.729412,82.17571087,65,64.82276372
85,0.01,18,0.817419,19,0.776385,18.42450163,90,0.850055,91,0.780702,90.72174239,72,72.29724076
86,0.01,16,0.846756,17,0.784753,16.75409254,84,0.816348,85,0.793991,84.73122512,68,67.97713258
87,0.01,16,0.841489,17,0.720178,16.34200526,0,0,0,0,100,100,100
88,0.01,23,0.805281,24,0.789474,23.33409249,0,0,0,0,100,100,100
89,0.01,19,0.809419,20,0.767519,19.22479714,93,0.823402,94,0.749108,93.31499179,74,74.09019465
90,0.01,21,0.807568,22,0.778652,21.26172361,0,0,0,0,100,100,100
91,0.01,24,0.815385,25,0.787746,24.55664098,0,0,0,0,100,100,100
92,0.01,20,0.819459,21,0.769561,20.38997555,91,0.800852,92,0.713849,91.00979277,71,70.61981722
93,0.01,15,0.82881,16,0.746509,15.3500565,79,0.811203,80,0.783972,79.41140612,64,64.06134962
94,0.01,19,0.834382,20,0.784394,19.68780507,85,0.84345,86,0.793489,85.86967835,66,66.18187328
95,0.01,19,0.826216,20,0.780997,19.5797563,97,0.849003,98,0.787942,97.80252534,78,78.22276905
96,0.01,20,0.859756,21,0.798283,20.97206904,91,0.800189,92,0.794411,91.03271028,71,70.06064124
97,0.01,20,0.803365,21,0.73954,20.05272229,93,0.820459,94,0.794562,93.79001429,73,73.737292
98,0.01,22,0.824683,23,0.77546,22.50145257,0,0,0,0,100,100,100
99,0.01,21,0.814525,22,0.766739,21.30395932,0,0,0,0,100,100,100
100,0.01,22,0.808307,23,0.740107,22.12180352,98,0.814815,99,0.760684,98.27368791,76,76.15188439
101,0.01,22,0.843661,23,0.783811,22.7295071,95,0.815193,96,0.759179,95.27123576,73,72.54172866
102,0.01,25,0.808989,26,0.7618,25.19048931,97,0.844421,98,0.786868,97.77182771,72,72.5813384
103,0.01,19,0.827482,20,0.769061,19.47041304,91,0.87739,92,0.768672,91.71184165,72,72.24142861
104,0.01,20,0.832988,21,0.776733,20.58640121,88,0.815098,89,0.788991,88.57831233,68,67.99191112
105,0.01,17,0.84814,18,0.788762,17.81073798,91,0.825911,92,0.790323,91.7280825,74,73.91734452
106,0.01,23,0.818386,24,0.796074,23.82404087,0,0,0,0,100,100,100
107,0.01,18,0.805616,19,0.750977,18.10278373,92,0.806593,93,0.767077,92.16684381,74,74.06406008
108,0.01,24,0.815789,25,0.79696,24.83854692,98,0.824164,99,0.790948,98.72748073,74,73.88893381
109,0.01,23,0.820602,24,0.723307,23.21174778,0,0,0,0,100,100,100
110,0.01,17,0.830228,18,0.770241,17.50390918,91,0.813112,92,0.717573,91.13724238,74,73.6333332
111,0.01,20,0.807309,21,0.755814,20.14193611,96,0.818994,97,0.770855,96.39456574,76,76.25262963
112,0.01,18,0.837262,19,0.760087,18.48282475,79,0.815185,80,0.765808,79.30753185,61,60.8247071
113,0.01,21,0.828054,22,0.780294,21.58739531,98,0.809579,99,0.793779,98.60626582,77,77.01887051
114,0.01,20,0.842975,21,0.748958,20.45709818,85,0.828543,86,0.764398,85.44497623,65,64.98787804
115,0.01,22,0.842672,23,0.751147,22.46623327,0,0,0,0,100,100,100
116,0.01,21,0.806962,22,0.74186,21.10693988,96,0.806739,97,0.722284,96.07979397,75,74.97285409
117,0.01,20,0.833898,21,0.742981,20.37284556,92,0.872923,93,0.798301,92.97723192,72,72.60438635
118,0.01,15,0.825717,16,0.794845,15.83302021,96,0.848485,97,0.787813,96.79913304,81,80.96611283
119,0.01,15,0.836283,16,0.796336,15.90827847,98,0.815625,99,0.748,98.2310536,83,82.32277514
120,0.01,20,0.822093,21,0.771493,20.43662055,87,0.84761,88,0.778316,87.68707247,67,67.25045192
121,0.01,17,0.846235,18,0.774834,17.64753995,99,0.83027,100,0.781873,99.62545199,82,81.97791204
121,0.01,0,0,0,0,100,0,0,0,0,100,100,100
122,0.01,19,0.832094,20,0.77451,19.55734232,92,0.81982,93,0.756173,92.31140509,73,72.75406278
