Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.01,17,0.467758,18,0.572312,17.30837653,65,0.490452,66,0.574642,65.11341014,48,47.80503361
1,0.01,17,0.475302,18,0.559091,17.29476423,60,0.48998,61,0.600926,60.09031421,43,42.79554998
2,0.01,17,0.45793,18,0.551532,17.44945621,63,0.355691,64,0.503996,63.97305553,46,46.52359932
3,0.01,16,0.470322,17,0.636542,16.1785465,57,0.454969,58,0.533791,57.57129989,41,41.39275339
4,0.01,17,0.479452,18,0.580164,17.20402733,61,0.40079,62,0.525075,61.79824597,44,44.59421864
5,0.01,18,0.474611,19,0.569149,18.26855867,62,0.424837,63,0.51779,62.80861295,44,44.54005428
6,0.01,15,0.497415,16,0.561287,15.04047157,60,0.480877,61,0.626218,60.13157333,45,45.09110177
7,0.01,16,0.420561,17,0.503327,16.95980233,66,0.468075,67,0.592789,66.2559857,50,49.29618336
8,0.01,17,0.428571,18,0.502561,17.96538721,59,0.469739,60,0.590686,59.2502005,42,41.28481329
9,0.01,18,0.456653,19,0.551373,18.45763302,64,0.393491,65,0.520707,64.83722959,46,46.37959657
10,0.01,15,0.400888,16,0.51313,15.88302062,60,0.482595,61,0.520833,60.45517548,45,44.57215486
11,0.01,17,0.445802,18,0.58215,17.39749758,63,0.403425,64,0.521195,63.82003057,46,46.42253299
12,0.01,17,0.40796,18,0.518072,17.8358762,63,0.466223,64,0.547872,63.41368541,46,45.57780921
13,0.01,16,0.440321,17,0.562062,16.49021283,61,0.398995,62,0.525591,61.79785301,45,45.30764018
14,0.01,14,0.427175,15,0.588442,14.4515803,63,0.480311,64,0.586414,63.18556497,49,48.73398467
15,0.01,16,0.468654,17,0.615266,16.21380242,61,0.425381,62,0.541538,61.64239779,45,45.42859537
16,0.01,15,0.432777,16,0.558357,15.53530021,58,0.43556,59,0.505376,58.92299759,43,43.38769739
17,0.01,17,0.442191,18,0.525616,17.69294576,61,0.422959,62,0.525194,61.75356776,44,44.060622
18,0.01,17,0.49604,18,0.590119,17.04209228,57,0.479167,58,0.562308,57.25057433,40,40.20848204
19,0.01,18,0.405689,19,0.536023,18.72361011,62,0.374862,63,0.501016,62.99194635,44,44.26833624
20,0.01,17,0.40222,18,0.501453,17.98535769,64,0.468783,65,0.500923,64.97128189,47,46.9859242
21,0.01,17,0.41269,18,0.524048,17.78404785,64,0.491561,65,0.573937,64.10244489,47,46.31839704
22,0.01,17,0.477516,18,0.543732,17.33955539,59,0.403785,60,0.5333,59.74288692,42,42.40333153
23,0.01,16,0.472021,17,0.615306,16.19526817,62,0.485558,63,0.586331,62.1433122,46,45.94804402
24,0.01,17,0.486142,18,0.590129,17.13326666,61,0.48289,62,0.603368,61.14201763,44,44.00875097
25,0.01,17,0.412981,18,0.518119,17.82766459,60,0.415125,61,0.574553,60.53237198,43,42.70470739
26,0.01,17,0.408869,18,0.51133,17.88942134,59,0.409923,60,0.521939,59.80414405,42,41.91472271
27,0.01,16,0.458967,17,0.592284,16.3077852,56,0.381643,57,0.522417,56.84075895,40,40.53297374
28,0.01,15,0.343243,16,0.527715,15.8497604,56,0.435818,57,0.541913,56.6049484,41,40.755188
29,0.01,18,0.451245,19,0.563163,18.43563144,64,0.473736,65,0.60237,64.20417619,46,45.76854475
30,0.01,16,0.426321,17,0.567814,16.52072541,62,0.378571,63,0.512796,62.90466754,46,46.38394213
31,0.01,15,0.433105,16,0.512315,15.84452721,60,0.478896,61,0.556056,60.27350959,45,44.42898238
32,0.01,16,0.391827,17,0.514344,16.88292237,61,0.421053,62,0.533298,61.70334536,45,44.82042299
33,0.01,17,0.432769,18,0.521869,17.75455668,62,0.464525,63,0.578307,62.31178042,45,44.55722374
34,0.01,17,0.471708,18,0.537629,17.42918038,63,0.425052,64,0.566265,63.53074434,46,46.10156395
35,0.01,16,0.454252,17,0.540594,16.52984642,63,0.418731,64,0.511387,63.87710456,47,47.34725813
36,0.01,16,0.404096,17,0.531157,16.75478707,60,0.421252,61,0.539071,60.66838116,44,43.91359409
37,0.01,16,0.454412,17,0.569907,16.39471839,63,0.496343,64,0.612255,63.0315498,47,46.63683141
