Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.01,43,0.484411,44,0.523549,43.39830855,166,0.49109,167,0.565776,166.1192995,123,122.7209909
1,0.01,42,0.498378,43,0.508126,42.16639311,157,0.480435,158,0.523681,157.4524118,115,115.2860187
2,0.01,44,0.487395,45,0.514568,44.46387959,159,0.497585,160,0.560195,159.0385721,115,114.5746925
3,0.01,45,0.47861,46,0.562701,45.25436729,161,0.497346,162,0.542824,161.0583579,116,115.8039906
4,0.01,42,0.488739,43,0.538168,42.22782172,154,0.496714,155,0.550857,154.0606911,112,111.8328694
5,0.01,41,0.497712,42,0.545718,41.04766071,156,0.495911,157,0.529246,156.1226639,115,115.0750032
6,0.01,36,0.489926,37,0.522337,36.3108204,152,0.489842,153,0.516237,152.3848456,116,116.0740252
7,0.01,46,0.485532,47,0.513609,46.51529722,162,0.468167,163,0.512889,162.7117973,116,116.1965001
8,0.01,42,0.499428,43,0.537058,42.01520064,163,0.488273,164,0.525614,163.3140516,121,121.2988509
9,0.01,41,0.497247,42,0.54535,41.05723136,151,0.478398,152,0.53556,151.3779084,110,110.320677
10,0.01,43,0.468818,44,0.520067,43.60844114,158,0.489659,159,0.557297,158.1528874,115,114.5444463
11,0.01,43,0.499441,44,0.560484,43.00915748,170,0.489241,171,0.538291,170.2193476,127,127.2101901
12,0.01,43,0.462019,44,0.510349,43.78586799,156,0.477941,157,0.520612,156.5169553,113,112.7310873
13,0.01,40,0.452769,41,0.511574,40.80318,153,0.463827,154,0.502299,153.9402423,113,113.1370623
14,0.01,43,0.489549,44,0.538079,43.21535133,158,0.471995,159,0.51179,158.7037316,115,115.4883803
15,0.01,44,0.487959,45,0.562291,44.16198945,156,0.494904,157,0.526072,156.163501,112,112.0015116
16,0.01,40,0.466471,41,0.556014,40.3744458,154,0.493813,155,0.546099,154.11833,114,113.7438842
17,0.01,42,0.48759,43,0.511905,42.51038454,156,0.450898,157,0.5,157,114,114.4896155
18,0.01,44,0.455326,45,0.511018,44.80216189,167,0.444318,168,0.545872,167.5482994,123,122.7461375
19,0.01,41,0.445876,42,0.502674,41.95292088,157,0.481651,158,0.528084,157.3951715,116,115.4422507
20,0.01,44,0.47089,45,0.511041,44.72501308,158,0.498956,159,0.539166,158.0259637,114,113.3009506
21,0.01,40,0.486856,41,0.516816,40.43871829,148,0.49895,149,0.554515,148.0188968,108,107.5801785
22,0.01,39,0.455347,40,0.524272,39.64784911,161,0.483122,162,0.531596,161.3481867,122,121.7003375
23,0.01,45,0.480838,46,0.524362,45.44026284,160,0.486645,161,0.544053,160.2326331,115,114.7923702
24,0.01,41,0.476847,42,0.519577,41.54184414,155,0.489194,156,0.501136,155.9048736,114,114.3630294
25,0.01,41,0.473162,42,0.512716,41.67851545,160,0.448174,161,0.515663,160.7679177,119,119.0894023
26,0.01,42,0.493151,43,0.51397,42.32897834,153,0.481347,154,0.512555,153.5976993,111,111.268721
27,0.01,44,0.491124,45,0.524084,44.26929612,155,0.493243,156,0.578224,155.0795119,111,110.8102158
28,0.01,43,0.45505,44,0.505143,43.89733096,157,0.481163,158,0.53516,157.3488527,114,113.4515217
29,0.01,42,0.453047,43,0.510011,42.82425743,155,0.493562,156,0.513173,155.3282851,113,112.5040277
30,0.01,41,0.481132,42,0.50288,41.86757403,154,0.47343,155,0.544248,154.3751871,113,112.5076131
31,0.01,42,0.472325,43,0.527043,42.50577506,155,0.495982,156,0.556818,155.0660464,113,112.5602714
32,0.01,40,0.468647,41,0.511123,40.73813448,152,0.484772,153,0.517782,152.4613148,112,111.7231803
33,0.01,43,0.488067,44,0.523268,43.33899605,155,0.464535,156,0.511182,155.7602847,112,112.4212886
34,0.01,44,0.435294,45,0.500573,44.99122229,156,0.483945,157,0.59159,156.1491477,112,111.1579254
35,0.01,42,0.464586,43,0.567894,42.34280017,152,0.472254,153,0.508907,152.7569912,110,110.4141911
36,0.01,49,0.466854,50,0.55421,49.37943587,168,0.471053,169,0.532258,168.4729516,119,119.0935157
37,0.01,41,0.471853,42,0.521925,41.56213053,151,0.455662,152,0.507058,151.8626741,110,110.3005436
38,0.01,42,0.426829,43,0.513998,42.83941539,163,0.466031,164,0.502772,163.924553,121,121.0851376
39,0.01,43,0.488824,44,0.529785,43.2728449,151,0.496005,152,0.505896,151.4039025,108,108.1310576
40,0.01,44,0.487069,45,0.526674,44.32649918,158,0.492639,159,0.54148,158.1507135,114,113.8242144
41,0.01,44,0.438258,45,0.502657,44.9587416,157,0.475851,158,0.516403,157.595507,113,112.6367654
42,0.01,45,0.47619,46,0.516092,45.59671194,153,0.497079,154,0.559653,153.0466807,108,107.4499688
43,0.01,42,0.49622,43,0.501035,42.78504673,159,0.477024,160,0.531317,159.4231853,117,116.6381386
44,0.01,47,0.467513,48,0.515118,47.68242832,158,0.470325,159,0.529876,158.4983124,111,110.8158841
45,0.01,43,0.459831,44,0.513402,43.74982733,166,0.481779,167,0.513403,166.5761763,123,122.826349
46,0.01,41,0.492672,42,0.529284,41.20015296,165,0.478579,166,0.516741,165.5613175,124,124.3611646
47,0.01,38,0.473594,39,0.533409,38.44146117,149,0.448957,150,0.503885,149.929271,111,111.4878099
48,0.01,39,0.457447,40,0.502887,39.93646567,149,0.466864,150,0.505787,149.8513218,110,109.9148562
49,0.01,42,0.49109,43,0.507018,42.55939227,160,0.491996,161,0.530973,160.2053519,118,117.6459596
50,0.01,43,0.478055,44,0.508484,43.72118703,156,0.454139,157,0.511806,156.7952729,113,113.0740858
51,0.01,42,0.463318,43,0.526193,42.58341153,158,0.448619,159,0.506915,158.8813812,116,116.2979697
52,0.01,40,0.493664,41,0.518737,40.25270211,149,0.465675,150,0.510843,149.7599407,109,109.5072386
53,0.01,37,0.452128,38,0.512862,37.78822406,158,0.473741,159,0.515225,158.632991,121,120.844767
54,0.01,44,0.482204,45,0.5189,44.48495749,160,0.465255,161,0.520468,160.6292902,116,116.1443327
55,0.01,42,0.479452,43,0.570144,42.22656905,155,0.43737,156,0.502157,155.9667063,113,113.7401372
56,0.01,37,0.462424,38,0.530473,37.55219033,149,0.457865,150,0.51875,149.6920424,112,112.139852
57,0.01,44,0.46122,45,0.504237,44.90150406,158,0.498442,159,0.520812,158.0696468,114,113.1681428
58,0.01,42,0.451843,43,0.503348,42.9349966,157,0.450053,158,0.50463,157.9151657,115,114.9801691
59,0.01,43,0.478469,44,0.509907,43.68487181,158,0.440589,159,0.5,159,115,115.3151282
60,0.01,44,0.472009,45,0.542373,44.39780285,164,0.48136,165,0.546759,164.2850196,120,119.8872168
61,0.01,40,0.485437,41,0.507361,40.66424922,161,0.472421,162,0.509524,161.7433092,121,121.0790599
62,0.01,46,0.480666,47,0.52935,46.39713253,161,0.40305,162,0.50655,161.936715,115,115.5395824
63,0.01,41,0.46138,42,0.503135,41.92491917,164,0.489242,165,0.546214,164.1888296,123,122.2639104
64,0.01,47,0.47241,48,0.553512,47.3401889,162,0.47449,163,0.525082,162.5042299,115,115.164041
65,0.01,46,0.495485,47,0.566707,46.06339333,151,0.438279,152,0.50211,151.966944,105,105.9035506
66,0.01,38,0.458107,39,0.528415,38.59584969,150,0.498392,151,0.526667,150.05687,112,111.4610203
67,0.01,46,0.482163,47,0.514433,46.55274249,159,0.443737,160,0.522951,159.7102659,113,113.1575234
68,0.01,41,0.485816,42,0.52407,41.37078475,151,0.477401,152,0.536247,151.3840363,110,110.0132515
69,0.01,46,0.485499,47,0.538925,46.27142215,159,0.484615,160,0.533604,159.3140501,113,113.0426279
70,0.01,43,0.474586,44,0.527123,43.48373527,152,0.453303,153,0.530761,152.6028687,109,109.1191334
71,0.01,46,0.496059,47,0.534502,46.10251541,157,0.492353,158,0.536817,157.1719818,111,111.0694664
72,0.01,44,0.462138,45,0.533822,44.52817923,163,0.481092,164,0.522901,163.4522471,119,118.9240679
73,0.01,44,0.436404,45,0.50977,44.86683205,154,0.484766,155,0.520256,154.4292477,110,109.5624156
74,0.01,44,0.490948,45,0.542148,44.17679688,163,0.482911,164,0.509434,163.6443087,119,119.4675118
75,0.01,44,0.47232,45,0.514156,44.66163113,154,0.475,155,0.532423,154.4353656,110,109.7737345
76,0.01,41,0.489119,42,0.529042,41.27254966,159,0.445664,160,0.512367,159.814596,118,118.5420464
77,0.01,39,0.47554,40,0.505319,39.8213842,156,0.485374,157,0.55818,156.20089,117,116.3795058
78,0.01,42,0.476562,43,0.511759,42.66590903,154,0.498848,155,0.507058,154.1403167,112,111.4744077
79,0.01,41,0.473542,42,0.522349,41.54209437,155,0.496725,156,0.539594,155.0763955,114,113.5343012
80,0.01,40,0.463141,41,0.508734,40.80843551,158,0.466809,159,0.534276,158.491959,118,117.6835235
81,0.01,44,0.472838,45,0.512665,44.68199965,160,0.462486,161,0.505641,160.8692851,116,116.1872855
82,0.01,46,0.436887,47,0.502874,46.95644597,155,0.461991,156,0.513333,155.7403101,109,108.7838641
83,0.01,42,0.471084,43,0.528815,42.50087475,156,0.497368,157,0.544363,156.056006,114,113.5551312
84,0.01,44,0.483261,45,0.543628,44.27728726,159,0.486364,160,0.523889,159.3633844,115,115.0860972
85,0.01,38,0.442977,39,0.502043,38.96541157,149,0.497346,150,0.539956,149.0622858,111,110.0968743
86,0.01,39,0.453808,40,0.557342,39.44615295,148,0.476744,149,0.539683,148.3695006,109,108.9233477
